dist,hash,N,P,max_exp,min,cov,gini,chi2_dof,entropy_norm,empty
uniform,fib32,100000000,256,1.005064,388891,0.001640,0.000924,1.054713,1.000000,0
uniform,fib32_lowbits,100000000,256,1.005105,388869,0.001578,0.000878,0.976184,1.000000,0
uniform,mod,100000000,256,1.004462,388754,0.001704,0.000967,1.138967,1.000000,0
uniform,fib64,100000000,256,1.003948,389087,0.001614,0.000914,1.022037,1.000000,0
uniform,mult32_nofold,100000000,256,1.004339,388557,0.001691,0.000947,1.121569,1.000000,0
sequential,fib32,100000000,256,1.000015,390620,0.000008,0.000004,0.000024,1.000000,0
sequential,fib32_lowbits,100000000,256,1.000000,390625,0.000000,0.000000,0.000000,1.000000,0
sequential,mod,100000000,256,1.000000,390625,0.000000,0.000000,0.000000,1.000000,0
sequential,fib64,100000000,256,1.000005,390623,0.000002,0.000001,0.000002,1.000000,0
sequential,mult32_nofold,100000000,256,1.000015,390620,0.000008,0.000004,0.000024,1.000000,0
strided_pow2,fib32,100000000,256,1.000013,390619,0.000006,0.000004,0.000016,1.000000,0
strided_pow2,fib32_lowbits,100000000,256,2.684355,0,1.295304,0.627461,657965.631419,0.822624,160
strided_pow2,mod,100000000,256,256.000000,0,15.968719,0.996094,100000000.000000,0.000000,255
strided_pow2,fib64,100000000,256,1.000028,390617,0.000013,0.000007,0.000066,1.000000,0
strided_pow2,mult32_nofold,100000000,256,1.000013,390620,0.000006,0.000004,0.000015,1.000000,0
low16_zero,fib32,100000000,256,1.004764,388810,0.001634,0.000917,1.047309,1.000000,0
low16_zero,fib32_lowbits,100000000,256,1.004813,388710,0.001616,0.000909,1.023733,1.000000,0
low16_zero,mod,100000000,256,256.000000,0,15.968719,0.996094,100000000.000000,0.000000,255
low16_zero,fib64,100000000,256,1.003720,389017,0.001459,0.000825,0.834846,1.000000,0
low16_zero,mult32_nofold,100000000,256,1.004124,388339,0.001615,0.000911,1.023048,1.000000,0
high32_only,fib32,100000000,256,1.004339,388557,0.001691,0.000947,1.121569,1.000000,0
high32_only,fib32_lowbits,100000000,256,1.004462,388754,0.001704,0.000967,1.138967,1.000000,0
high32_only,mod,100000000,256,256.000000,0,15.968719,0.996094,100000000.000000,0.000000,255
high32_only,fib64,100000000,256,1.004303,388752,0.001570,0.000881,0.966750,1.000000,0
high32_only,mult32_nofold,100000000,256,256.000000,0,15.968719,0.996094,100000000.000000,0.000000,255
dup_1000,fib32,100000000,256,1.282685,298935,0.123542,0.053904,5985.357094,0.998596,0
dup_1000,fib32_lowbits,100000000,256,1.029274,298883,0.074698,0.022561,2188.125302,0.999457,0
dup_1000,mod,100000000,256,1.029274,298883,0.074698,0.022561,2188.125302,0.999457,0
dup_1000,fib64,100000000,256,1.282685,298935,0.123542,0.053904,5985.357094,0.998596,0
dup_1000,mult32_nofold,100000000,256,1.282685,298935,0.123542,0.053904,5985.357094,0.998596,0
dup_struct,fib32,100000000,256,1.284104,198935,0.165886,0.084210,10791.376769,0.997473,0
dup_struct,fib32_lowbits,100000000,256,256.000000,0,15.968719,0.996094,100000000.000000,0.000000,255
dup_struct,mod,100000000,256,256.000000,0,15.968719,0.996094,100000000.000000,0.000000,255
dup_struct,fib64,100000000,256,1.286290,199633,0.182107,0.095333,13005.063391,0.996940,0
dup_struct,mult32_nofold,100000000,256,1.284104,198935,0.165886,0.084210,10791.376769,0.997473,0
