hash,map,NR,NS,P,max_key,hist_ms,scatter_ms,join_ms,total_ms,join_count
fib,umap,10000000,20000000,128,100,51.720,404.631,496.904,953.266,1999999046065
fib,flat,10000000,20000000,128,100,51.691,402.828,200.839,655.368,1999999046065
fib,umap,10000000,20000000,128,1000,51.614,403.947,500.241,955.813,199999646808
fib,flat,10000000,20000000,128,1000,51.979,406.860,203.904,662.754,199999646808
fib,umap,10000000,20000000,128,10000,51.716,403.948,500.158,955.833,19999976469
fib,flat,10000000,20000000,128,10000,51.698,404.547,204.850,661.105,19999976469
fib,umap,10000000,20000000,128,100000,52.672,404.079,499.989,956.751,2000003172
fib,flat,10000000,20000000,128,100000,51.667,406.995,219.469,678.141,2000003172
fib,umap,10000000,20000000,128,1000000,51.627,404.727,763.136,1219.501,199999829
fib,flat,10000000,20000000,128,1000000,52.604,404.682,286.805,744.100,199999829
fib,umap,10000000,20000000,128,10000000,51.921,406.467,1460.796,1919.194,20005244
fib,flat,10000000,20000000,128,10000000,51.682,407.577,416.694,875.962,20005244
