mode,threads,iters,time_ms,checksum
packed,1,50000000,123.144,1049099760674056640
padded,1,50000000,123.559,1049099760674056640
packed,2,50000000,180.166,446917603838253312
padded,2,50000000,123.174,446917603838253312
packed,4,50000000,229.225,12735451611346618368
padded,4,50000000,131.871,12735451611346618368
packed,8,50000000,262.768,17497136616245028864
padded,8,50000000,133.691,17497136616245028864
packed,16,50000000,290.373,3099206806697226240
padded,16,50000000,134.064,3099206806697226240
packed,32,50000000,348.806,7745356426189987840
padded,32,50000000,163.685,7745356426189987840
