impl,distinct,nR,nS,table_bytes,build_ns_per_key,probe_ns_per_key,join_count
flat2,1000,2000,4000,65536,6.227,3.811,7911
umap,1000,2000,4000,64000,36.873,14.959,7911
flat2,4000,8000,16000,262144,6.474,3.902,31920
umap,4000,8000,16000,256000,37.433,15.672,31920
flat2,16000,32000,64000,1048576,7.137,4.329,128269
umap,16000,32000,64000,1024000,42.742,19.062,128269
flat2,64000,128000,256000,4194304,8.089,5.180,512369
umap,64000,128000,256000,4096000,45.239,20.866,512369
flat2,262144,524288,1048576,16777216,8.455,5.771,2098054
umap,262144,524288,1048576,16777216,46.140,21.366,2098054
flat2,1048576,2097152,4194304,67108864,10.215,6.887,8388395
umap,1048576,2097152,4194304,67108864,87.291,52.471,8388395
flat2,4194304,8388608,16777216,268435456,13.629,12.217,33557973
umap,4194304,8388608,16777216,268435456,116.467,69.977,33557973
flat2,16777216,33554432,67108864,1073741824,16.694,14.406,134219439
umap,16777216,33554432,67108864,1073741824,168.472,77.364,134219439
