# Re-run di controllo del 2026-07-16 su node02 (job slurm 706972, GCC 12.2, -reps 9).
# NON sostituisce loadfactor.csv: documenta quanto e' riproducibile la misura.
# Scarto vs loadfactor.csv: <1% su 7 alpha su 10; +3-7% a alpha 0.4/0.5/0.6; +11.9% a alpha=0.10
# (alpha=0.10 e' la misura piu' piccola, ~4 ns, quindi la piu' sensibile al rumore).
alpha_target,alpha_actual,n_distinct,table_slots,probe_ns_per_key
0.100,0.1000,13107,131072,4.022
0.250,0.2500,32768,131072,5.734
0.400,0.4000,52428,131072,8.220
0.500,0.5000,65536,131072,10.787
0.600,0.6000,78643,131072,13.421
0.700,0.7000,91750,131072,15.603
0.800,0.8000,104857,131072,18.108
0.900,0.9000,117964,131072,22.339
0.950,0.9500,124518,131072,28.465
0.980,0.9800,128450,131072,43.043
