sync,threads,NR,NS,P,total_ms,join_count
barrier,1,10000000,20000000,128,1096.376,199999829
pool,1,10000000,20000000,128,1108.159,199999829
barrier,2,10000000,20000000,128,665.179,199999829
pool,2,10000000,20000000,128,653.467,199999829
barrier,4,10000000,20000000,128,359.915,199999829
pool,4,10000000,20000000,128,354.089,199999829
barrier,8,10000000,20000000,128,202.467,199999829
pool,8,10000000,20000000,128,195.405,199999829
barrier,16,10000000,20000000,128,116.892,199999829
pool,16,10000000,20000000,128,115.019,199999829
barrier,20,10000000,20000000,128,115.740,199999829
pool,20,10000000,20000000,128,109.926,199999829
barrier,24,10000000,20000000,128,101.205,199999829
pool,24,10000000,20000000,128,97.671,199999829
barrier,32,10000000,20000000,128,89.485,199999829
pool,32,10000000,20000000,128,89.432,199999829
