strategy,skew,hot,threads,P,wall_mean_ms,wall_std_ms,imbalance,sched_ms,max_part_frac,join_count
cyclic,0.00,4,16,128,33.068,0.956,1.079,0.0073,0.126,199999829
dynamic,0.00,4,16,128,31.992,1.138,1.072,0.0016,0.126,199999829
lpt,0.00,4,16,128,32.970,0.643,1.077,0.0218,0.126,199999829
cyclic,0.30,4,16,128,46.341,0.766,1.856,0.0069,1.288,4500083767311
dynamic,0.30,4,16,128,42.862,0.802,1.661,0.0016,1.288,4500083767311
lpt,0.30,4,16,128,32.526,0.441,1.273,0.0215,1.288,4500083767311
cyclic,0.60,4,16,128,66.182,0.614,2.874,0.0069,2.452,18000634470395
dynamic,0.60,4,16,128,63.459,0.873,2.763,0.0040,2.452,18000634470395
lpt,0.60,4,16,128,56.410,0.242,2.463,0.0224,2.452,18000634470395
cyclic,0.80,4,16,128,69.537,0.381,3.372,0.0068,3.227,32004149986956
dynamic,0.80,4,16,128,68.316,0.830,3.289,0.0016,3.227,32004149986956
lpt,0.80,4,16,128,67.274,9.256,3.204,0.0242,3.227,32004149986956
cyclic,0.90,4,16,128,95.614,0.733,3.770,0.0068,3.615,40498302754138
dynamic,0.90,4,16,128,95.684,1.040,3.722,0.0016,3.615,40498302754138
lpt,0.90,4,16,128,93.272,0.499,3.677,0.0227,3.615,40498302754138
cyclic,0.95,4,16,128,96.644,0.325,3.874,0.0070,3.808,45118776380576
dynamic,0.95,4,16,128,97.713,1.040,3.844,0.0015,3.808,45118776380576
lpt,0.95,4,16,128,96.738,4.825,3.840,0.0243,3.808,45118776380576
