strategy,skew,hot,threads,P,wall_mean_ms,wall_std_ms,imbalance,sched_ms,max_part_frac,join_count
cyclic,0.00,4,1,128,314.767,2.288,1.000,0.0048,0.008,199999829
cyclic,0.00,4,2,128,170.426,1.144,1.022,0.0073,0.016,199999829
cyclic,0.00,4,4,128,92.355,0.526,1.046,0.0052,0.031,199999829
cyclic,0.00,4,8,128,55.882,0.730,1.062,0.0087,0.063,199999829
cyclic,0.00,4,12,128,40.966,0.403,1.095,0.0075,0.094,199999829
cyclic,0.00,4,16,128,33.612,1.085,1.080,0.0074,0.126,199999829
cyclic,0.00,4,20,128,38.996,2.307,1.336,0.0081,0.157,199999829
cyclic,0.00,4,24,128,36.017,1.396,1.276,0.0101,0.188,199999829
cyclic,0.00,4,32,128,31.269,1.267,1.173,0.0097,0.251,199999829
block,0.00,4,1,128,314.326,2.131,1.000,0.0058,0.008,199999829
block,0.00,4,2,128,171.743,0.997,1.038,0.0117,0.016,199999829
block,0.00,4,4,128,92.754,1.149,1.052,0.0122,0.031,199999829
block,0.00,4,8,128,55.248,0.284,1.066,0.0104,0.063,199999829
block,0.00,4,12,128,41.602,0.932,1.103,0.0082,0.094,199999829
block,0.00,4,16,128,33.572,1.516,1.077,0.0082,0.126,199999829
block,0.00,4,20,128,40.000,2.810,1.318,0.0090,0.157,199999829
block,0.00,4,24,128,38.349,1.204,1.332,0.0094,0.188,199999829
block,0.00,4,32,128,32.782,2.231,1.176,0.0090,0.251,199999829
dynamic,0.00,4,1,128,315.621,1.394,1.000,0.0018,0.008,199999829
dynamic,0.00,4,2,128,166.929,1.440,1.003,0.0017,0.016,199999829
dynamic,0.00,4,4,128,89.295,0.874,1.008,0.0018,0.031,199999829
dynamic,0.00,4,8,128,53.353,1.243,1.021,0.0018,0.063,199999829
dynamic,0.00,4,12,128,39.247,0.953,1.042,0.0018,0.094,199999829
dynamic,0.00,4,16,128,32.254,1.179,1.076,0.0017,0.126,199999829
dynamic,0.00,4,20,128,32.683,1.417,1.090,0.0019,0.157,199999829
dynamic,0.00,4,24,128,31.888,1.348,1.125,0.0018,0.188,199999829
dynamic,0.00,4,32,128,30.277,1.295,1.150,0.0016,0.251,199999829
lpt,0.00,4,1,128,315.635,2.380,1.000,0.0112,0.008,199999829
lpt,0.00,4,2,128,171.484,1.322,1.037,0.0237,0.016,199999829
lpt,0.00,4,4,128,92.854,0.732,1.054,0.0299,0.031,199999829
lpt,0.00,4,8,128,55.786,0.728,1.058,0.0176,0.063,199999829
lpt,0.00,4,12,128,40.753,0.998,1.092,0.0233,0.094,199999829
