kernel,threads,N,bytes,seconds,GB_s,Gop_s
read,1,200000000,1600000000,0.1209,13.24,1.655
copy,1,200000000,3200000000,0.3181,10.06,0.629
histo,1,200000000,1600000000,0.3394,4.71,0.589
read,2,200000000,1600000000,0.0991,16.15,2.019
copy,2,200000000,3200000000,0.2117,15.11,0.945
histo,2,200000000,1600000000,0.1826,8.76,1.095
read,4,200000000,1600000000,0.0555,28.83,3.604
copy,4,200000000,3200000000,0.1352,23.67,1.480
histo,4,200000000,1600000000,0.0979,16.35,2.044
read,8,200000000,1600000000,0.0399,40.10,5.013
copy,8,200000000,3200000000,0.1205,26.56,1.660
histo,8,200000000,1600000000,0.0521,30.73,3.842
read,16,200000000,1600000000,0.0389,41.11,5.139
copy,16,200000000,3200000000,0.1216,26.32,1.645
histo,16,200000000,1600000000,0.0397,40.33,5.041
