threads,histogram_R_ms,scatter_R_ms,histogram_S_ms,scatter_S_ms,join_local_ms,total_ms
1,17.012,133.661,33.848,275.094,309.463,769.078
1,17.714,132.518,34.067,278.000,290.427,752.726
2,12.250,103.270,36.516,226.096,161.053,539.184
4,17.868,53.914,22.507,110.226,87.769,292.284
8,15.237,27.869,19.585,56.746,52.294,171.731
10,11.219,22.735,18.843,47.527,44.535,144.858
14,9.273,17.319,15.743,35.212,36.914,114.462
20,6.907,14.108,14.374,28.104,43.231,106.724
24,5.817,12.554,10.500,23.647,35.429,87.948
32,6.747,10.547,12.409,19.281,38.477,87.461
