NR,threads,time_seq_ms,time_par_ms,speedup,efficiency
10000000,1,782.3260,751.8710,1.0405,1.0405
10000000,2,782.3260,542.8630,1.4411,0.7206
10000000,4,782.3260,298.0510,2.6248,0.6562
10000000,8,782.3260,171.1050,4.5722,0.5715
10000000,10,782.3260,145.7550,5.3674,0.5367
10000000,14,782.3260,117.3140,6.6686,0.4763
10000000,20,782.3260,109.7640,7.1273,0.3564
10000000,24,782.3260,97.8630,7.9941,0.3331
10000000,32,782.3260,94.3840,8.2888,0.2590
20000000,1,1553.2960,1524.7490,1.0187,1.0187
20000000,2,1553.2960,1083.7640,1.4332,0.7166
20000000,4,1553.2960,615.7270,2.5227,0.6307
20000000,8,1553.2960,350.5590,4.4309,0.5539
20000000,10,1553.2960,288.3530,5.3868,0.5387
20000000,14,1553.2960,228.2310,6.8058,0.4861
20000000,20,1553.2960,206.1960,7.5331,0.3767
20000000,24,1553.2960,181.5230,8.5570,0.3565
20000000,32,1553.2960,167.5690,9.2696,0.2897
