nr,ns,threads,time_seq,time_par
10000000,20000000,1,0.782326,0.751871
10000000,20000000,2,0.782326,0.542863
10000000,20000000,4,0.782326,0.298051
10000000,20000000,8,0.782326,0.171105
10000000,20000000,10,0.782326,0.145755
10000000,20000000,14,0.782326,0.117314
10000000,20000000,20,0.782326,0.109764
10000000,20000000,24,0.782326,0.097863
10000000,20000000,32,0.782326,0.094384
20000000,40000000,1,1.553296,1.524749
20000000,40000000,2,1.553296,1.083764
20000000,40000000,4,1.553296,0.615727
20000000,40000000,8,1.553296,0.350559
20000000,40000000,10,1.553296,0.288353
20000000,40000000,14,1.553296,0.228231
20000000,40000000,20,1.553296,0.206196
20000000,40000000,24,1.553296,0.181523
20000000,40000000,32,1.553296,0.167569
