nr,ns,threads,time_seq,time_par
10000000,20000000,1,0.766465,0.746943
10000000,20000000,2,0.766465,0.545604
10000000,20000000,4,0.766465,0.293368
10000000,20000000,8,0.766465,0.171831
10000000,20000000,12,0.766465,0.126809
10000000,20000000,16,0.766465,0.102275
10000000,20000000,20,0.766465,0.103475
10000000,20000000,22,0.766465,0.102028
10000000,20000000,24,0.766465,0.096680
10000000,20000000,26,0.766465,0.091937
10000000,20000000,28,0.766465,0.090186
10000000,20000000,30,0.766465,0.091428
10000000,20000000,32,0.766465,0.088693
20000000,40000000,1,1.574106,1.514219
20000000,40000000,2,1.574106,1.085665
20000000,40000000,4,1.574106,0.606252
20000000,40000000,8,1.574106,0.350468
20000000,40000000,12,1.574106,0.252260
20000000,40000000,16,1.574106,0.207335
20000000,40000000,20,1.574106,0.214791
20000000,40000000,22,1.574106,0.190250
20000000,40000000,24,1.574106,0.182073
20000000,40000000,26,1.574106,0.172002
20000000,40000000,28,1.574106,0.168948
20000000,40000000,30,1.574106,0.168981
20000000,40000000,32,1.574106,0.163298
