nr,ns,threads,time_seq,time_par
10000000,20000000,1,0.785398,0.764504
10000000,20000000,2,0.785398,0.506524
10000000,20000000,4,0.785398,0.268681
10000000,20000000,8,0.785398,0.144352
10000000,20000000,12,0.785398,0.102909
10000000,20000000,16,0.785398,0.101217
10000000,20000000,20,0.785398,0.085763
10000000,20000000,22,0.785398,0.082993
10000000,20000000,24,0.785398,0.077195
10000000,20000000,26,0.785398,0.073842
10000000,20000000,28,0.785398,0.072934
10000000,20000000,30,0.785398,0.070954
10000000,20000000,32,0.785398,0.068825
20000000,40000000,1,1.600039,1.553759
20000000,40000000,2,1.600039,1.024281
20000000,40000000,4,1.600039,0.539274
20000000,40000000,8,1.600039,0.290076
20000000,40000000,12,1.600039,0.206413
20000000,40000000,16,1.600039,0.166801
20000000,40000000,20,1.600039,0.173485
20000000,40000000,22,1.600039,0.165476
20000000,40000000,24,1.600039,0.157242
20000000,40000000,26,1.600039,0.150463
20000000,40000000,28,1.600039,0.144561
20000000,40000000,30,1.600039,0.141031
20000000,40000000,32,1.600039,0.138833
