mode,workload,sched,order,hotmul,pf_scatter,pf_probe,firsttouch,tchunks,threads,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
loop,uniform,static,lpt,8,12,8,par,0,16,128,10000000,20000000,0,3.194,5.473,5.708,11.920,40.573,66.867,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,16,128,10000000,20000000,1,2.454,5.488,4.215,11.869,37.140,61.166,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,16,128,10000000,20000000,2,2.428,5.585,4.173,11.856,37.017,61.059,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,16,128,10000000,20000000,3,2.409,5.591,4.154,11.788,37.117,61.061,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,16,128,10000000,20000000,4,2.362,5.466,4.171,11.925,37.152,61.076,40006682,9024839626095127350,17897240367829630669
loop,skew,static,lpt,8,12,8,par,0,16,128,10000000,20000000,0,3.226,4.620,5.708,9.649,124.757,147.960,11653426,14549371682504228917,903274091094300703
loop,skew,static,lpt,8,12,8,par,0,16,128,10000000,20000000,1,2.423,4.580,4.240,9.544,123.663,144.449,11653426,14549371682504228917,903274091094300703
loop,skew,static,lpt,8,12,8,par,0,16,128,10000000,20000000,2,2.448,4.595,4.214,9.595,123.747,144.599,11653426,14549371682504228917,903274091094300703
loop,skew,static,lpt,8,12,8,par,0,16,128,10000000,20000000,3,2.405,4.540,4.190,9.840,123.523,144.498,11653426,14549371682504228917,903274091094300703
loop,skew,static,lpt,8,12,8,par,0,16,128,10000000,20000000,4,2.381,4.558,4.203,9.540,123.281,143.962,11653426,14549371682504228917,903274091094300703
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,0,3.134,5.425,5.663,11.816,41.877,67.916,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,1,2.380,5.395,4.156,11.794,39.198,62.923,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,2,2.453,5.413,4.192,11.842,39.520,63.421,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,3,2.421,5.397,4.229,11.732,39.490,63.270,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,4,2.447,5.445,4.219,11.741,39.410,63.262,40006682,9024839626095127350,17897240367829630669
loop,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,0,3.216,4.589,5.688,9.345,76.961,99.800,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,1,2.391,4.604,4.202,9.396,73.259,93.852,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,2,2.360,4.568,4.168,9.350,74.984,95.430,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,3,2.445,4.617,4.194,9.313,75.173,95.742,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,4,2.337,4.610,4.188,9.305,74.694,95.135,11653426,14549371682504228917,903274091094300703
loop,uniform,static,lpt,8,12,8,par,0,16,512,10000000,20000000,0,3.218,6.180,5.697,13.125,25.566,53.785,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,16,512,10000000,20000000,1,2.357,6.158,4.152,13.256,23.053,48.976,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,16,512,10000000,20000000,2,2.426,6.173,4.168,13.259,23.142,49.168,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,16,512,10000000,20000000,3,2.401,6.165,4.174,13.120,23.155,49.015,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,16,512,10000000,20000000,4,2.397,6.174,4.204,13.242,23.007,49.024,40006682,9024839626095127350,17897240367829630669
loop,skew,static,lpt,8,12,8,par,0,16,512,10000000,20000000,0,3.201,5.167,5.761,10.874,111.106,136.110,13904575,7777785093560621038,2343641053626786705
loop,skew,static,lpt,8,12,8,par,0,16,512,10000000,20000000,1,2.375,5.188,4.233,10.730,110.341,132.866,13904575,7777785093560621038,2343641053626786705
loop,skew,static,lpt,8,12,8,par,0,16,512,10000000,20000000,2,2.374,5.154,4.251,10.710,109.553,132.042,13904575,7777785093560621038,2343641053626786705
loop,skew,static,lpt,8,12,8,par,0,16,512,10000000,20000000,3,2.397,5.182,4.200,10.727,109.448,131.954,13904575,7777785093560621038,2343641053626786705
loop,skew,static,lpt,8,12,8,par,0,16,512,10000000,20000000,4,2.427,5.189,4.241,10.666,109.729,132.252,13904575,7777785093560621038,2343641053626786705
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,512,10000000,20000000,0,3.160,6.210,5.711,13.077,25.909,54.067,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,512,10000000,20000000,1,2.374,6.181,4.152,13.041,23.775,49.523,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,512,10000000,20000000,2,2.359,6.248,4.165,13.061,23.770,49.602,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,512,10000000,20000000,3,2.373,6.275,4.143,12.988,23.717,49.497,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,512,10000000,20000000,4,2.421,6.267,4.221,13.013,23.713,49.634,40006682,9024839626095127350,17897240367829630669
loop,skew,dynamic1,lpt,8,12,8,par,0,16,512,10000000,20000000,0,3.189,5.206,5.741,10.712,59.445,84.293,13904575,7777785093560621038,2343641053626786705
loop,skew,dynamic1,lpt,8,12,8,par,0,16,512,10000000,20000000,1,2.364,5.206,4.158,10.655,60.751,83.134,13904575,7777785093560621038,2343641053626786705
loop,skew,dynamic1,lpt,8,12,8,par,0,16,512,10000000,20000000,2,2.424,5.238,4.212,10.800,60.394,83.066,13904575,7777785093560621038,2343641053626786705
loop,skew,dynamic1,lpt,8,12,8,par,0,16,512,10000000,20000000,3,2.401,5.140,4.227,10.611,59.511,81.889,13904575,7777785093560621038,2343641053626786705
loop,skew,dynamic1,lpt,8,12,8,par,0,16,512,10000000,20000000,4,2.399,5.183,4.202,10.692,59.122,81.597,13904575,7777785093560621038,2343641053626786705
loop,uniform,static,lpt,8,12,8,par,0,16,2048,10000000,20000000,0,3.148,6.684,5.674,13.721,23.054,52.281,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,16,2048,10000000,20000000,1,2.339,6.735,4.203,13.728,21.357,48.362,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,16,2048,10000000,20000000,2,2.393,6.691,4.205,13.642,21.381,48.312,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,16,2048,10000000,20000000,3,2.414,6.740,4.208,13.793,21.360,48.515,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,16,2048,10000000,20000000,4,2.395,6.642,4.167,13.657,21.364,48.224,40006682,9024839626095127350,17897240367829630669
loop,skew,static,lpt,8,12,8,par,0,16,2048,10000000,20000000,0,3.166,5.389,5.752,11.071,108.765,134.142,13904575,7777785093560621038,2343641053626786705
loop,skew,static,lpt,8,12,8,par,0,16,2048,10000000,20000000,1,2.357,5.389,4.172,10.969,108.936,131.823,13904575,7777785093560621038,2343641053626786705
loop,skew,static,lpt,8,12,8,par,0,16,2048,10000000,20000000,2,2.435,5.478,4.235,11.287,108.896,132.331,13904575,7777785093560621038,2343641053626786705
loop,skew,static,lpt,8,12,8,par,0,16,2048,10000000,20000000,3,2.377,5.427,4.214,10.975,108.852,131.844,13904575,7777785093560621038,2343641053626786705
loop,skew,static,lpt,8,12,8,par,0,16,2048,10000000,20000000,4,2.406,5.480,4.197,11.056,108.930,132.068,13904575,7777785093560621038,2343641053626786705
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,2048,10000000,20000000,0,3.341,6.704,5.657,13.761,22.694,52.157,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,2048,10000000,20000000,1,2.412,6.700,4.187,13.750,21.404,48.454,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,2048,10000000,20000000,2,2.399,6.642,4.183,13.719,21.373,48.316,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,2048,10000000,20000000,3,2.401,6.655,4.155,13.774,21.380,48.365,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,2048,10000000,20000000,4,2.377,6.667,4.169,13.614,21.378,48.206,40006682,9024839626095127350,17897240367829630669
loop,skew,dynamic1,lpt,8,12,8,par,0,16,2048,10000000,20000000,0,3.298,5.605,5.734,11.292,60.424,86.354,13904575,7777785093560621038,2343641053626786705
loop,skew,dynamic1,lpt,8,12,8,par,0,16,2048,10000000,20000000,1,2.408,5.574,4.212,10.995,59.785,82.975,13904575,7777785093560621038,2343641053626786705
loop,skew,dynamic1,lpt,8,12,8,par,0,16,2048,10000000,20000000,2,2.431,5.437,4.210,11.032,59.229,82.338,13904575,7777785093560621038,2343641053626786705
loop,skew,dynamic1,lpt,8,12,8,par,0,16,2048,10000000,20000000,3,2.422,5.430,4.208,10.934,59.512,82.506,13904575,7777785093560621038,2343641053626786705
loop,skew,dynamic1,lpt,8,12,8,par,0,16,2048,10000000,20000000,4,2.410,5.395,4.253,11.038,60.361,83.456,13904575,7777785093560621038,2343641053626786705
loop,uniform,static,lpt,8,12,8,par,0,16,4096,10000000,20000000,0,3.190,6.864,5.709,14.038,20.838,50.639,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,16,4096,10000000,20000000,1,2.368,6.994,4.180,14.033,20.783,48.359,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,16,4096,10000000,20000000,2,2.411,6.859,4.169,13.995,20.777,48.211,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,16,4096,10000000,20000000,3,2.378,6.885,4.216,14.009,20.747,48.235,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,16,4096,10000000,20000000,4,2.456,6.948,4.171,14.005,20.661,48.241,40006682,9024839626095127350,17897240367829630669
