mode,workload,sched,order,hotmul,pf_scatter,pf_probe,firsttouch,tchunks,threads,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
loop,uniform,static,lpt,8,12,8,par,0,4,128,10000000,20000000,0,4.710,15.040,9.398,36.904,98.356,164.408,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,4,128,10000000,20000000,1,4.730,16.335,9.394,36.837,96.018,163.314,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,4,128,10000000,20000000,2,4.756,15.068,9.387,36.617,95.826,161.654,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,4,128,10000000,20000000,3,4.736,15.025,9.407,36.666,95.887,161.721,40006682,9024839626095127350,17897240367829630669
loop,uniform,static,lpt,8,12,8,par,0,4,128,10000000,20000000,4,4.747,15.003,9.372,36.661,96.059,161.843,40006682,9024839626095127350,17897240367829630669
loop,skew,static,lpt,8,12,8,par,0,4,128,10000000,20000000,0,4.740,12.921,9.448,25.956,171.498,224.562,11653426,14549371682504228917,903274091094300703
loop,skew,static,lpt,8,12,8,par,0,4,128,10000000,20000000,1,4.765,12.878,9.504,25.944,170.891,223.981,11653426,14549371682504228917,903274091094300703
loop,skew,static,lpt,8,12,8,par,0,4,128,10000000,20000000,2,4.791,12.853,9.518,26.137,170.884,224.183,11653426,14549371682504228917,903274091094300703
loop,skew,static,lpt,8,12,8,par,0,4,128,10000000,20000000,3,4.847,12.847,9.476,25.984,171.100,224.253,11653426,14549371682504228917,903274091094300703
loop,skew,static,lpt,8,12,8,par,0,4,128,10000000,20000000,4,4.836,12.929,9.479,25.962,170.764,223.970,11653426,14549371682504228917,903274091094300703
loop,uniform,static1,lpt,8,12,8,par,0,4,128,10000000,20000000,0,4.744,14.806,9.412,36.651,97.915,163.527,40006682,9024839626095127350,17897240367829630669
loop,uniform,static1,lpt,8,12,8,par,0,4,128,10000000,20000000,1,4.802,14.899,9.451,38.269,95.570,162.990,40006682,9024839626095127350,17897240367829630669
loop,uniform,static1,lpt,8,12,8,par,0,4,128,10000000,20000000,2,4.763,14.987,9.454,36.055,95.758,161.017,40006682,9024839626095127350,17897240367829630669
loop,uniform,static1,lpt,8,12,8,par,0,4,128,10000000,20000000,3,4.738,15.034,9.372,36.887,95.593,161.623,40006682,9024839626095127350,17897240367829630669
loop,uniform,static1,lpt,8,12,8,par,0,4,128,10000000,20000000,4,4.876,14.981,9.381,37.080,95.704,162.021,40006682,9024839626095127350,17897240367829630669
loop,skew,static1,lpt,8,12,8,par,0,4,128,10000000,20000000,0,4.789,12.941,9.434,25.909,185.279,238.352,11653426,14549371682504228917,903274091094300703
loop,skew,static1,lpt,8,12,8,par,0,4,128,10000000,20000000,1,4.781,12.870,9.483,26.059,184.694,237.886,11653426,14549371682504228917,903274091094300703
loop,skew,static1,lpt,8,12,8,par,0,4,128,10000000,20000000,2,4.782,12.871,9.436,25.772,184.551,237.412,11653426,14549371682504228917,903274091094300703
