mode,workload,sched,order,hotmul,pf_scatter,pf_probe,firsttouch,tchunks,threads,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
task,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,0,5.028,13.189,9.883,26.759,74.363,129.222,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,1,3.908,10.357,10.492,20.581,72.592,117.929,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,2,6.855,9.071,7.584,31.569,72.586,127.665,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,3,5.013,9.031,7.141,20.447,72.494,114.126,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,4,5.217,9.129,5.243,23.673,72.393,115.655,40006682,9024839626095127350,17897240367829630669
task_nonowait,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,0,5.303,13.461,10.499,24.069,74.791,128.123,40006682,9024839626095127350,17897240367829630669
task_nonowait,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,1,4.915,13.076,7.815,23.255,72.139,121.200,40006682,9024839626095127350,17897240367829630669
task_nonowait,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,2,5.217,10.079,9.340,26.199,72.086,122.921,40006682,9024839626095127350,17897240367829630669
task_nonowait,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,3,4.826,11.914,7.293,20.711,72.066,116.810,40006682,9024839626095127350,17897240367829630669
task_nonowait,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,4,4.881,9.064,10.864,22.675,72.115,119.599,40006682,9024839626095127350,17897240367829630669
task,skew,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,0,3.458,7.552,5.756,15.135,62.376,94.278,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,1,3.048,7.525,5.416,15.054,61.845,92.888,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,2,2.996,7.445,5.547,15.025,61.750,92.763,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,3,3.091,7.472,5.545,15.049,61.978,93.136,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,4,3.119,7.637,5.576,15.312,61.919,93.563,11653426,14549371682504228917,903274091094300703
task_nonowait,skew,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,0,3.509,7.520,5.865,15.236,62.239,94.369,11653426,14549371682504228917,903274091094300703
task_nonowait,skew,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,1,3.064,7.517,5.422,15.472,61.455,92.931,11653426,14549371682504228917,903274091094300703
task_nonowait,skew,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,2,2.961,7.499,5.602,15.018,61.431,92.511,11653426,14549371682504228917,903274091094300703
task_nonowait,skew,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,3,3.081,7.495,5.647,15.049,61.418,92.690,11653426,14549371682504228917,903274091094300703
task_nonowait,skew,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,4,3.174,7.578,5.580,15.230,61.742,93.304,11653426,14549371682504228917,903274091094300703
task,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,0,5.538,11.262,9.208,21.595,41.281,88.885,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,1,5.836,10.208,10.688,23.254,37.761,87.748,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,2,3.779,10.678,11.512,23.472,37.850,87.291,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,3,5.930,11.580,10.729,22.142,37.831,88.212,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,4,3.790,10.433,6.971,18.491,37.791,77.477,40006682,9024839626095127350,17897240367829630669
task_nonowait,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,0,6.277,12.463,11.432,21.715,41.536,93.423,40006682,9024839626095127350,17897240367829630669
task_nonowait,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,1,5.680,11.578,10.309,24.209,37.483,89.259,40006682,9024839626095127350,17897240367829630669
task_nonowait,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,2,6.379,9.673,16.070,26.209,37.466,95.797,40006682,9024839626095127350,17897240367829630669
task_nonowait,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,3,3.580,9.187,4.689,25.591,37.422,80.469,40006682,9024839626095127350,17897240367829630669
task_nonowait,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,4,2.521,9.234,10.927,21.047,37.609,81.338,40006682,9024839626095127350,17897240367829630669
task,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,0,4.148,5.180,6.571,10.784,60.388,87.073,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,1,2.885,5.221,5.848,10.284,59.104,83.343,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,2,3.318,4.782,4.751,10.119,60.035,83.006,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,3,2.935,4.943,4.955,10.184,58.964,81.982,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,4,3.055,4.873,5.788,9.949,61.816,85.481,11653426,14549371682504228917,903274091094300703
