slot,mode,workload,sched,order,hotmul,pf_scatter,pf_probe,firsttouch,tchunks,threads,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
1,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,0,5.828,11.141,10.016,22.339,41.310,90.635,40006682,9024839626095127350,17897240367829630669
1,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,1,8.340,11.040,11.061,21.502,37.748,89.691,40006682,9024839626095127350,17897240367829630669
1,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,2,5.423,10.022,12.888,21.677,37.615,87.626,40006682,9024839626095127350,17897240367829630669
1,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,3,5.152,11.128,10.527,19.809,37.475,84.092,40006682,9024839626095127350,17897240367829630669
1,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,4,5.218,9.393,11.152,22.452,37.437,85.653,40006682,9024839626095127350,17897240367829630669
2,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,0,6.354,12.389,9.705,22.058,40.493,90.999,40006682,9024839626095127350,17897240367829630669
2,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,1,5.485,9.865,10.677,24.094,37.910,88.032,40006682,9024839626095127350,17897240367829630669
2,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,2,6.720,10.236,11.625,24.980,37.663,91.224,40006682,9024839626095127350,17897240367829630669
2,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,3,4.719,11.266,12.557,20.819,37.877,87.239,40006682,9024839626095127350,17897240367829630669
2,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,4,5.343,11.652,9.664,22.235,37.781,86.676,40006682,9024839626095127350,17897240367829630669
3,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,0,5.894,12.270,10.190,24.598,41.808,94.761,40006682,9024839626095127350,17897240367829630669
3,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,1,6.432,10.957,15.180,24.837,37.664,95.071,40006682,9024839626095127350,17897240367829630669
3,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,2,7.564,11.069,6.990,22.522,37.588,85.732,40006682,9024839626095127350,17897240367829630669
3,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,3,5.825,9.653,10.431,19.713,37.597,83.219,40006682,9024839626095127350,17897240367829630669
3,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,4,5.266,10.481,10.118,21.785,37.645,85.296,40006682,9024839626095127350,17897240367829630669
4,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,0,5.422,13.022,10.645,24.520,41.309,94.920,40006682,9024839626095127350,17897240367829630669
4,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,1,4.493,10.004,8.961,22.219,37.626,83.303,40006682,9024839626095127350,17897240367829630669
4,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,2,3.413,9.158,8.283,21.196,37.662,79.713,40006682,9024839626095127350,17897240367829630669
4,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,3,4.867,8.618,8.678,23.229,37.662,83.055,40006682,9024839626095127350,17897240367829630669
4,task,uniform,dynamic1,lpt,8,12,8,par,16,16,128,10000000,20000000,4,5.047,8.442,8.068,20.769,37.593,79.919,40006682,9024839626095127350,17897240367829630669
