mode,workload,sched,order,hotmul,pf_scatter,pf_probe,firsttouch,tchunks,threads,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
task,uniform,dynamic1,lpt,8,12,8,par,16,8,128,10000000,20000000,0,4.903,10.888,9.593,26.464,73.200,125.049,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,16,8,128,10000000,20000000,1,4.147,10.890,8.148,26.199,72.393,121.777,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,16,8,128,10000000,20000000,2,4.028,11.676,9.323,26.405,72.471,123.903,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,16,8,128,10000000,20000000,3,4.443,10.272,8.242,26.484,72.463,121.905,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,16,8,128,10000000,20000000,4,4.667,10.745,7.664,24.690,72.409,120.176,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,32,8,128,10000000,20000000,0,4.455,11.244,9.946,24.813,73.297,123.755,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,32,8,128,10000000,20000000,1,4.206,11.135,8.541,25.775,72.019,121.676,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,32,8,128,10000000,20000000,2,4.846,11.109,8.914,25.648,72.130,122.648,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,32,8,128,10000000,20000000,3,4.548,10.723,7.938,25.621,72.371,121.202,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,32,8,128,10000000,20000000,4,4.331,11.124,8.563,25.951,72.287,122.257,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,64,8,128,10000000,20000000,0,4.565,10.178,8.170,23.592,73.532,120.039,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,64,8,128,10000000,20000000,1,4.510,9.878,8.562,23.434,71.790,118.175,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,64,8,128,10000000,20000000,2,4.549,10.198,8.686,23.657,71.786,118.877,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,64,8,128,10000000,20000000,3,4.515,10.207,8.522,23.801,72.162,119.208,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,64,8,128,10000000,20000000,4,4.281,10.197,8.399,23.822,71.670,118.369,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,128,8,128,10000000,20000000,0,4.788,10.149,8.572,23.551,74.202,121.263,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,128,8,128,10000000,20000000,1,4.437,9.725,7.914,23.770,72.464,118.311,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,128,8,128,10000000,20000000,2,4.119,9.985,8.108,23.763,72.463,118.438,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,128,8,128,10000000,20000000,3,4.130,10.275,8.296,23.718,72.394,118.812,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,128,8,128,10000000,20000000,4,4.210,10.113,8.150,23.507,72.318,118.298,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,256,8,128,10000000,20000000,0,4.583,10.108,8.416,23.465,74.476,121.048,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,256,8,128,10000000,20000000,1,4.354,10.086,8.514,23.397,72.252,118.603,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,256,8,128,10000000,20000000,2,4.139,10.002,8.128,23.574,72.303,118.146,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,256,8,128,10000000,20000000,3,4.249,9.991,8.089,23.369,72.304,118.003,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,256,8,128,10000000,20000000,4,4.178,9.943,8.375,23.266,72.299,118.061,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,512,8,128,10000000,20000000,0,4.339,10.268,8.420,23.377,75.175,121.579,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,512,8,128,10000000,20000000,1,4.140,10.259,8.284,23.251,72.379,118.313,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,512,8,128,10000000,20000000,2,4.219,10.179,8.367,23.413,72.369,118.547,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,512,8,128,10000000,20000000,3,4.238,10.218,8.190,23.414,72.346,118.405,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,512,8,128,10000000,20000000,4,4.254,10.173,8.439,23.264,72.105,118.237,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,1024,8,128,10000000,20000000,0,4.370,10.145,7.913,23.168,74.629,120.226,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,1024,8,128,10000000,20000000,1,4.175,10.091,8.029,22.855,72.286,117.436,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,1024,8,128,10000000,20000000,2,4.196,10.074,7.959,22.851,72.680,117.760,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,1024,8,128,10000000,20000000,3,4.159,10.118,7.935,22.968,72.401,117.581,40006682,9024839626095127350,17897240367829630669
task,uniform,dynamic1,lpt,8,12,8,par,1024,8,128,10000000,20000000,4,4.154,10.087,7.937,22.962,72.551,117.692,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,0,2.832,8.602,5.282,20.082,73.339,110.138,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,1,2.807,8.552,4.991,19.993,72.453,108.796,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,2,2.819,8.502,5.018,20.001,72.498,108.838,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,3,2.917,8.603,6.491,19.982,72.500,110.493,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,4,2.921,8.606,6.524,19.974,72.399,110.424,40006682,9024839626095127350,17897240367829630669
task,skew,dynamic1,lpt,8,12,8,par,16,8,128,10000000,20000000,0,3.208,7.564,6.150,15.281,62.632,94.835,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,16,8,128,10000000,20000000,1,3.037,7.549,5.895,15.355,61.650,93.487,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,16,8,128,10000000,20000000,2,3.047,7.510,5.381,15.280,61.931,93.150,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,16,8,128,10000000,20000000,3,3.222,7.467,5.371,15.187,61.100,92.347,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,16,8,128,10000000,20000000,4,2.975,7.435,5.936,15.279,61.645,93.270,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,32,8,128,10000000,20000000,0,3.462,7.609,5.600,15.227,62.440,94.339,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,32,8,128,10000000,20000000,1,3.109,7.595,5.533,15.190,61.409,92.836,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,32,8,128,10000000,20000000,2,3.125,7.552,5.708,15.254,61.323,92.962,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,32,8,128,10000000,20000000,3,3.184,7.573,5.583,15.284,61.503,93.128,11653426,14549371682504228917,903274091094300703
