mode,workload,sched,order,hotmul,pf_scatter,pf_probe,firsttouch,tchunks,threads,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
task,skew,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,0,17.155,44.316,34.078,88.718,326.897,511.165,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,1,17.263,44.599,34.074,88.675,327.261,511.872,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,2,17.142,44.353,34.028,88.637,326.624,510.784,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,3,17.190,44.445,35.011,88.825,326.343,511.815,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,4,17.479,44.300,34.118,88.796,326.560,511.255,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,1,128,10000000,20000000,0,17.138,44.324,34.031,88.626,325.727,509.847,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,1,128,10000000,20000000,1,17.279,44.318,34.115,89.197,321.303,506.212,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,1,128,10000000,20000000,2,17.155,44.128,34.254,88.676,322.550,506.762,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,1,128,10000000,20000000,3,17.176,44.362,34.724,88.642,321.249,506.153,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,1,128,10000000,20000000,4,17.509,44.574,34.141,88.531,321.166,505.921,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,0,17.126,44.335,34.065,88.731,327.165,511.421,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,1,17.186,44.181,34.195,88.731,326.941,511.233,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,2,17.238,44.245,34.057,88.624,327.060,511.225,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,3,17.111,44.323,34.277,88.969,327.012,511.692,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,4,17.470,44.253,34.270,88.915,326.729,511.636,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,2,128,10000000,20000000,0,9.049,23.891,17.894,47.393,173.434,271.662,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,2,128,10000000,20000000,1,9.089,23.556,18.364,47.242,172.654,270.905,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,2,128,10000000,20000000,2,9.033,23.610,17.873,47.425,172.787,270.728,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,2,128,10000000,20000000,3,9.211,23.633,17.899,47.884,173.132,271.759,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,2,128,10000000,20000000,4,9.052,23.586,18.834,47.902,175.453,274.828,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,2,128,10000000,20000000,0,9.048,23.812,17.943,47.360,167.825,265.988,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,2,128,10000000,20000000,1,8.983,23.618,18.342,47.205,168.154,266.303,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,2,128,10000000,20000000,2,9.030,23.553,17.969,47.382,167.620,265.555,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,2,128,10000000,20000000,3,9.169,23.543,17.917,47.994,167.988,266.612,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,2,128,10000000,20000000,4,9.021,23.664,18.495,47.896,167.436,266.513,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,2,128,10000000,20000000,0,8.985,23.658,17.922,47.367,174.016,271.948,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,2,128,10000000,20000000,1,9.008,23.630,17.865,47.493,172.899,270.895,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,2,128,10000000,20000000,2,8.959,23.615,17.862,47.223,173.190,270.850,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,2,128,10000000,20000000,3,9.196,23.675,17.872,47.953,173.568,272.263,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,2,128,10000000,20000000,4,8.988,23.656,17.950,47.348,173.310,271.252,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,4,128,10000000,20000000,0,5.567,12.953,10.217,26.038,97.476,152.251,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,4,128,10000000,20000000,1,4.787,13.009,9.749,25.917,97.158,150.621,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,4,128,10000000,20000000,2,4.818,12.938,9.480,26.001,96.692,149.931,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,4,128,10000000,20000000,3,4.793,12.984,9.636,25.918,97.168,150.499,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,4,128,10000000,20000000,4,4.805,12.861,9.425,25.828,97.666,150.586,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,4,128,10000000,20000000,0,5.535,12.871,10.109,25.960,91.632,146.107,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,4,128,10000000,20000000,1,4.803,12.988,10.188,25.744,91.928,145.651,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,4,128,10000000,20000000,2,4.773,12.898,9.656,26.033,91.905,145.266,11653426,14549371682504228917,903274091094300703
