mode,workload,sched,order,hotmul,pf_scatter,pf_probe,firsttouch,tchunks,threads,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
task,skew,dynamic1,lpt,1,12,8,par,0,16,128,10000000,20000000,0,3.980,5.538,6.795,10.305,59.883,86.502,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,1,12,8,par,0,16,128,10000000,20000000,1,2.910,5.044,5.631,10.202,59.884,83.672,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,1,12,8,par,0,16,128,10000000,20000000,2,3.087,4.934,6.071,10.307,60.255,84.655,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,1,12,8,par,0,16,128,10000000,20000000,3,3.223,5.116,6.937,10.086,60.183,85.546,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,1,12,8,par,0,16,128,10000000,20000000,4,2.950,4.842,5.741,10.041,58.861,82.436,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,2,12,8,par,0,16,128,10000000,20000000,0,4.105,5.112,6.558,10.536,60.494,86.805,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,2,12,8,par,0,16,128,10000000,20000000,1,3.025,4.838,5.757,10.149,59.340,83.109,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,2,12,8,par,0,16,128,10000000,20000000,2,3.264,5.047,5.216,10.107,59.875,83.510,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,2,12,8,par,0,16,128,10000000,20000000,3,2.886,4.953,5.066,10.317,60.120,83.342,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,2,12,8,par,0,16,128,10000000,20000000,4,3.252,5.085,5.398,9.688,59.641,83.064,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,4,12,8,par,0,16,128,10000000,20000000,0,3.990,5.302,6.691,10.972,59.703,86.657,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,4,12,8,par,0,16,128,10000000,20000000,1,2.858,5.258,6.120,9.860,59.270,83.367,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,4,12,8,par,0,16,128,10000000,20000000,2,3.126,5.103,5.441,9.899,60.012,83.582,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,4,12,8,par,0,16,128,10000000,20000000,3,2.866,4.903,5.246,9.863,59.077,81.956,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,4,12,8,par,0,16,128,10000000,20000000,4,3.015,5.112,5.104,10.295,59.412,82.938,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,0,4.130,5.314,6.804,10.690,61.227,88.166,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,1,3.070,5.004,5.786,10.507,61.216,85.582,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,2,2.810,4.920,5.407,10.602,59.320,83.059,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,3,3.251,5.167,4.718,9.945,60.016,83.096,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,4,2.962,5.087,5.165,10.076,59.114,82.404,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,16,12,8,par,0,16,128,10000000,20000000,0,3.816,5.219,7.173,10.446,60.577,87.231,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,16,12,8,par,0,16,128,10000000,20000000,1,2.723,5.063,5.780,10.598,61.531,85.696,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,16,12,8,par,0,16,128,10000000,20000000,2,3.296,4.895,5.461,10.543,60.267,84.462,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,16,12,8,par,0,16,128,10000000,20000000,3,2.782,4.826,5.179,9.770,61.044,83.603,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,16,12,8,par,0,16,128,10000000,20000000,4,2.808,5.034,5.341,10.133,59.913,83.230,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,32,12,8,par,0,16,128,10000000,20000000,0,4.092,5.489,7.139,10.503,69.925,97.150,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,32,12,8,par,0,16,128,10000000,20000000,1,2.905,5.002,5.487,9.891,69.560,92.845,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,32,12,8,par,0,16,128,10000000,20000000,2,2.927,5.105,5.073,10.148,71.022,94.275,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,32,12,8,par,0,16,128,10000000,20000000,3,3.091,5.085,5.172,10.061,72.085,95.495,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,32,12,8,par,0,16,128,10000000,20000000,4,3.020,4.922,5.514,10.406,70.393,94.257,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,64,12,8,par,0,16,128,10000000,20000000,0,3.746,5.218,6.961,10.489,72.260,98.675,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,64,12,8,par,0,16,128,10000000,20000000,1,2.943,5.003,5.740,10.105,68.407,92.198,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,64,12,8,par,0,16,128,10000000,20000000,2,3.071,5.047,4.988,9.980,69.280,92.366,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,64,12,8,par,0,16,128,10000000,20000000,3,2.952,4.946,5.120,9.907,70.075,93.000,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,64,12,8,par,0,16,128,10000000,20000000,4,3.028,4.830,5.541,10.207,70.924,94.530,11653426,14549371682504228917,903274091094300703
