mode,workload,sched,order,hotmul,pf_scatter,pf_probe,firsttouch,tchunks,threads,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
task,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,0,4.040,5.319,7.102,10.503,59.600,86.565,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,1,3.070,5.167,5.382,10.429,60.996,85.046,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,2,3.327,5.169,5.506,9.994,62.317,86.313,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,3,2.937,4.876,5.962,9.882,59.355,83.012,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,4,2.719,4.934,5.537,9.857,58.683,81.732,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,16,128,10000000,20000000,0,4.239,5.127,7.230,10.583,71.464,98.644,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,16,128,10000000,20000000,1,3.087,4.879,7.250,10.527,70.879,96.621,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,16,128,10000000,20000000,2,3.128,5.141,5.468,10.359,70.356,94.454,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,16,128,10000000,20000000,3,3.051,5.127,5.124,10.469,69.418,93.189,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,lpt,0,12,8,par,0,16,128,10000000,20000000,4,3.253,5.108,5.224,10.477,69.677,93.740,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,natural,8,12,8,par,0,16,128,10000000,20000000,0,4.039,5.261,6.729,10.700,62.929,89.658,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,natural,8,12,8,par,0,16,128,10000000,20000000,1,3.274,5.047,6.341,9.974,61.444,86.081,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,natural,8,12,8,par,0,16,128,10000000,20000000,2,2.877,4.902,5.078,10.446,61.210,84.513,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,natural,8,12,8,par,0,16,128,10000000,20000000,3,2.951,5.009,5.174,9.937,60.474,83.545,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,natural,8,12,8,par,0,16,128,10000000,20000000,4,3.225,5.095,5.165,9.966,61.264,84.716,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,natural,0,12,8,par,0,16,128,10000000,20000000,0,3.997,5.169,7.014,10.562,73.820,100.563,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,natural,0,12,8,par,0,16,128,10000000,20000000,1,3.141,4.899,5.817,10.073,71.061,94.992,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,natural,0,12,8,par,0,16,128,10000000,20000000,2,3.205,5.036,5.428,9.917,73.961,97.547,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,natural,0,12,8,par,0,16,128,10000000,20000000,3,3.043,4.908,4.814,10.380,73.104,96.250,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,natural,0,12,8,par,0,16,128,10000000,20000000,4,3.104,5.149,5.998,10.559,72.117,96.928,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,random,8,12,8,par,0,16,128,10000000,20000000,0,4.064,5.116,6.463,10.447,62.737,88.827,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,random,8,12,8,par,0,16,128,10000000,20000000,1,3.706,5.082,5.944,10.046,60.812,85.591,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,random,8,12,8,par,0,16,128,10000000,20000000,2,3.069,4.828,5.471,10.189,63.369,86.925,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,random,8,12,8,par,0,16,128,10000000,20000000,3,2.923,5.099,5.616,10.305,63.501,87.445,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,random,8,12,8,par,0,16,128,10000000,20000000,4,2.879,4.926,5.681,10.380,62.796,86.663,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,random,0,12,8,par,0,16,128,10000000,20000000,0,3.841,5.048,6.568,10.503,75.755,101.715,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,random,0,12,8,par,0,16,128,10000000,20000000,1,2.869,4.910,6.196,9.995,74.449,98.419,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,random,0,12,8,par,0,16,128,10000000,20000000,2,3.257,5.153,4.953,10.345,71.805,95.513,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,random,0,12,8,par,0,16,128,10000000,20000000,3,2.957,4.992,5.012,10.288,72.685,95.934,11653426,14549371682504228917,903274091094300703
task,skew,dynamic1,random,0,12,8,par,0,16,128,10000000,20000000,4,2.861,5.016,5.923,9.715,74.977,98.493,11653426,14549371682504228917,903274091094300703
