mode,workload,sched,order,hotmul,pf_scatter,pf_probe,firsttouch,tchunks,threads,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
loop,uniform,dynamic1,lpt,8,12,0,par,0,1,128,10000000,20000000,0,18.267,51.304,36.415,128.761,382.224,616.971,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,0,par,0,1,128,10000000,20000000,1,18.326,52.444,36.676,128.743,379.496,615.684,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,0,par,0,1,128,10000000,20000000,2,18.291,51.116,36.527,128.998,383.536,618.469,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,0,par,0,1,128,10000000,20000000,3,18.552,52.851,37.012,132.470,381.197,622.082,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,0,par,0,1,128,10000000,20000000,4,18.334,51.530,36.408,129.194,380.310,615.776,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,2,par,0,1,128,10000000,20000000,0,18.277,52.267,36.465,132.639,329.235,568.882,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,2,par,0,1,128,10000000,20000000,1,18.305,51.638,36.504,132.974,326.618,566.039,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,2,par,0,1,128,10000000,20000000,2,18.324,51.059,36.472,128.801,327.635,562.292,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,2,par,0,1,128,10000000,20000000,3,18.282,51.023,36.683,128.997,327.774,562.758,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,2,par,0,1,128,10000000,20000000,4,18.537,51.854,36.418,128.943,328.491,564.243,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,4,par,0,1,128,10000000,20000000,0,18.359,51.155,36.454,130.264,328.963,565.194,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,4,par,0,1,128,10000000,20000000,1,18.460,51.114,36.505,130.177,330.633,566.889,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,4,par,0,1,128,10000000,20000000,2,18.342,51.354,36.572,130.045,327.247,563.559,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,4,par,0,1,128,10000000,20000000,3,18.369,51.016,36.631,130.422,326.988,563.426,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,4,par,0,1,128,10000000,20000000,4,18.578,51.032,36.840,133.532,327.148,567.129,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,0,18.296,51.114,36.552,130.257,328.531,564.750,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,1,18.311,51.153,36.478,130.279,326.075,562.296,40006682,9024839626095127350,17897240367829630669
