mode,workload,sched,order,hotmul,pf_scatter,pf_probe,firsttouch,tchunks,threads,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
loop,uniform,dynamic1,lpt,8,0,8,par,0,1,128,10000000,20000000,0,18.320,131.696,36.482,275.719,328.919,791.135,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,8,par,0,1,128,10000000,20000000,1,18.369,132.676,36.579,275.345,326.564,789.532,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,8,par,0,1,128,10000000,20000000,2,18.336,131.660,36.595,276.069,327.613,790.272,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,8,par,0,1,128,10000000,20000000,3,18.803,133.171,36.718,290.224,327.947,806.864,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,8,par,0,1,128,10000000,20000000,4,18.326,131.706,36.499,275.375,328.321,790.226,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,2,8,par,0,1,128,10000000,20000000,0,18.269,59.038,36.464,140.964,328.634,583.369,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,2,8,par,0,1,128,10000000,20000000,1,18.301,59.029,36.515,145.242,326.144,585.231,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,2,8,par,0,1,128,10000000,20000000,2,18.363,56.975,36.506,136.382,327.070,575.295,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,2,8,par,0,1,128,10000000,20000000,3,18.292,56.903,36.992,141.542,327.519,581.249,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,2,8,par,0,1,128,10000000,20000000,4,18.550,57.011,36.599,135.527,327.211,574.898,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,4,8,par,0,1,128,10000000,20000000,0,18.450,56.252,36.465,128.934,329.462,569.564,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,4,8,par,0,1,128,10000000,20000000,1,18.315,56.256,36.496,132.610,325.923,569.600,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,4,8,par,0,1,128,10000000,20000000,2,18.385,54.575,36.473,128.200,327.484,565.117,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,4,8,par,0,1,128,10000000,20000000,3,18.306,54.650,36.517,136.119,327.299,572.891,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,4,8,par,0,1,128,10000000,20000000,4,18.614,54.551,36.438,128.284,327.495,565.383,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,8,8,par,0,1,128,10000000,20000000,0,18.303,52.120,36.467,128.591,329.574,565.055,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,8,8,par,0,1,128,10000000,20000000,1,18.325,52.012,36.513,126.583,326.394,559.827,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,8,8,par,0,1,128,10000000,20000000,2,18.341,52.105,36.666,125.359,327.356,559.827,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,8,8,par,0,1,128,10000000,20000000,3,18.443,51.943,36.772,125.653,328.004,560.815,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,8,8,par,0,1,128,10000000,20000000,4,18.606,53.338,36.500,129.739,327.390,565.574,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,0,18.392,51.061,36.436,128.711,326.282,560.882,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,1,18.286,51.753,36.486,129.348,323.244,559.117,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,2,18.347,51.013,36.491,128.624,324.371,558.846,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,3,18.307,52.014,36.603,133.088,324.845,564.857,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,4,18.521,51.086,36.489,129.084,324.553,559.733,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,16,8,par,0,1,128,10000000,20000000,0,18.362,52.092,38.445,138.194,328.914,576.008,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,16,8,par,0,1,128,10000000,20000000,1,18.304,52.433,36.459,139.619,326.581,573.396,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,16,8,par,0,1,128,10000000,20000000,2,18.639,51.326,36.531,138.274,326.760,571.530,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,16,8,par,0,1,128,10000000,20000000,3,18.306,51.544,36.644,142.840,327.399,576.733,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,16,8,par,0,1,128,10000000,20000000,4,18.565,51.342,36.453,138.072,328.213,572.646,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,24,8,par,0,1,128,10000000,20000000,0,18.304,53.641,36.546,160.401,329.553,598.446,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,24,8,par,0,1,128,10000000,20000000,1,18.292,53.582,36.546,160.639,326.499,595.558,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,24,8,par,0,1,128,10000000,20000000,2,18.370,54.634,36.524,161.813,327.517,598.859,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,24,8,par,0,1,128,10000000,20000000,3,18.284,53.687,38.027,160.699,327.832,598.530,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,24,8,par,0,1,128,10000000,20000000,4,18.394,53.521,36.450,161.672,327.732,597.769,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,32,8,par,0,1,128,10000000,20000000,0,18.287,57.423,36.487,176.649,328.423,617.268,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,32,8,par,0,1,128,10000000,20000000,1,18.325,57.506,36.546,176.879,326.134,615.390,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,32,8,par,0,1,128,10000000,20000000,2,18.289,59.405,36.768,180.173,327.305,621.940,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,32,8,par,0,1,128,10000000,20000000,3,18.587,57.301,37.122,176.766,326.925,616.700,40006682,9024839626095127350,17897240367829630669
