mode,workload,sched,order,hotmul,pf_scatter,pf_probe,firsttouch,tchunks,threads,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,0,18.329,52.241,36.460,132.759,328.641,568.431,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,1,18.474,51.726,36.570,131.683,325.984,564.437,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,2,18.388,51.612,36.500,128.672,327.696,562.868,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,3,18.285,51.596,36.620,129.097,327.249,562.847,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,4,18.557,52.805,36.516,129.946,327.043,564.867,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,0,par,0,1,128,10000000,20000000,0,18.305,51.031,36.444,130.221,381.709,617.710,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,0,par,0,1,128,10000000,20000000,1,18.385,51.048,36.515,130.158,379.054,615.161,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,0,par,0,1,128,10000000,20000000,2,18.312,52.166,36.557,133.015,380.088,620.138,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,0,par,0,1,128,10000000,20000000,3,18.574,50.996,36.986,130.116,380.510,617.181,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,0,par,0,1,128,10000000,20000000,4,18.296,51.199,36.435,130.077,380.194,616.201,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,8,par,0,1,128,10000000,20000000,0,18.883,131.395,36.450,275.350,328.952,791.030,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,8,par,0,1,128,10000000,20000000,1,18.341,131.600,36.585,275.541,326.291,788.358,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,8,par,0,1,128,10000000,20000000,2,18.408,133.777,36.692,279.928,327.215,796.020,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,8,par,0,1,128,10000000,20000000,3,18.688,131.431,36.759,275.465,327.460,789.803,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,8,par,0,1,128,10000000,20000000,4,18.309,131.290,36.506,277.661,328.125,791.892,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,0,par,0,1,128,10000000,20000000,0,18.330,131.298,36.411,275.709,370.731,832.478,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,0,par,0,1,128,10000000,20000000,1,18.312,131.351,36.433,275.597,370.044,831.736,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,0,par,0,1,128,10000000,20000000,2,18.351,133.789,36.657,277.309,368.814,834.919,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,0,par,0,1,128,10000000,20000000,3,18.580,131.048,36.428,276.007,369.747,831.809,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,0,par,0,1,128,10000000,20000000,4,18.295,131.185,36.394,280.222,369.297,835.394,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,0,2.981,8.475,6.533,20.252,74.186,112.428,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,1,2.968,8.612,5.358,20.333,72.741,110.013,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,2,3.027,8.551,5.408,22.193,72.318,111.496,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,3,2.951,8.585,5.447,20.353,72.321,109.657,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,4,3.007,8.617,5.497,20.349,72.181,109.650,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,0,par,0,8,128,10000000,20000000,0,3.023,8.668,8.334,20.117,100.299,140.441,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,0,par,0,8,128,10000000,20000000,1,3.000,8.548,5.352,19.938,96.585,133.423,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,0,par,0,8,128,10000000,20000000,2,2.942,8.691,5.402,19.792,96.168,132.995,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,0,par,0,8,128,10000000,20000000,3,2.922,9.083,5.389,19.799,95.924,133.118,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,0,par,0,8,128,10000000,20000000,4,2.967,8.528,5.424,19.822,96.172,132.914,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,8,par,0,8,128,10000000,20000000,0,3.008,18.709,5.419,38.752,75.292,141.180,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,8,par,0,8,128,10000000,20000000,1,2.979,18.822,5.436,40.316,72.981,140.534,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,8,par,0,8,128,10000000,20000000,2,2.996,18.795,5.393,38.741,73.119,139.045,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,8,par,0,8,128,10000000,20000000,3,2.953,18.879,5.521,40.227,73.297,140.876,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,8,par,0,8,128,10000000,20000000,4,3.054,18.782,5.380,40.370,73.253,140.839,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,0,par,0,8,128,10000000,20000000,0,3.004,18.569,5.528,40.072,98.280,165.453,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,0,par,0,8,128,10000000,20000000,1,2.981,18.812,5.408,40.472,96.113,163.787,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,0,par,0,8,128,10000000,20000000,2,3.010,18.766,5.424,40.580,96.035,163.816,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,0,par,0,8,128,10000000,20000000,3,2.954,18.906,5.362,40.607,96.063,163.892,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,0,0,par,0,8,128,10000000,20000000,4,2.998,19.142,5.369,40.637,95.828,163.975,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,0,3.181,5.464,5.733,11.863,41.137,67.378,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,1,2.389,5.453,4.254,11.882,38.310,62.287,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,2,2.404,5.470,4.204,11.852,38.338,62.267,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,3,2.392,5.579,4.204,11.877,38.277,62.329,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,16,128,10000000,20000000,4,2.377,5.485,4.211,11.863,38.345,62.280,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,0,par,0,16,128,10000000,20000000,0,3.176,5.435,5.616,11.850,53.570,79.647,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,0,par,0,16,128,10000000,20000000,1,2.384,5.389,4.229,11.800,49.451,73.253,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,0,par,0,16,128,10000000,20000000,2,2.431,5.376,4.232,12.116,49.397,73.551,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,0,par,0,16,128,10000000,20000000,3,2.423,5.466,4.188,11.950,49.385,73.412,40006682,9024839626095127350,17897240367829630669
