mode,workload,sched,order,hotmul,pf_scatter,pf_probe,firsttouch,tchunks,threads,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
loop,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,0,2.980,8.528,6.558,20.135,75.235,113.435,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,1,2.977,8.503,5.349,19.791,73.358,109.979,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,2,3.006,8.623,5.391,19.767,73.082,109.869,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,3,2.965,8.502,5.386,21.313,73.176,111.341,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,4,2.997,8.554,5.358,19.796,73.345,110.051,40006682,9024839626095127350,17897240367829630669
loop,skew,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,0,3.029,7.276,5.518,15.093,81.919,112.834,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,1,3.008,7.361,5.414,15.033,81.156,111.972,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,2,3.167,7.327,5.418,14.958,81.168,112.038,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,3,3.067,7.333,5.416,14.818,80.390,111.024,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,par,0,8,128,10000000,20000000,4,3.006,7.263,5.428,15.269,81.316,112.282,11653426,14549371682504228917,903274091094300703
loop,uniform,dynamic1,lpt,8,12,8,seq,0,8,128,10000000,20000000,0,3.058,8.491,6.646,19.686,75.063,112.944,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,seq,0,8,128,10000000,20000000,1,2.931,8.659,5.440,20.675,73.311,111.016,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,seq,0,8,128,10000000,20000000,2,2.972,8.652,5.409,19.712,73.339,110.084,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,seq,0,8,128,10000000,20000000,3,2.932,8.633,5.428,20.650,73.246,110.888,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,seq,0,8,128,10000000,20000000,4,2.952,8.661,5.424,19.707,73.313,110.057,40006682,9024839626095127350,17897240367829630669
loop,skew,dynamic1,lpt,8,12,8,seq,0,8,128,10000000,20000000,0,2.934,7.349,5.566,15.075,82.444,113.367,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,seq,0,8,128,10000000,20000000,1,2.976,7.364,5.439,14.925,80.853,111.557,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,seq,0,8,128,10000000,20000000,2,2.925,7.356,5.452,15.210,81.724,112.667,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,seq,0,8,128,10000000,20000000,3,3.032,7.351,5.432,15.307,81.545,112.665,11653426,14549371682504228917,903274091094300703
loop,skew,dynamic1,lpt,8,12,8,seq,0,8,128,10000000,20000000,4,2.938,7.385,5.437,14.970,80.935,111.666,11653426,14549371682504228917,903274091094300703
loop,uniform,dynamic1,lpt,8,12,8,interleave,0,8,128,10000000,20000000,0,2.775,9.336,5.479,21.683,84.550,123.823,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,interleave,0,8,128,10000000,20000000,1,2.771,9.284,6.479,21.994,81.745,122.272,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,interleave,0,8,128,10000000,20000000,2,2.758,9.514,9.685,21.245,81.798,124.999,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,interleave,0,8,128,10000000,20000000,3,3.263,9.570,5.446,21.398,81.769,121.445,40006682,9024839626095127350,17897240367829630669
