mode,workload,sched,order,hotmul,pf_scatter,pf_probe,firsttouch,tchunks,threads,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,0,18.328,52.113,36.464,131.856,328.759,567.520,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,1,18.377,52.119,36.658,133.090,326.270,566.514,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,2,18.327,51.411,36.746,130.249,327.471,564.204,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,3,18.288,51.242,36.574,132.823,327.359,566.286,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,10000000,20000000,4,18.555,51.027,36.494,130.310,327.569,563.955,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,2,128,10000000,20000000,0,9.604,27.398,19.171,68.379,173.002,297.554,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,2,128,10000000,20000000,1,9.626,27.416,19.336,67.874,171.108,295.361,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,2,128,10000000,20000000,2,9.647,27.335,19.199,67.641,171.156,294.978,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,2,128,10000000,20000000,3,9.654,27.710,19.576,67.525,171.798,296.263,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,2,128,10000000,20000000,4,9.604,27.361,19.218,68.908,171.025,296.115,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,4,128,10000000,20000000,0,5.110,14.944,10.186,36.592,98.784,165.617,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,4,128,10000000,20000000,1,5.117,15.124,13.073,36.730,96.506,166.550,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,4,128,10000000,20000000,2,5.145,14.824,13.264,37.188,96.556,166.976,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,4,128,10000000,20000000,3,5.125,14.898,13.496,37.473,96.575,167.567,40006682,9024839626095127350,17897240367829630669
loop,uniform,dynamic1,lpt,8,12,8,par,0,4,128,10000000,20000000,4,5.134,14.845,13.243,37.393,96.531,167.145,40006682,9024839626095127350,17897240367829630669
