impl,workload,pf_scatter,pf_probe,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
seq,uniform,0,0,128,10000000,20000000,0,18.294,146.292,36.375,311.160,397.778,909.899,40006682,9024839626095127350,17897240367829630669
seq,uniform,0,0,128,10000000,20000000,1,18.250,145.075,36.453,324.585,395.215,919.578,40006682,9024839626095127350,17897240367829630669
seq,uniform,0,0,128,10000000,20000000,2,18.235,145.650,36.589,310.589,398.056,909.118,40006682,9024839626095127350,17897240367829630669
seq,uniform,0,0,128,10000000,20000000,3,18.504,145.322,36.479,325.181,395.217,920.703,40006682,9024839626095127350,17897240367829630669
seq,uniform,0,0,128,10000000,20000000,4,18.557,145.675,36.467,310.408,394.757,905.864,40006682,9024839626095127350,17897240367829630669
seq,uniform,12,0,128,10000000,20000000,0,18.320,70.973,36.728,167.225,396.169,689.415,40006682,9024839626095127350,17897240367829630669
seq,uniform,12,0,128,10000000,20000000,1,18.421,70.315,36.478,171.185,393.891,690.290,40006682,9024839626095127350,17897240367829630669
seq,uniform,12,0,128,10000000,20000000,2,18.382,71.389,36.441,168.130,394.088,688.430,40006682,9024839626095127350,17897240367829630669
seq,uniform,12,0,128,10000000,20000000,3,18.515,70.221,37.267,171.806,394.167,691.977,40006682,9024839626095127350,17897240367829630669
seq,uniform,12,0,128,10000000,20000000,4,18.261,70.910,36.438,167.100,393.880,686.589,40006682,9024839626095127350,17897240367829630669
seq,uniform,0,8,128,10000000,20000000,0,18.251,145.758,36.489,309.848,338.117,848.463,40006682,9024839626095127350,17897240367829630669
seq,uniform,0,8,128,10000000,20000000,1,18.293,147.412,36.546,307.977,337.396,847.625,40006682,9024839626095127350,17897240367829630669
seq,uniform,0,8,128,10000000,20000000,2,18.553,145.084,36.607,309.101,335.960,845.305,40006682,9024839626095127350,17897240367829630669
seq,uniform,0,8,128,10000000,20000000,3,18.561,147.257,36.592,307.675,336.490,846.575,40006682,9024839626095127350,17897240367829630669
seq,uniform,0,8,128,10000000,20000000,4,18.302,144.720,36.642,309.698,335.914,845.276,40006682,9024839626095127350,17897240367829630669
seq,uniform,12,8,128,10000000,20000000,0,18.287,70.869,36.668,172.220,340.597,638.641,40006682,9024839626095127350,17897240367829630669
seq,uniform,12,8,128,10000000,20000000,1,18.312,71.247,36.479,168.446,339.233,633.717,40006682,9024839626095127350,17897240367829630669
seq,uniform,12,8,128,10000000,20000000,2,18.298,70.615,36.982,168.502,338.278,632.675,40006682,9024839626095127350,17897240367829630669
seq,uniform,12,8,128,10000000,20000000,3,18.325,70.973,36.600,168.351,338.416,632.665,40006682,9024839626095127350,17897240367829630669
seq,uniform,12,8,128,10000000,20000000,4,18.529,70.890,36.483,172.333,338.339,636.574,40006682,9024839626095127350,17897240367829630669
