arm,threads,max_key,P,NR,NS,npart,rep,r_count,slots,table_kb,distinct,alpha,build_ns_per_key,probe_ns_per_key,join_count
A,1,5000000,128,2000000,4000000,8,0,15627,32768,512,12889,0.3934,18.139,15.265,100196
A,1,5000000,128,2000000,4000000,8,1,15627,32768,512,12889,0.3934,14.721,15.217,100196
A,1,5000000,128,2000000,4000000,8,2,15627,32768,512,12889,0.3934,14.589,15.087,100196
A,2,5000000,128,4000000,8000000,8,0,31177,65536,1024,21478,0.3277,17.101,10.726,398441
A,2,5000000,128,4000000,8000000,8,1,31177,65536,1024,21478,0.3277,13.643,10.524,398441
A,2,5000000,128,4000000,8000000,8,2,31177,65536,1024,21478,0.3277,13.485,10.465,398441
A,4,5000000,128,8000000,16000000,8,0,62472,131072,2048,31175,0.2378,16.636,6.701,1598220
A,4,5000000,128,8000000,16000000,8,1,62472,131072,2048,31175,0.2378,13.150,6.504,1598220
A,4,5000000,128,8000000,16000000,8,2,62472,131072,2048,31175,0.2378,13.065,6.506,1598220
A,8,5000000,128,16000000,32000000,8,0,125015,262144,4096,37481,0.1430,15.662,5.690,6396917
A,8,5000000,128,16000000,32000000,8,1,125015,262144,4096,37481,0.1430,13.633,5.827,6396917
A,8,5000000,128,16000000,32000000,8,2,125015,262144,4096,37481,0.1430,13.784,5.777,6396917
A,16,5000000,128,32000000,64000000,8,0,249839,524288,8192,39001,0.0744,12.521,4.801,25568564
A,16,5000000,128,32000000,64000000,8,1,249839,524288,8192,39001,0.0744,10.869,4.816,25568564
A,16,5000000,128,32000000,64000000,8,2,249839,524288,8192,39001,0.0744,10.894,4.776,25568564
A,32,5000000,128,64000000,128000000,8,0,500013,1048576,16384,39062,0.0373,11.512,5.202,102345795
A,32,5000000,128,64000000,128000000,8,1,500013,1048576,16384,39062,0.0373,10.040,5.214,102345795
A,32,5000000,128,64000000,128000000,8,2,500013,1048576,16384,39062,0.0373,10.074,5.195,102345795
B,1,5000000,128,2000000,4000000,8,0,15627,32768,512,12889,0.3934,18.277,15.408,100196
B,1,5000000,128,2000000,4000000,8,1,15627,32768,512,12889,0.3934,14.557,15.099,100196
B,1,5000000,128,2000000,4000000,8,2,15627,32768,512,12889,0.3934,14.491,14.968,100196
B,2,10000000,128,4000000,8000000,8,0,31222,65536,1024,25718,0.3924,16.951,14.057,199814
B,2,10000000,128,4000000,8000000,8,1,31222,65536,1024,25718,0.3924,13.452,13.990,199814
B,2,10000000,128,4000000,8000000,8,2,31222,65536,1024,25718,0.3924,13.333,14.069,199814
B,4,20000000,128,8000000,16000000,8,0,62557,131072,2048,51538,0.3932,16.736,13.557,399801
B,4,20000000,128,8000000,16000000,8,1,62557,131072,2048,51538,0.3932,13.355,13.446,399801
B,4,20000000,128,8000000,16000000,8,2,62557,131072,2048,51538,0.3932,13.275,13.488,399801
B,8,40000000,128,16000000,32000000,8,0,124944,262144,4096,102921,0.3926,17.460,14.669,799287
B,8,40000000,128,16000000,32000000,8,1,124944,262144,4096,102921,0.3926,15.102,14.483,799287
B,8,40000000,128,16000000,32000000,8,2,124944,262144,4096,102921,0.3926,15.111,14.508,799287
B,16,80000000,128,32000000,64000000,8,0,249930,524288,8192,205998,0.3929,15.953,13.298,1597720
B,16,80000000,128,32000000,64000000,8,1,249930,524288,8192,205998,0.3929,14.358,13.285,1597720
B,16,80000000,128,32000000,64000000,8,2,249930,524288,8192,205998,0.3929,14.398,13.241,1597720
B,32,160000000,128,64000000,128000000,8,0,499877,1048576,16384,411959,0.3929,16.027,12.804,3201521
B,32,160000000,128,64000000,128000000,8,1,499877,1048576,16384,411959,0.3929,14.590,12.814,3201521
B,32,160000000,128,64000000,128000000,8,2,499877,1048576,16384,411959,0.3929,14.657,12.819,3201521
C,1,5000000,128,2000000,4000000,8,0,15627,32768,512,12889,0.3934,18.327,15.254,100196
C,1,5000000,128,2000000,4000000,8,1,15627,32768,512,12889,0.3934,14.346,15.090,100196
C,1,5000000,128,2000000,4000000,8,2,15627,32768,512,12889,0.3934,14.436,14.980,100196
C,2,10000000,256,4000000,8000000,8,0,15573,32768,512,12841,0.3919,17.290,14.356,99542
C,2,10000000,256,4000000,8000000,8,1,15573,32768,512,12841,0.3919,13.365,14.066,99542
C,2,10000000,256,4000000,8000000,8,2,15573,32768,512,12841,0.3919,13.566,14.164,99542
C,4,20000000,512,8000000,16000000,8,0,15637,32768,512,12855,0.3923,15.937,12.193,100566
C,4,20000000,512,8000000,16000000,8,1,15637,32768,512,12855,0.3923,12.059,12.009,100566
C,4,20000000,512,8000000,16000000,8,2,15637,32768,512,12855,0.3923,12.002,11.918,100566
C,8,40000000,1024,16000000,32000000,8,0,15611,32768,512,12890,0.3934,19.994,16.850,99459
C,8,40000000,1024,16000000,32000000,8,1,15611,32768,512,12890,0.3934,16.365,16.575,99459
C,8,40000000,1024,16000000,32000000,8,2,15611,32768,512,12890,0.3934,16.465,16.658,99459
C,16,80000000,2048,32000000,64000000,8,0,15525,32768,512,12821,0.3913,20.750,16.957,98665
C,16,80000000,2048,32000000,64000000,8,1,15525,32768,512,12821,0.3913,16.984,16.603,98665
C,16,80000000,2048,32000000,64000000,8,2,15525,32768,512,12821,0.3913,16.906,16.788,98665
C,32,160000000,4096,64000000,128000000,8,0,15574,32768,512,12860,0.3925,17.703,15.296,100172
C,32,160000000,4096,64000000,128000000,8,1,15574,32768,512,12860,0.3925,13.869,14.895,100172
C,32,160000000,4096,64000000,128000000,8,2,15574,32768,512,12860,0.3925,13.764,14.817,100172
