arm,max_key,mode,workload,sched,order,hotmul,pf_scatter,pf_probe,firsttouch,tchunks,threads,P,NR,NS,rep,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,total_ms,join_count,checksum1,checksum2
A,5000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,2000000,4000000,0,3.471,9.602,6.801,19.351,90.423,129.648,1601783,1639011001025628553,9978953684420965244
A,5000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,2000000,4000000,1,3.456,9.638,6.819,19.322,89.707,128.944,1601783,1639011001025628553,9978953684420965244
A,5000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,2000000,4000000,2,3.450,9.634,6.809,19.466,89.682,129.042,1601783,1639011001025628553,9978953684420965244
A,5000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,2000000,4000000,3,3.446,9.664,6.847,19.310,89.547,128.815,1601783,1639011001025628553,9978953684420965244
A,5000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,1,128,2000000,4000000,4,3.439,9.648,6.818,19.324,89.424,128.653,1601783,1639011001025628553,9978953684420965244
A,5000000,task,uniform,dynamic1,lpt,8,12,8,par,0,1,128,2000000,4000000,0,3.487,9.603,6.817,19.363,91.087,130.357,1601783,1639011001025628553,9978953684420965244
A,5000000,task,uniform,dynamic1,lpt,8,12,8,par,0,1,128,2000000,4000000,1,3.463,9.663,6.839,19.338,90.627,129.931,1601783,1639011001025628553,9978953684420965244
A,5000000,task,uniform,dynamic1,lpt,8,12,8,par,0,1,128,2000000,4000000,2,3.451,9.661,6.825,19.358,90.374,129.669,1601783,1639011001025628553,9978953684420965244
A,5000000,task,uniform,dynamic1,lpt,8,12,8,par,0,1,128,2000000,4000000,3,3.452,9.654,6.806,19.348,90.589,129.850,1601783,1639011001025628553,9978953684420965244
A,5000000,task,uniform,dynamic1,lpt,8,12,8,par,0,1,128,2000000,4000000,4,3.472,9.661,6.800,19.357,90.595,129.885,1601783,1639011001025628553,9978953684420965244
A,5000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,2,128,4000000,8000000,0,3.636,10.311,7.161,20.776,80.180,122.064,6405514,13064608319638267664,12550798687495063072
A,5000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,2,128,4000000,8000000,1,3.621,10.322,7.171,20.764,79.100,120.978,6405514,13064608319638267664,12550798687495063072
A,5000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,2,128,4000000,8000000,2,3.639,11.259,7.126,20.909,78.801,121.734,6405514,13064608319638267664,12550798687495063072
A,5000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,2,128,4000000,8000000,3,3.614,10.306,7.157,20.760,78.788,120.625,6405514,13064608319638267664,12550798687495063072
A,5000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,2,128,4000000,8000000,4,3.600,11.406,7.133,20.832,78.717,121.688,6405514,13064608319638267664,12550798687495063072
A,5000000,task,uniform,dynamic1,lpt,8,12,8,par,0,2,128,4000000,8000000,0,4.431,10.533,7.167,20.979,81.083,124.194,6405514,13064608319638267664,12550798687495063072
A,5000000,task,uniform,dynamic1,lpt,8,12,8,par,0,2,128,4000000,8000000,1,3.646,10.390,7.540,20.939,80.333,122.848,6405514,13064608319638267664,12550798687495063072
A,5000000,task,uniform,dynamic1,lpt,8,12,8,par,0,2,128,4000000,8000000,2,3.842,10.434,7.157,21.082,79.920,122.435,6405514,13064608319638267664,12550798687495063072
A,5000000,task,uniform,dynamic1,lpt,8,12,8,par,0,2,128,4000000,8000000,3,3.705,10.360,7.532,21.120,79.752,122.470,6405514,13064608319638267664,12550798687495063072
A,5000000,task,uniform,dynamic1,lpt,8,12,8,par,0,2,128,4000000,8000000,4,3.655,10.356,7.235,21.077,79.908,122.231,6405514,13064608319638267664,12550798687495063072
A,5000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,4,128,8000000,16000000,0,3.845,11.448,7.493,28.015,71.209,122.010,25605925,4524307786527237882,3603704564944313719
A,5000000,loop,uniform,dynamic1,lpt,8,12,8,par,0,4,128,8000000,16000000,1,3.821,11.408,7.479,29.233,69.277,121.219,25605925,4524307786527237882,3603704564944313719
