impl,max_key,threads,rep,t_s,join_count
m2_seq,1000000,1,1,0.840743,199999829
m3_seq,1000000,1,1,0.794893,199999829
m2_seq,1000000,1,2,0.833038,199999829
m3_seq,1000000,1,2,0.802950,199999829
m2_seq,1000000,1,3,0.829675,199999829
m3_seq,1000000,1,3,0.797551,199999829
m2_seq,1000000,1,4,0.820769,199999829
m3_seq,1000000,1,4,0.795740,199999829
m2_seq,1000000,1,5,0.831427,199999829
m3_seq,1000000,1,5,0.794180,199999829
m2_par,1000000,1,1,0.797973,199999829
m3_loop,1000000,1,1,0.494536,199999829
m3_task,1000000,1,1,0.483383,199999829
m2_par,1000000,1,2,0.790900,199999829
m3_loop,1000000,1,2,0.498733,199999829
m3_task,1000000,1,2,0.482555,199999829
m2_par,1000000,1,3,0.790695,199999829
m3_loop,1000000,1,3,0.496886,199999829
m3_task,1000000,1,3,0.487477,199999829
m2_par,1000000,1,4,0.786032,199999829
m3_loop,1000000,1,4,0.495435,199999829
m3_task,1000000,1,4,0.480863,199999829
m2_par,1000000,1,5,0.804535,199999829
m3_loop,1000000,1,5,0.498906,199999829
m3_task,1000000,1,5,0.484031,199999829
m2_par,1000000,2,1,0.546059,199999829
m3_loop,1000000,2,1,0.264842,199999829
m3_task,1000000,2,1,0.259345,199999829
m2_par,1000000,2,2,0.550277,199999829
m3_loop,1000000,2,2,0.269729,199999829
m3_task,1000000,2,2,0.258602,199999829
m2_par,1000000,2,3,0.545443,199999829
m3_loop,1000000,2,3,0.263932,199999829
m3_task,1000000,2,3,0.258473,199999829
m2_par,1000000,2,4,0.547669,199999829
m3_loop,1000000,2,4,0.265385,199999829
m3_task,1000000,2,4,0.260616,199999829
m2_par,1000000,2,5,0.545706,199999829
m3_loop,1000000,2,5,0.267379,199999829
m3_task,1000000,2,5,0.257981,199999829
m2_par,1000000,4,1,0.304127,199999829
m3_loop,1000000,4,1,0.150513,199999829
m3_task,1000000,4,1,0.166245,199999829
m2_par,1000000,4,2,0.301782,199999829
m3_loop,1000000,4,2,0.150194,199999829
m3_task,1000000,4,2,0.167556,199999829
m2_par,1000000,4,3,0.302741,199999829
m3_loop,1000000,4,3,0.150745,199999829
m3_task,1000000,4,3,0.165314,199999829
m2_par,1000000,4,4,0.303579,199999829
m3_loop,1000000,4,4,0.150877,199999829
m3_task,1000000,4,4,0.163931,199999829
m2_par,1000000,4,5,0.305240,199999829
m3_loop,1000000,4,5,0.151890,199999829
m3_task,1000000,4,5,0.163221,199999829
m2_par,1000000,8,1,0.176135,199999829
