impl,workload,rho,hot,nr,ns,p,threads,run_id,t_total_s,t_hist_r,t_scatter_r,t_hist_s,t_scatter_s,t_join,join_count,checksum1,checksum2
loop,uniform,0.0,0,10000000,20000000,128,1,1,0.555759,0.016987000,0.050762000,0.033794000,0.127233000,0.326905000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,1,2,0.555746,0.016996000,0.050808000,0.033872000,0.128939000,0.325061000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,1,3,0.555703,0.017038000,0.051234000,0.033859000,0.128891000,0.324606000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,4,1,0.164659,0.004703000,0.014870000,0.009429000,0.036854000,0.098553000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,4,2,0.164687,0.004710000,0.015262000,0.009387000,0.036823000,0.098268000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,4,3,0.163866,0.004746000,0.014772000,0.009403000,0.036553000,0.098162000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,1,0.110840,0.002817000,0.008507000,0.005153000,0.019950000,0.074030000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,2,0.112286,0.002784000,0.008534000,0.006253000,0.019983000,0.074377000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,3,0.111762,0.002811000,0.008756000,0.006261000,0.019944000,0.073597000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,16,1,0.068188,0.003198000,0.005481000,0.005679000,0.011903000,0.041256000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,16,2,0.068552,0.003317000,0.005591000,0.005785000,0.012041000,0.041136000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,16,3,0.069518,0.003308000,0.005586000,0.005711000,0.012280000,0.041816000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,20,1,0.090313,0.003435000,0.009238000,0.005706000,0.025182000,0.045589000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,20,2,0.091420,0.003282000,0.009210000,0.005803000,0.025146000,0.046945000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,20,3,0.091468,0.003430000,0.009249000,0.005829000,0.025628000,0.046201000,40006682,9024839626095127350,17897240367829630669
loop,skewed,0.9,4,10000000,20000000,128,1,1,0.505700,0.017193000,0.044234000,0.034029000,0.088711000,0.321471000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,1,2,0.504800,0.017167000,0.044140000,0.034030000,0.088461000,0.320935000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,1,3,0.505505,0.017089000,0.044254000,0.034092000,0.088620000,0.321392000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,4,1,0.167499,0.004757000,0.013037000,0.009422000,0.025892000,0.114180000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,4,2,0.168280,0.004774000,0.012885000,0.009433000,0.025946000,0.115022000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,4,3,0.167479,0.004753000,0.012952000,0.009477000,0.025770000,0.114277000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,1,0.110099,0.002849000,0.007455000,0.005183000,0.015287000,0.078974000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,2,0.110564,0.002914000,0.007423000,0.005164000,0.015130000,0.079581000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,3,0.110547,0.002912000,0.007416000,0.005168000,0.015286000,0.079409000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,16,1,0.097386,0.003239000,0.004632000,0.005699000,0.009638000,0.073429000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,16,2,0.095759,0.003242000,0.004638000,0.005721000,0.009490000,0.071833000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,16,3,0.096153,0.003283000,0.004592000,0.005725000,0.009645000,0.072249000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,20,1,0.104129,0.003355000,0.006838000,0.005772000,0.014257000,0.072516000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,20,2,0.102334,0.003511000,0.006739000,0.005724000,0.013786000,0.071375000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,20,3,0.102460,0.003301000,0.006835000,0.005718000,0.013945000,0.071670000,11653426,14549371682504228917,903274091094300703
task,uniform,0.0,0,10000000,20000000,128,1,1,0.540186,0.017026000,0.051961000,0.033828000,0.128788000,0.308480000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,1,2,0.540623,0.017019000,0.050710000,0.033795000,0.131119000,0.307870000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,1,3,0.538844,0.017026000,0.050720000,0.033834000,0.129208000,0.307951000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,4,1,0.176729,0.006467000,0.019385000,0.019999000,0.036856000,0.093880000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,4,2,0.179242,0.007095000,0.020450000,0.021008000,0.036537000,0.094000000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,4,3,0.179502,0.007246000,0.020107000,0.021048000,0.036896000,0.094054000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,8,1,0.126791,0.005731000,0.012324000,0.007369000,0.027910000,0.073231000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,8,2,0.126497,0.005886000,0.012618000,0.007603000,0.027552000,0.072613000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,8,3,0.127277,0.006042000,0.012507000,0.010038000,0.025453000,0.073030000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,16,1,0.093698,0.005729000,0.010580000,0.010144000,0.026603000,0.040362000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,16,2,0.091359,0.006257000,0.011120000,0.011864000,0.019804000,0.042002000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,16,3,0.090553,0.005743000,0.013737000,0.010520000,0.020321000,0.039942000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,20,1,0.094530,0.005620000,0.009530000,0.010114000,0.025330000,0.043560000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,20,2,0.096254,0.004855000,0.009850000,0.008307000,0.026033000,0.046889000,40006682,9024839626095127350,17897240367829630669
task,uniform,0.0,0,10000000,20000000,128,20,3,0.096643,0.005494000,0.010024000,0.008979000,0.025722000,0.046041000,40006682,9024839626095127350,17897240367829630669
