impl,workload,threads,run_id,t_total_s,join_count
m3_loop,uniform,32,1,0.442780,199995067
m3_loop,uniform,32,2,0.436583,199995067
m3_loop,uniform,32,3,0.434873,199995067
m3_loop,uniform,32,4,0.441968,199995067
m3_loop,uniform,32,5,0.442705,199995067
m3_loop,skewed,16,1,0.372813,35750353
m3_loop,skewed,16,2,0.367798,35750353
m3_loop,skewed,16,3,0.371117,35750353
m3_loop,skewed,16,4,0.372255,35750353
m3_loop,skewed,16,5,0.366507,35750353
m3_loop,skewed,32,1,0.377083,35750353
m3_loop,skewed,32,2,0.374608,35750353
m3_loop,skewed,32,3,0.388408,35750353
m3_loop,skewed,32,4,0.369757,35750353
m3_loop,skewed,32,5,0.378368,35750353
