impl,workload,rho,hot,nr,ns,p,threads,schedule,run_id,t_total_s,t_hist_r,t_scatter_r,t_hist_s,t_scatter_s,t_join,join_count,checksum1,checksum2
loop,uniform,0.0,0,10000000,20000000,128,8,static,1,0.131015,0.003342000,0.023932000,0.006606000,0.047828000,0.048624000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,static,2,0.131482,0.003299000,0.023960000,0.006540000,0.047808000,0.049179000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,static,3,0.130808,0.003321000,0.023924000,0.006684000,0.047763000,0.048298000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,static-1,1,0.130335,0.003252000,0.023947000,0.006625000,0.047670000,0.048156000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,static-1,2,0.130720,0.003311000,0.023897000,0.006601000,0.047776000,0.048474000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,static-1,3,0.130496,0.003280000,0.023881000,0.006645000,0.047822000,0.048125000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,dynamic-1,1,0.130941,0.003238000,0.023882000,0.006588000,0.047730000,0.048800000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,dynamic-1,2,0.130242,0.003258000,0.023823000,0.006620000,0.047777000,0.048076000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,dynamic-1,3,0.131370,0.003253000,0.023948000,0.006593000,0.047756000,0.049118000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,dynamic-4,1,0.131486,0.003242000,0.023799000,0.006626000,0.047858000,0.049334000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,dynamic-4,2,0.130621,0.003238000,0.023822000,0.006592000,0.047970000,0.048235000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,dynamic-4,3,0.131516,0.003257000,0.023872000,0.006557000,0.047809000,0.049355000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,guided-1,1,0.130224,0.003290000,0.023845000,0.006515000,0.047656000,0.048268000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,guided-1,2,0.131945,0.003286000,0.023793000,0.006625000,0.047852000,0.049592000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,guided-1,3,0.131470,0.003275000,0.023780000,0.006635000,0.047724000,0.049325000,40006682,9024839626095127350,17897240367829630669
loop,skewed,0.9,4,10000000,20000000,128,8,static,1,0.096810,0.003285000,0.007680000,0.006728000,0.015814000,0.062527000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,static,2,0.097034,0.003264000,0.007696000,0.006608000,0.015828000,0.062935000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,static,3,0.097371,0.003370000,0.007690000,0.006780000,0.015773000,0.063101000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,static-1,1,0.097947,0.003257000,0.007774000,0.006651000,0.015946000,0.063603000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,static-1,2,0.097710,0.003284000,0.007747000,0.006677000,0.015777000,0.063442000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,static-1,3,0.097531,0.003308000,0.007672000,0.006697000,0.015734000,0.063382000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,dynamic-1,1,0.097801,0.003352000,0.007705000,0.006713000,0.015963000,0.063256000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,dynamic-1,2,0.097301,0.003301000,0.007746000,0.006605000,0.015834000,0.062951000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,dynamic-1,3,0.097111,0.003276000,0.007690000,0.006675000,0.015805000,0.062993000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,dynamic-4,1,0.097771,0.003220000,0.007737000,0.006658000,0.015862000,0.063576000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,dynamic-4,2,0.096675,0.003285000,0.007644000,0.006608000,0.015712000,0.062698000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,dynamic-4,3,0.097622,0.003263000,0.007717000,0.006633000,0.015924000,0.063331000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,guided-1,1,0.097168,0.003340000,0.007693000,0.006657000,0.015735000,0.063093000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,guided-1,2,0.097589,0.003258000,0.007750000,0.006648000,0.015712000,0.063459000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,guided-1,3,0.097843,0.003309000,0.007744000,0.006669000,0.015751000,0.063743000,11653426,14549371682504228917,903274091094300703
