impl,workload,rho,hot,nr,ns,p,threads,run_id,t_total_s,t_hist_r,t_scatter_r,t_hist_s,t_scatter_s,t_join,join_count,checksum1,checksum2
loop,uniform,0.0,0,10000000,20000000,128,1,1,0.558548,0.016975000,0.050702000,0.033793000,0.131478000,0.325514000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,1,2,0.558267,0.017323000,0.050754000,0.033833000,0.129810000,0.326461000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,1,3,0.559113,0.017127000,0.052297000,0.033886000,0.130384000,0.325340000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,2,1,0.299751,0.009201000,0.027498000,0.018079000,0.069444000,0.175391000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,2,2,0.296723,0.009147000,0.026969000,0.017741000,0.069793000,0.172932000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,2,3,0.295242,0.009187000,0.027006000,0.017760000,0.068516000,0.172645000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,4,1,0.163756,0.004718000,0.014782000,0.009374000,0.036945000,0.097681000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,4,2,0.164756,0.004752000,0.015152000,0.009426000,0.036636000,0.098507000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,4,3,0.164710,0.004703000,0.014810000,0.009389000,0.037396000,0.098136000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,1,0.111761,0.002825000,0.008559000,0.006245000,0.019950000,0.073816000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,2,0.111992,0.002767000,0.008655000,0.006245000,0.019883000,0.073941000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,8,3,0.113050,0.002777000,0.008498000,0.006175000,0.019838000,0.075383000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,16,1,0.074965,0.003868000,0.007010000,0.006060000,0.015117000,0.042199000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,16,2,0.075176,0.003955000,0.007058000,0.006144000,0.015267000,0.041902000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,16,3,0.074845,0.003892000,0.007133000,0.006099000,0.015133000,0.041675000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,20,1,0.098380,0.003865000,0.009493000,0.006162000,0.025233000,0.052390000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,20,2,0.093310,0.003819000,0.009487000,0.006038000,0.025195000,0.047454000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,20,3,0.097161,0.003977000,0.009587000,0.006024000,0.025212000,0.050781000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,32,1,0.088417,0.003985000,0.006941000,0.006126000,0.016196000,0.053311000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,32,2,0.089473,0.004027000,0.006943000,0.006192000,0.016125000,0.054690000,40006682,9024839626095127350,17897240367829630669
loop,uniform,0.0,0,10000000,20000000,128,32,3,0.087907,0.004005000,0.007048000,0.006220000,0.016492000,0.052543000,40006682,9024839626095127350,17897240367829630669
loop,skewed,0.9,4,10000000,20000000,128,1,1,0.506258,0.017119000,0.044261000,0.034033000,0.088478000,0.322296000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,1,2,0.506820,0.017216000,0.044304000,0.034319000,0.088569000,0.322346000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,1,3,0.504854,0.017286000,0.044179000,0.034054000,0.088566000,0.320694000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,2,1,0.267411,0.009249000,0.023562000,0.017881000,0.047141000,0.169448000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,2,2,0.268175,0.009262000,0.023694000,0.017879000,0.047861000,0.169347000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,2,3,0.270644,0.009192000,0.023898000,0.018228000,0.047688000,0.171506000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,4,1,0.167518,0.004759000,0.012799000,0.009457000,0.025726000,0.114519000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,4,2,0.166771,0.004736000,0.012725000,0.009449000,0.025689000,0.113928000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,4,3,0.167486,0.004737000,0.012906000,0.009479000,0.025795000,0.114342000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,1,0.110199,0.002804000,0.007454000,0.005118000,0.014839000,0.079589000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,2,0.110478,0.002823000,0.007458000,0.005177000,0.015020000,0.079509000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,8,3,0.110514,0.002815000,0.007466000,0.005121000,0.015042000,0.079691000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,16,1,0.102368,0.004006000,0.006173000,0.006090000,0.012896000,0.072285000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,16,2,0.103174,0.003943000,0.006253000,0.006122000,0.012937000,0.072954000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,16,3,0.104659,0.004004000,0.006226000,0.006062000,0.013120000,0.074279000,11653426,14549371682504228917,903274091094300703
loop,skewed,0.9,4,10000000,20000000,128,20,1,0.108821,0.003848000,0.007637000,0.005998000,0.015830000,0.074307000,11653426,14549371682504228917,903274091094300703
