impl,workload,rho,hot,nr,ns,p,threads,run_id,t_total_s,t_hist_r,t_scatter_r,t_hist_s,t_scatter_s,t_join,join_count,checksum1,checksum2
loop,uniform,0.0,0,2000000,4000000,128,1,1,0.131846,0.003447000,0.009698000,0.006835000,0.019443000,0.092352000,1601783,1639011001025628553,9978953684420965244
loop,uniform,0.0,0,2000000,4000000,128,1,2,0.131870,0.003469000,0.009621000,0.006821000,0.019400000,0.092496000,1601783,1639011001025628553,9978953684420965244
loop,uniform,0.0,0,2000000,4000000,128,1,3,0.132272,0.003454000,0.009651000,0.006823000,0.019433000,0.092849000,1601783,1639011001025628553,9978953684420965244
loop,uniform,0.0,0,4000000,8000000,128,2,1,0.124291,0.003662000,0.010379000,0.007174000,0.020982000,0.081974000,6405514,13064608319638267664,12550798687495063072
loop,uniform,0.0,0,4000000,8000000,128,2,2,0.125370,0.003694000,0.010508000,0.007187000,0.020926000,0.082925000,6405514,13064608319638267664,12550798687495063072
loop,uniform,0.0,0,4000000,8000000,128,2,3,0.124090,0.003670000,0.010369000,0.007160000,0.020988000,0.081753000,6405514,13064608319638267664,12550798687495063072
loop,uniform,0.0,0,8000000,16000000,128,4,1,0.121306,0.003805000,0.011477000,0.007472000,0.027005000,0.071307000,25605925,4524307786527237882,3603704564944313719
loop,uniform,0.0,0,8000000,16000000,128,4,2,0.121296,0.003811000,0.011549000,0.007468000,0.027227000,0.071006000,25605925,4524307786527237882,3603704564944313719
loop,uniform,0.0,0,8000000,16000000,128,4,3,0.122054,0.003828000,0.011582000,0.007544000,0.027754000,0.071110000,25605925,4524307786527237882,3603704564944313719
loop,uniform,0.0,0,16000000,32000000,128,8,1,0.164834,0.004262000,0.014965000,0.009886000,0.035486000,0.099875000,102408307,6725711032845435275,511879701233568974
loop,uniform,0.0,0,16000000,32000000,128,8,2,0.165516,0.004278000,0.014975000,0.009984000,0.035631000,0.100292000,102408307,6725711032845435275,511879701233568974
loop,uniform,0.0,0,16000000,32000000,128,8,3,0.164321,0.004252000,0.015251000,0.010077000,0.035262000,0.099120000,102408307,6725711032845435275,511879701233568974
loop,uniform,0.0,0,32000000,64000000,128,16,1,0.208340,0.009189000,0.020696000,0.017497000,0.041818000,0.118384000,409624985,16357352989771549985,4383246495002694327
loop,uniform,0.0,0,32000000,64000000,128,16,2,0.208668,0.009126000,0.020408000,0.017562000,0.041084000,0.119673000,409624985,16357352989771549985,4383246495002694327
loop,uniform,0.0,0,32000000,64000000,128,16,3,0.208661,0.009084000,0.020356000,0.017451000,0.040833000,0.120233000,409624985,16357352989771549985,4383246495002694327
loop,uniform,0.0,0,40000000,80000000,128,20,1,0.395301,0.011565000,0.058679000,0.021937000,0.116868000,0.184888000,640021098,10100982447631671550,6321697082637604234
loop,uniform,0.0,0,40000000,80000000,128,20,2,0.394626,0.011525000,0.058699000,0.022064000,0.116882000,0.184009000,640021098,10100982447631671550,6321697082637604234
loop,uniform,0.0,0,40000000,80000000,128,20,3,0.394804,0.011487000,0.058463000,0.022154000,0.117060000,0.184401000,640021098,10100982447631671550,6321697082637604234
loop,uniform,0.0,0,64000000,128000000,128,32,1,0.512553,0.018159000,0.059331000,0.045051000,0.119257000,0.269096000,1638398050,6713292747916940125,17547877231816190352
loop,uniform,0.0,0,64000000,128000000,128,32,2,0.512286,0.018127000,0.059472000,0.044900000,0.119202000,0.269099000,1638398050,6713292747916940125,17547877231816190352
loop,uniform,0.0,0,64000000,128000000,128,32,3,0.516897,0.018139000,0.059372000,0.046666000,0.119133000,0.271694000,1638398050,6713292747916940125,17547877231816190352
loop,skewed,0.9,4,2000000,4000000,128,1,1,0.077179,0.003516000,0.008784000,0.006859000,0.017627000,0.040334000,2265434,517306882266308616,10536234858554428420
loop,skewed,0.9,4,2000000,4000000,128,1,2,0.077376,0.003468000,0.008871000,0.007232000,0.017575000,0.040173000,2265434,517306882266308616,10536234858554428420
loop,skewed,0.9,4,2000000,4000000,128,1,3,0.076741,0.003457000,0.008757000,0.006880000,0.017580000,0.040015000,2265434,517306882266308616,10536234858554428420
loop,skewed,0.9,4,4000000,8000000,128,2,1,0.093217,0.003749000,0.009446000,0.007264000,0.018903000,0.053732000,4566702,17376562058290291472,1186957327258480271
loop,skewed,0.9,4,4000000,8000000,128,2,2,0.092328,0.003617000,0.009429000,0.007170000,0.018795000,0.053193000,4566702,17376562058290291472,1186957327258480271
loop,skewed,0.9,4,4000000,8000000,128,2,3,0.092719,0.003674000,0.009370000,0.007256000,0.018752000,0.053550000,4566702,17376562058290291472,1186957327258480271
loop,skewed,0.9,4,8000000,16000000,128,4,1,0.115762,0.003931000,0.010258000,0.007605000,0.020769000,0.072986000,9257597,9993729953263015128,4267202458827673762
loop,skewed,0.9,4,8000000,16000000,128,4,2,0.115056,0.003841000,0.010261000,0.007598000,0.020674000,0.072438000,9257597,9993729953263015128,4267202458827673762
loop,skewed,0.9,4,8000000,16000000,128,4,3,0.115663,0.003903000,0.010326000,0.007582000,0.020636000,0.072995000,9257597,9993729953263015128,4267202458827673762
loop,skewed,0.9,4,16000000,32000000,128,8,1,0.143897,0.004274000,0.012037000,0.008141000,0.024334000,0.094770000,22623445,1634949803686551306,8363627280613126545
loop,skewed,0.9,4,16000000,32000000,128,8,2,0.144327,0.004257000,0.012023000,0.008145000,0.024422000,0.095123000,22623445,1634949803686551306,8363627280613126545
loop,skewed,0.9,4,16000000,32000000,128,8,3,0.143730,0.004256000,0.011990000,0.008094000,0.024056000,0.094977000,22623445,1634949803686551306,8363627280613126545
loop,skewed,0.9,4,32000000,64000000,128,16,1,0.320915,0.009200000,0.015453000,0.017578000,0.030986000,0.246963000,126489898,15018792179157550625,4033309200602559428
loop,skewed,0.9,4,32000000,64000000,128,16,2,0.318383,0.009103000,0.015303000,0.017610000,0.030933000,0.244745000,126489898,15018792179157550625,4033309200602559428
loop,skewed,0.9,4,32000000,64000000,128,16,3,0.318172,0.009175000,0.015300000,0.017520000,0.031183000,0.244297000,126489898,15018792179157550625,4033309200602559428
loop,skewed,0.9,4,40000000,80000000,128,20,1,0.499569,0.011612000,0.028180000,0.024110000,0.054197000,0.380452000,159393791,11321729129834715886,542114915004020699
loop,skewed,0.9,4,40000000,80000000,128,20,2,0.503236,0.011508000,0.028276000,0.025294000,0.054619000,0.382504000,159393791,11321729129834715886,542114915004020699
loop,skewed,0.9,4,40000000,80000000,128,20,3,0.497673,0.011515000,0.028071000,0.025045000,0.054167000,0.377747000,159393791,11321729129834715886,542114915004020699
loop,skewed,0.9,4,64000000,128000000,128,32,1,0.634129,0.018231000,0.032446000,0.044499000,0.060507000,0.476782000,347569429,4113161012870916862,4448296534092086510
loop,skewed,0.9,4,64000000,128000000,128,32,2,0.650309,0.018166000,0.032458000,0.044634000,0.060677000,0.492533000,347569429,4113161012870916862,4448296534092086510
loop,skewed,0.9,4,64000000,128000000,128,32,3,0.654066,0.018154000,0.032089000,0.045399000,0.060459000,0.495986000,347569429,4113161012870916862,4448296534092086510
task,uniform,0.0,0,2000000,4000000,128,1,1,0.131290,0.003477000,0.009667000,0.006807000,0.019397000,0.091845000,1601783,1639011001025628553,9978953684420965244
task,uniform,0.0,0,2000000,4000000,128,1,2,0.130893,0.003461000,0.009675000,0.006853000,0.019377000,0.091436000,1601783,1639011001025628553,9978953684420965244
task,uniform,0.0,0,2000000,4000000,128,1,3,0.131143,0.003465000,0.009599000,0.006819000,0.019381000,0.091784000,1601783,1639011001025628553,9978953684420965244
task,uniform,0.0,0,4000000,8000000,128,2,1,0.122236,0.004456000,0.010417000,0.007162000,0.020822000,0.079290000,6405514,13064608319638267664,12550798687495063072
task,uniform,0.0,0,4000000,8000000,128,2,2,0.122131,0.004458000,0.010427000,0.007189000,0.020817000,0.079139000,6405514,13064608319638267664,12550798687495063072
task,uniform,0.0,0,4000000,8000000,128,2,3,0.122866,0.004491000,0.010547000,0.007228000,0.020867000,0.079645000,6405514,13064608319638267664,12550798687495063072
task,uniform,0.0,0,8000000,16000000,128,4,1,0.134430,0.005728000,0.015216000,0.017348000,0.028091000,0.067913000,25605925,4524307786527237882,3603704564944313719
task,uniform,0.0,0,8000000,16000000,128,4,2,0.132192,0.005692000,0.014462000,0.015900000,0.027815000,0.068185000,25605925,4524307786527237882,3603704564944313719
task,uniform,0.0,0,8000000,16000000,128,4,3,0.133714,0.005812000,0.015138000,0.017019000,0.027973000,0.067647000,25605925,4524307786527237882,3603704564944313719
task,uniform,0.0,0,16000000,32000000,128,8,1,0.193208,0.009238000,0.023303000,0.012600000,0.049459000,0.098399000,102408307,6725711032845435275,511879701233568974
task,uniform,0.0,0,16000000,32000000,128,8,2,0.192288,0.009126000,0.023067000,0.011469000,0.049959000,0.098444000,102408307,6725711032845435275,511879701233568974
task,uniform,0.0,0,16000000,32000000,128,8,3,0.190886,0.008950000,0.023048000,0.015367000,0.045441000,0.097869000,102408307,6725711032845435275,511879701233568974
task,uniform,0.0,0,32000000,64000000,128,16,1,0.298184,0.015553000,0.049159000,0.031396000,0.085475000,0.116256000,409624985,16357352989771549985,4383246495002694327
task,uniform,0.0,0,32000000,64000000,128,16,2,0.273520,0.018822000,0.042968000,0.030025000,0.068989000,0.112389000,409624985,16357352989771549985,4383246495002694327
task,uniform,0.0,0,32000000,64000000,128,16,3,0.279266,0.015267000,0.045498000,0.043608000,0.061338000,0.113215000,409624985,16357352989771549985,4383246495002694327
task,uniform,0.0,0,40000000,80000000,128,20,1,0.421220,0.022836000,0.064489000,0.032529000,0.119772000,0.181188000,640021098,10100982447631671550,6321697082637604234
task,uniform,0.0,0,40000000,80000000,128,20,2,0.408619,0.020879000,0.059358000,0.033746000,0.119398000,0.174852000,640021098,10100982447631671550,6321697082637604234
task,uniform,0.0,0,40000000,80000000,128,20,3,0.402111,0.020964000,0.060640000,0.029081000,0.117518000,0.173505000,640021098,10100982447631671550,6321697082637604234
task,uniform,0.0,0,64000000,128000000,128,32,1,0.531626,0.031800000,0.059773000,0.051868000,0.119459000,0.268368000,1638398050,6713292747916940125,17547877231816190352
task,uniform,0.0,0,64000000,128000000,128,32,2,0.523595,0.027972000,0.059750000,0.051848000,0.119399000,0.264298000,1638398050,6713292747916940125,17547877231816190352
task,uniform,0.0,0,64000000,128000000,128,32,3,0.526071,0.025569000,0.060189000,0.053878000,0.119262000,0.266787000,1638398050,6713292747916940125,17547877231816190352
task,skewed,0.9,4,2000000,4000000,128,1,1,0.079348,0.003496000,0.008734000,0.006853000,0.017567000,0.042614000,2265434,517306882266308616,10536234858554428420
task,skewed,0.9,4,2000000,4000000,128,1,2,0.079361,0.003496000,0.008762000,0.006841000,0.017662000,0.042514000,2265434,517306882266308616,10536234858554428420
task,skewed,0.9,4,2000000,4000000,128,1,3,0.079373,0.003540000,0.008740000,0.006867000,0.017599000,0.042533000,2265434,517306882266308616,10536234858554428420
task,skewed,0.9,4,4000000,8000000,128,2,1,0.092950,0.003777000,0.009439000,0.007199000,0.018862000,0.053574000,4566702,17376562058290291472,1186957327258480271
task,skewed,0.9,4,4000000,8000000,128,2,2,0.093180,0.003844000,0.009600000,0.007266000,0.018970000,0.053400000,4566702,17376562058290291472,1186957327258480271
task,skewed,0.9,4,4000000,8000000,128,2,3,0.093100,0.003850000,0.009446000,0.007286000,0.018910000,0.053513000,4566702,17376562058290291472,1186957327258480271
task,skewed,0.9,4,8000000,16000000,128,4,1,0.103449,0.004396000,0.010373000,0.009049000,0.020738000,0.058786000,9257597,9993729953263015128,4267202458827673762
task,skewed,0.9,4,8000000,16000000,128,4,2,0.102748,0.004324000,0.010344000,0.009079000,0.020577000,0.058334000,9257597,9993729953263015128,4267202458827673762
task,skewed,0.9,4,8000000,16000000,128,4,3,0.103155,0.004372000,0.010390000,0.009039000,0.020658000,0.058587000,9257597,9993729953263015128,4267202458827673762
task,skewed,0.9,4,16000000,32000000,128,8,1,0.119054,0.005431000,0.012075000,0.008597000,0.024261000,0.068577000,22623445,1634949803686551306,8363627280613126545
task,skewed,0.9,4,16000000,32000000,128,8,2,0.119216,0.005343000,0.012135000,0.008533000,0.024273000,0.068823000,22623445,1634949803686551306,8363627280613126545
task,skewed,0.9,4,16000000,32000000,128,8,3,0.119959,0.005461000,0.011984000,0.008580000,0.024433000,0.069389000,22623445,1634949803686551306,8363627280613126545
task,skewed,0.9,4,32000000,64000000,128,16,1,0.215227,0.011447000,0.016639000,0.020165000,0.033980000,0.132785000,126489898,15018792179157550625,4033309200602559428
task,skewed,0.9,4,32000000,64000000,128,16,2,0.217773,0.011544000,0.016999000,0.019835000,0.034884000,0.134249000,126489898,15018792179157550625,4033309200602559428
task,skewed,0.9,4,32000000,64000000,128,16,3,0.217510,0.011313000,0.017794000,0.020970000,0.033925000,0.133285000,126489898,15018792179157550625,4033309200602559428
task,skewed,0.9,4,40000000,80000000,128,20,1,0.373855,0.014766000,0.029001000,0.027825000,0.058404000,0.243474000,159393791,11321729129834715886,542114915004020699
task,skewed,0.9,4,40000000,80000000,128,20,2,0.366315,0.013819000,0.029757000,0.025897000,0.056668000,0.239787000,159393791,11321729129834715886,542114915004020699
task,skewed,0.9,4,40000000,80000000,128,20,3,0.372461,0.013263000,0.030166000,0.026699000,0.056525000,0.245432000,159393791,11321729129834715886,542114915004020699
task,skewed,0.9,4,64000000,128000000,128,32,1,0.558648,0.022021000,0.034066000,0.045581000,0.062697000,0.393908000,347569429,4113161012870916862,4448296534092086510
task,skewed,0.9,4,64000000,128000000,128,32,2,0.445068,0.023020000,0.034252000,0.045499000,0.065415000,0.276523000,347569429,4113161012870916862,4448296534092086510
task,skewed,0.9,4,64000000,128000000,128,32,3,0.548948,0.022328000,0.033936000,0.045871000,0.063077000,0.383423000,347569429,4113161012870916862,4448296534092086510
