label,ranks,recs_per_rank,bytes_per_rank,rep,t_max_s,nodes
default,128,1171875,9375000,1,0.522351,4
default,128,1171875,9375000,2,0.521836,4
default,128,1171875,9375000,3,0.495502,4
default,128,1171875,9375000,4,0.511541,4
default,128,1171875,9375000,5,0.702672,4
default,128,1171875,9375000,6,0.520056,4
default,128,1171875,9375000,7,0.525487,4
default,128,1171875,9375000,8,0.490228,4
default,128,1171875,9375000,9,0.510001,4
default,128,1171875,9375000,10,0.497377,4
algo1,128,1171875,9375000,1,0.547054,4
algo1,128,1171875,9375000,2,0.476882,4
algo1,128,1171875,9375000,3,0.526158,4
algo1,128,1171875,9375000,4,0.521060,4
algo1,128,1171875,9375000,5,0.505101,4
algo1,128,1171875,9375000,6,0.531546,4
algo1,128,1171875,9375000,7,0.546541,4
algo1,128,1171875,9375000,8,0.513660,4
algo1,128,1171875,9375000,9,0.527611,4
algo1,128,1171875,9375000,10,0.696491,4
algo2,128,1171875,9375000,1,0.199357,4
algo2,128,1171875,9375000,2,0.404216,4
algo2,128,1171875,9375000,3,0.202055,4
algo2,128,1171875,9375000,4,0.404283,4
algo2,128,1171875,9375000,5,0.201698,4
algo2,128,1171875,9375000,6,0.397328,4
algo2,128,1171875,9375000,7,0.200348,4
algo2,128,1171875,9375000,8,0.398487,4
algo2,128,1171875,9375000,9,0.400732,4
algo2,128,1171875,9375000,10,0.202006,4
default,128,1171875,9375000,1,0.638051,8
default,128,1171875,9375000,2,0.446469,8
default,128,1171875,9375000,3,0.400977,8
default,128,1171875,9375000,4,0.396147,8
default,128,1171875,9375000,5,0.384581,8
default,128,1171875,9375000,6,0.399842,8
default,128,1171875,9375000,7,0.421903,8
default,128,1171875,9375000,8,0.382597,8
default,128,1171875,9375000,9,0.385280,8
default,128,1171875,9375000,10,0.404183,8
algo1,128,1171875,9375000,1,0.445660,8
algo1,128,1171875,9375000,2,0.427627,8
algo1,128,1171875,9375000,3,0.425039,8
algo1,128,1171875,9375000,4,0.405989,8
algo1,128,1171875,9375000,5,0.392655,8
algo1,128,1171875,9375000,6,0.390290,8
algo1,128,1171875,9375000,7,0.429040,8
algo1,128,1171875,9375000,8,0.411441,8
algo1,128,1171875,9375000,9,0.430759,8
algo1,128,1171875,9375000,10,0.385191,8
algo2,128,1171875,9375000,1,0.123871,8
algo2,128,1171875,9375000,2,0.127716,8
algo2,128,1171875,9375000,3,0.127147,8
algo2,128,1171875,9375000,4,0.128267,8
algo2,128,1171875,9375000,5,0.128399,8
algo2,128,1171875,9375000,6,0.127682,8
algo2,128,1171875,9375000,7,0.127271,8
algo2,128,1171875,9375000,8,0.128207,8
algo2,128,1171875,9375000,9,0.128007,8
algo2,128,1171875,9375000,10,0.127559,8
