label,ranks,recs_per_rank,bytes_per_rank,rep,t_max_s
strong,8,18750000,150000000,1,0.133643
strong,8,18750000,150000000,2,0.133782
strong,8,18750000,150000000,3,0.134282
strong,8,18750000,150000000,4,0.134166
strong,8,18750000,150000000,5,0.133532
strong,8,18750000,150000000,6,0.136061
strong,8,18750000,150000000,7,0.134096
strong,8,18750000,150000000,8,0.133108
strong,8,18750000,150000000,9,0.136851
strong,8,18750000,150000000,10,0.132657
strong,16,9375000,75000000,1,0.123531
strong,16,9375000,75000000,2,0.227657
strong,16,9375000,75000000,3,0.125032
strong,16,9375000,75000000,4,0.124843
strong,16,9375000,75000000,5,0.300943
strong,16,9375000,75000000,6,0.123329
strong,16,9375000,75000000,7,0.125301
strong,16,9375000,75000000,8,0.126968
strong,16,9375000,75000000,9,0.127336
strong,16,9375000,75000000,10,0.144726
strong,32,4687500,37500000,1,0.255742
strong,32,4687500,37500000,2,0.299189
strong,32,4687500,37500000,3,0.304927
strong,32,4687500,37500000,4,0.121933
strong,32,4687500,37500000,5,0.298506
strong,32,4687500,37500000,6,0.305639
strong,32,4687500,37500000,7,0.277955
strong,32,4687500,37500000,8,0.304642
strong,32,4687500,37500000,9,0.256681
strong,32,4687500,37500000,10,0.127935
strong,64,2343750,18750000,1,0.123513
strong,64,2343750,18750000,2,0.123952
strong,64,2343750,18750000,3,0.123948
strong,64,2343750,18750000,4,0.122862
strong,64,2343750,18750000,5,0.123836
strong,64,2343750,18750000,6,0.124680
strong,64,2343750,18750000,7,0.127286
strong,64,2343750,18750000,8,0.124169
strong,64,2343750,18750000,9,0.124402
strong,64,2343750,18750000,10,0.124465
strong,128,1171875,9375000,1,0.449348
strong,128,1171875,9375000,2,0.432539
strong,128,1171875,9375000,3,0.424676
strong,128,1171875,9375000,4,0.611617
strong,128,1171875,9375000,5,0.439278
strong,128,1171875,9375000,6,0.390808
strong,128,1171875,9375000,7,0.403372
strong,128,1171875,9375000,8,0.576605
strong,128,1171875,9375000,9,0.424541
strong,128,1171875,9375000,10,0.375430
strong,256,585937,4687496,1,0.337208
strong,256,585937,4687496,2,0.543369
strong,256,585937,4687496,3,0.325377
strong,256,585937,4687496,4,0.127641
strong,256,585937,4687496,5,0.747485
strong,256,585937,4687496,6,0.131593
strong,256,585937,4687496,7,0.553503
strong,256,585937,4687496,8,0.121598
strong,256,585937,4687496,9,0.580332
strong,256,585937,4687496,10,0.339245
