label,ranks,recs_per_rank,bytes_per_rank,rep,t_max_s
weak,8,6000000,48000000,1,0.050534
weak,8,6000000,48000000,2,0.047467
weak,8,6000000,48000000,3,0.044200
weak,8,6000000,48000000,4,0.045377
weak,8,6000000,48000000,5,0.045091
weak,8,6000000,48000000,6,0.046914
weak,8,6000000,48000000,7,0.046818
weak,8,6000000,48000000,8,0.045584
weak,8,6000000,48000000,9,0.044869
weak,8,6000000,48000000,10,0.044880
weak,16,6000000,48000000,1,0.081811
weak,16,6000000,48000000,2,0.081110
weak,16,6000000,48000000,3,0.253476
weak,16,6000000,48000000,4,0.082727
weak,16,6000000,48000000,5,0.261288
weak,16,6000000,48000000,6,0.083005
weak,16,6000000,48000000,7,0.083577
weak,16,6000000,48000000,8,0.085173
weak,16,6000000,48000000,9,0.082236
weak,16,6000000,48000000,10,0.081363
weak,32,6000000,48000000,1,0.277054
weak,32,6000000,48000000,2,0.155089
weak,32,6000000,48000000,3,0.290383
weak,32,6000000,48000000,4,0.241453
weak,32,6000000,48000000,5,0.277054
weak,32,6000000,48000000,6,0.327465
weak,32,6000000,48000000,7,0.306162
weak,32,6000000,48000000,8,0.342027
weak,32,6000000,48000000,9,0.214319
weak,32,6000000,48000000,10,0.272798
weak,64,6000000,48000000,1,0.702503
weak,64,6000000,48000000,2,0.700684
weak,64,6000000,48000000,3,0.708103
weak,64,6000000,48000000,4,0.699750
weak,64,6000000,48000000,5,0.692301
weak,64,6000000,48000000,6,0.500645
weak,64,6000000,48000000,7,0.707107
weak,64,6000000,48000000,8,0.313764
weak,64,6000000,48000000,9,0.690688
weak,64,6000000,48000000,10,0.498344
weak,128,6000000,48000000,1,1.045532
weak,128,6000000,48000000,2,1.045046
weak,128,6000000,48000000,3,1.036490
weak,128,6000000,48000000,4,1.028780
weak,128,6000000,48000000,5,1.086264
weak,128,6000000,48000000,6,1.199649
weak,128,6000000,48000000,7,1.119802
weak,128,6000000,48000000,8,1.069037
weak,128,6000000,48000000,9,1.046501
weak,128,6000000,48000000,10,1.023718
weak,256,6000000,48000000,1,2.525477
weak,256,6000000,48000000,2,3.202566
weak,256,6000000,48000000,3,3.365414
weak,256,6000000,48000000,4,2.487064
weak,256,6000000,48000000,5,3.965113
weak,256,6000000,48000000,6,2.697048
weak,256,6000000,48000000,7,3.422571
weak,256,6000000,48000000,8,3.029281
weak,256,6000000,48000000,9,2.839278
weak,256,6000000,48000000,10,3.979566
