label,ranks,recs_per_rank,bytes_per_rank,rep,t_max_s
volsweep,128,146484,1171872,1,1.273070
volsweep,128,146484,1171872,2,0.279568
volsweep,128,146484,1171872,3,0.512860
volsweep,128,146484,1171872,4,0.295538
volsweep,128,146484,1171872,5,0.495782
volsweep,128,146484,1171872,6,0.294736
volsweep,128,146484,1171872,7,0.334927
volsweep,128,146484,1171872,8,0.281717
volsweep,128,146484,1171872,9,0.311566
volsweep,128,146484,1171872,10,0.311723
volsweep,128,292969,2343752,1,2.552957
volsweep,128,292969,2343752,2,0.551115
volsweep,128,292969,2343752,3,0.379460
volsweep,128,292969,2343752,4,0.796056
volsweep,128,292969,2343752,5,0.339398
volsweep,128,292969,2343752,6,0.326617
volsweep,128,292969,2343752,7,0.323861
volsweep,128,292969,2343752,8,0.310496
volsweep,128,292969,2343752,9,0.350494
volsweep,128,292969,2343752,10,0.306330
volsweep,128,585938,4687504,1,0.451511
volsweep,128,585938,4687504,2,0.436514
volsweep,128,585938,4687504,3,0.441418
volsweep,128,585938,4687504,4,0.422758
volsweep,128,585938,4687504,5,0.391650
volsweep,128,585938,4687504,6,0.377135
volsweep,128,585938,4687504,7,0.397903
volsweep,128,585938,4687504,8,0.370861
volsweep,128,585938,4687504,9,0.388959
volsweep,128,585938,4687504,10,0.361233
volsweep,128,1171875,9375000,1,0.506631
volsweep,128,1171875,9375000,2,0.535611
volsweep,128,1171875,9375000,3,0.526522
volsweep,128,1171875,9375000,4,0.528496
volsweep,128,1171875,9375000,5,0.515662
volsweep,128,1171875,9375000,6,0.511327
volsweep,128,1171875,9375000,7,0.538675
volsweep,128,1171875,9375000,8,0.524954
volsweep,128,1171875,9375000,9,0.520527
volsweep,128,1171875,9375000,10,0.544272
volsweep,128,2343750,18750000,1,0.935850
volsweep,128,2343750,18750000,2,0.906466
volsweep,128,2343750,18750000,3,0.942218
volsweep,128,2343750,18750000,4,0.848318
volsweep,128,2343750,18750000,5,0.974771
volsweep,128,2343750,18750000,6,0.855683
volsweep,128,2343750,18750000,7,0.990552
volsweep,128,2343750,18750000,8,1.000587
volsweep,128,2343750,18750000,9,0.846564
volsweep,128,2343750,18750000,10,0.707969
volsweep,128,4687500,37500000,1,1.428086
volsweep,128,4687500,37500000,2,1.351827
volsweep,128,4687500,37500000,3,1.296353
volsweep,128,4687500,37500000,4,1.339825
volsweep,128,4687500,37500000,5,1.365330
volsweep,128,4687500,37500000,6,1.833820
volsweep,128,4687500,37500000,7,1.408896
volsweep,128,4687500,37500000,8,1.407606
volsweep,128,4687500,37500000,9,1.328547
volsweep,128,4687500,37500000,10,1.664944
