label,bytes,iters,t_oneway_us,bw_MBps
inter,8,200,22.507,0.4
inter,16,200,22.076,0.7
inter,32,200,22.852,1.4
inter,64,200,22.364,2.9
inter,128,200,24.781,5.2
inter,256,200,34.785,7.4
inter,512,200,40.888,12.5
inter,1024,200,29.925,34.2
inter,2048,200,33.718,60.7
inter,4096,200,34.129,120.0
inter,8192,200,98.839,82.9
inter,16384,200,123.726,132.4
inter,32768,200,129.065,253.9
inter,65536,200,166.803,392.9
inter,131072,50,222.954,587.9
inter,262144,50,343.756,762.6
inter,524288,50,580.343,903.4
inter,1048576,50,1062.824,986.6
inter,2097152,10,1960.256,1069.8
inter,4194304,10,3743.726,1120.4
inter,8388608,10,7305.745,1148.2
inter,16777216,10,14460.462,1160.2
inter,33554432,10,28760.443,1166.7
intra,8,200,0.576,13.9
intra,16,200,0.614,26.1
intra,32,200,0.816,39.2
intra,64,200,0.619,103.3
intra,128,200,0.672,190.5
intra,256,200,0.942,271.9
intra,512,200,1.062,482.1
intra,1024,200,1.326,772.2
intra,2048,200,1.539,1331.1
intra,4096,200,3.608,1135.1
intra,8192,200,5.306,1544.0
intra,16384,200,8.228,1991.3
intra,32768,200,14.147,2316.3
intra,65536,200,20.568,3186.3
intra,131072,50,36.021,3638.8
intra,262144,50,66.558,3938.6
intra,524288,50,126.964,4129.4
intra,1048576,50,244.246,4293.1
intra,2097152,10,493.598,4248.7
intra,4194304,10,960.560,4366.5
intra,8388608,10,1899.267,4416.8
intra,16777216,10,3766.629,4454.2
intra,33554432,10,8453.204,3969.4
