label,ranks,recs_per_rank,bytes_per_rank,rep,t_max_s,nodes,pass
default,32,6000000,48000000,1,0.113183,1,1
default,32,6000000,48000000,2,0.113020,1,1
default,32,6000000,48000000,3,0.112709,1,1
default,32,6000000,48000000,4,0.112896,1,1
default,32,6000000,48000000,5,0.113117,1,1
dyn_linear,32,6000000,48000000,1,0.113198,1,1
dyn_linear,32,6000000,48000000,2,0.113055,1,1
dyn_linear,32,6000000,48000000,3,0.112543,1,1
dyn_linear,32,6000000,48000000,4,0.112971,1,1
dyn_linear,32,6000000,48000000,5,0.113861,1,1
dyn_pairwise,32,6000000,48000000,1,0.091841,1,1
dyn_pairwise,32,6000000,48000000,2,0.088805,1,1
dyn_pairwise,32,6000000,48000000,3,0.090683,1,1
dyn_pairwise,32,6000000,48000000,4,0.089986,1,1
dyn_pairwise,32,6000000,48000000,5,0.090387,1,1
dyn_pairwise,32,6000000,48000000,1,0.088668,1,2
dyn_pairwise,32,6000000,48000000,2,0.088574,1,2
dyn_pairwise,32,6000000,48000000,3,0.088223,1,2
dyn_pairwise,32,6000000,48000000,4,0.090811,1,2
dyn_pairwise,32,6000000,48000000,5,0.089753,1,2
dyn_linear,32,6000000,48000000,1,0.113015,1,2
dyn_linear,32,6000000,48000000,2,0.112887,1,2
dyn_linear,32,6000000,48000000,3,0.113442,1,2
dyn_linear,32,6000000,48000000,4,0.112955,1,2
dyn_linear,32,6000000,48000000,5,0.113315,1,2
default,32,6000000,48000000,1,0.112867,1,2
default,32,6000000,48000000,2,0.113106,1,2
default,32,6000000,48000000,3,0.112699,1,2
default,32,6000000,48000000,4,0.112755,1,2
default,32,6000000,48000000,5,0.112769,1,2
default,64,6000000,48000000,1,0.669894,2,1
default,64,6000000,48000000,2,0.671801,2,1
default,64,6000000,48000000,3,0.671162,2,1
default,64,6000000,48000000,4,0.672322,2,1
default,64,6000000,48000000,5,0.670640,2,1
dyn_linear,64,6000000,48000000,1,1.076555,2,1
dyn_linear,64,6000000,48000000,2,0.912580,2,1
dyn_linear,64,6000000,48000000,3,0.990432,2,1
dyn_linear,64,6000000,48000000,4,1.104628,2,1
dyn_linear,64,6000000,48000000,5,0.998657,2,1
dyn_pairwise,64,6000000,48000000,1,0.669919,2,1
dyn_pairwise,64,6000000,48000000,2,0.671304,2,1
dyn_pairwise,64,6000000,48000000,3,0.671490,2,1
dyn_pairwise,64,6000000,48000000,4,0.670925,2,1
dyn_pairwise,64,6000000,48000000,5,0.670013,2,1
dyn_pairwise,64,6000000,48000000,1,0.669442,2,2
dyn_pairwise,64,6000000,48000000,2,0.672975,2,2
dyn_pairwise,64,6000000,48000000,3,0.669328,2,2
dyn_pairwise,64,6000000,48000000,4,0.670020,2,2
dyn_pairwise,64,6000000,48000000,5,0.670437,2,2
dyn_linear,64,6000000,48000000,1,1.092624,2,2
dyn_linear,64,6000000,48000000,2,1.025869,2,2
dyn_linear,64,6000000,48000000,3,1.052576,2,2
dyn_linear,64,6000000,48000000,4,0.911484,2,2
dyn_linear,64,6000000,48000000,5,1.064388,2,2
default,64,6000000,48000000,1,0.669949,2,2
default,64,6000000,48000000,2,0.672722,2,2
default,64,6000000,48000000,3,0.670802,2,2
default,64,6000000,48000000,4,0.670458,2,2
default,64,6000000,48000000,5,0.670135,2,2
default,128,6000000,48000000,1,1.979188,4,1
default,128,6000000,48000000,2,1.630793,4,1
default,128,6000000,48000000,3,1.565576,4,1
default,128,6000000,48000000,4,1.561748,4,1
default,128,6000000,48000000,5,1.983152,4,1
dyn_linear,128,6000000,48000000,1,1.530554,4,1
dyn_linear,128,6000000,48000000,2,1.997939,4,1
dyn_linear,128,6000000,48000000,3,1.599131,4,1
dyn_linear,128,6000000,48000000,4,1.561065,4,1
dyn_linear,128,6000000,48000000,5,1.639020,4,1
dyn_pairwise,128,6000000,48000000,1,2.718122,4,1
dyn_pairwise,128,6000000,48000000,2,2.725414,4,1
dyn_pairwise,128,6000000,48000000,3,2.550423,4,1
dyn_pairwise,128,6000000,48000000,4,2.390369,4,1
dyn_pairwise,128,6000000,48000000,5,2.399429,4,1
dyn_pairwise,128,6000000,48000000,1,2.374971,4,2
dyn_pairwise,128,6000000,48000000,2,2.098581,4,2
dyn_pairwise,128,6000000,48000000,3,2.194532,4,2
dyn_pairwise,128,6000000,48000000,4,2.207174,4,2
dyn_pairwise,128,6000000,48000000,5,2.213126,4,2
dyn_linear,128,6000000,48000000,1,2.141535,4,2
dyn_linear,128,6000000,48000000,2,1.553278,4,2
dyn_linear,128,6000000,48000000,3,2.213584,4,2
dyn_linear,128,6000000,48000000,4,1.567609,4,2
dyn_linear,128,6000000,48000000,5,1.513722,4,2
default,128,6000000,48000000,1,1.655916,4,2
default,128,6000000,48000000,2,1.973498,4,2
default,128,6000000,48000000,3,2.124937,4,2
default,128,6000000,48000000,4,1.633416,4,2
default,128,6000000,48000000,5,1.565849,4,2
default,256,6000000,48000000,1,3.366554,8,1
default,256,6000000,48000000,2,2.639696,8,1
default,256,6000000,48000000,3,3.004169,8,1
default,256,6000000,48000000,4,3.784453,8,1
default,256,6000000,48000000,5,3.059157,8,1
dyn_linear,256,6000000,48000000,1,2.355026,8,1
dyn_linear,256,6000000,48000000,2,2.367385,8,1
dyn_linear,256,6000000,48000000,3,1.787858,8,1
dyn_linear,256,6000000,48000000,4,1.846997,8,1
dyn_linear,256,6000000,48000000,5,1.854530,8,1
dyn_pairwise,256,6000000,48000000,1,2.464264,8,1
dyn_pairwise,256,6000000,48000000,2,2.838602,8,1
dyn_pairwise,256,6000000,48000000,3,3.358117,8,1
dyn_pairwise,256,6000000,48000000,4,3.544323,8,1
dyn_pairwise,256,6000000,48000000,5,3.208155,8,1
