label,ranks,recs_per_rank,bytes_per_rank,rep,t_max_s
default,8,6000000,48000000,1,0.046548
default,8,6000000,48000000,2,0.046009
default,8,6000000,48000000,3,0.045576
default,8,6000000,48000000,4,0.047490
default,8,6000000,48000000,5,0.044500
default,8,6000000,48000000,6,0.044843
default,8,6000000,48000000,7,0.045940
default,8,6000000,48000000,8,0.043533
default,8,6000000,48000000,9,0.044848
default,8,6000000,48000000,10,0.044497
dyn_linear,8,6000000,48000000,1,0.052536
dyn_linear,8,6000000,48000000,2,0.047765
dyn_linear,8,6000000,48000000,3,0.044740
dyn_linear,8,6000000,48000000,4,0.243537
dyn_linear,8,6000000,48000000,5,0.046468
dyn_linear,8,6000000,48000000,6,0.047032
dyn_linear,8,6000000,48000000,7,0.044072
dyn_linear,8,6000000,48000000,8,0.046068
dyn_linear,8,6000000,48000000,9,0.046256
dyn_linear,8,6000000,48000000,10,0.044471
dyn_pairwise,8,6000000,48000000,1,0.058796
dyn_pairwise,8,6000000,48000000,2,0.063997
dyn_pairwise,8,6000000,48000000,3,0.057464
dyn_pairwise,8,6000000,48000000,4,0.055342
dyn_pairwise,8,6000000,48000000,5,0.055865
dyn_pairwise,8,6000000,48000000,6,0.055356
dyn_pairwise,8,6000000,48000000,7,0.055387
dyn_pairwise,8,6000000,48000000,8,0.055593
dyn_pairwise,8,6000000,48000000,9,0.055524
dyn_pairwise,8,6000000,48000000,10,0.054478
default,16,6000000,48000000,1,0.114577
default,16,6000000,48000000,2,0.081217
default,16,6000000,48000000,3,0.080358
default,16,6000000,48000000,4,0.081203
default,16,6000000,48000000,5,0.081523
default,16,6000000,48000000,6,0.079271
default,16,6000000,48000000,7,0.262517
default,16,6000000,48000000,8,0.079966
default,16,6000000,48000000,9,0.080854
default,16,6000000,48000000,10,0.216816
dyn_linear,16,6000000,48000000,1,0.084644
dyn_linear,16,6000000,48000000,2,0.084421
dyn_linear,16,6000000,48000000,3,0.083749
dyn_linear,16,6000000,48000000,4,0.082566
dyn_linear,16,6000000,48000000,5,0.082165
dyn_linear,16,6000000,48000000,6,0.079746
dyn_linear,16,6000000,48000000,7,0.082381
dyn_linear,16,6000000,48000000,8,0.079273
dyn_linear,16,6000000,48000000,9,0.086605
dyn_linear,16,6000000,48000000,10,0.081375
dyn_pairwise,16,6000000,48000000,1,0.101485
dyn_pairwise,16,6000000,48000000,2,0.098919
dyn_pairwise,16,6000000,48000000,3,0.295359
dyn_pairwise,16,6000000,48000000,4,0.097570
dyn_pairwise,16,6000000,48000000,5,0.099007
dyn_pairwise,16,6000000,48000000,6,0.098694
dyn_pairwise,16,6000000,48000000,7,0.097437
dyn_pairwise,16,6000000,48000000,8,0.095104
dyn_pairwise,16,6000000,48000000,9,0.098724
