threadlevel,provided,workload,ranks,threads,P,NR,NS,rep,hist_local_ms,scatter_local_ms,comm_sizes_ms,comm_payload_ms,hist_post_ms,scatter_post_ms,join_ms,reduce_ms,total_ms,wall_s,join_count,checksum1,checksum2
funneled,funneled,uniform,4,32,256,50000000,100000000,0,18.255,122.148,1.081,276.600,11.562,31.269,70.345,0.229,526.988,0.616270,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,4,32,256,50000000,100000000,1,17.285,121.679,0.286,246.394,12.063,31.166,61.778,0.161,489.304,0.577711,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,4,32,256,50000000,100000000,2,21.620,122.410,0.260,253.192,11.452,31.006,60.078,0.204,496.742,0.585035,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,4,32,256,50000000,100000000,3,22.883,119.953,0.256,255.986,11.565,31.312,61.054,0.211,499.625,0.587466,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,4,32,256,50000000,100000000,4,15.189,119.847,0.246,249.661,11.404,31.414,60.320,0.196,484.954,0.575314,199995067,11704407862287554203,9949019909254000015
funneled,funneled,skew,4,32,256,50000000,100000000,0,19.426,113.544,1.128,494.188,24.092,42.640,241.710,0.257,933.305,1.120733,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,4,32,256,50000000,100000000,1,17.386,112.011,0.252,496.001,23.505,43.292,232.131,0.207,924.289,1.112152,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,4,32,256,50000000,100000000,2,12.785,113.133,0.287,521.814,23.502,43.203,229.990,0.239,941.412,1.130584,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,4,32,256,50000000,100000000,3,16.685,111.377,0.265,485.428,23.576,43.209,234.119,0.208,910.325,1.101697,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,4,32,256,50000000,100000000,4,16.909,110.679,0.308,523.494,23.896,43.332,232.491,0.209,948.509,1.136259,35750353,12012365979402194829,16097019224298283940
funneled,funneled,uniform,8,16,256,50000000,100000000,0,14.492,68.174,2.101,232.164,14.859,39.194,64.265,2.475,431.607,0.478687,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,8,16,256,50000000,100000000,1,13.206,66.250,0.304,237.084,23.084,39.818,59.059,0.276,421.600,0.467490,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,8,16,256,50000000,100000000,2,13.189,67.352,0.335,242.832,14.250,39.578,59.154,0.339,430.696,0.476904,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,8,16,256,50000000,100000000,3,13.496,66.798,0.353,232.142,10.471,40.239,59.182,0.255,420.554,0.465733,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,8,16,256,50000000,100000000,4,13.281,67.455,0.403,215.721,14.905,38.707,59.021,0.263,401.731,0.448911,199995067,11704407862287554203,9949019909254000015
funneled,funneled,skew,8,16,256,50000000,100000000,0,14.338,60.576,2.345,477.281,31.215,53.748,239.389,2.421,878.909,1.008852,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,8,16,256,50000000,100000000,1,13.098,60.574,0.339,408.905,31.375,54.019,347.508,0.291,909.639,1.040210,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,8,16,256,50000000,100000000,2,13.158,59.666,0.317,422.167,32.010,54.172,236.685,0.290,801.846,0.931529,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,8,16,256,50000000,100000000,3,13.075,59.459,0.402,416.095,31.177,54.515,238.530,0.252,811.637,0.941949,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,8,16,256,50000000,100000000,4,12.857,59.777,0.408,412.939,31.277,53.915,359.847,0.274,927.864,1.057398,35750353,12012365979402194829,16097019224298283940
funneled,funneled,uniform,16,8,256,50000000,100000000,0,13.657,51.448,2.991,349.944,11.903,38.227,60.938,2.381,483.673,0.513016,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,16,8,256,50000000,100000000,1,13.085,46.530,0.437,234.528,13.827,38.017,60.660,0.258,392.729,0.419887,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,16,8,256,50000000,100000000,2,13.342,46.747,0.476,266.643,15.319,37.417,62.276,0.272,423.419,0.450357,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,16,8,256,50000000,100000000,3,13.399,47.100,0.466,241.674,13.068,39.433,60.361,0.264,406.931,0.435026,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,16,8,256,50000000,100000000,4,13.373,46.766,0.413,237.688,11.883,38.386,60.713,0.251,395.076,0.425343,199995067,11704407862287554203,9949019909254000015
funneled,funneled,skew,16,8,256,50000000,100000000,0,13.259,41.151,3.761,450.596,37.323,57.465,232.510,2.311,832.348,0.913143,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,16,8,256,50000000,100000000,1,12.850,40.736,0.439,370.083,39.525,58.923,232.462,0.254,705.632,0.785366,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,16,8,256,50000000,100000000,2,12.454,40.559,0.539,363.030,37.340,57.516,232.677,0.278,737.440,0.817010,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,16,8,256,50000000,100000000,3,12.384,38.999,0.532,452.647,37.766,57.402,232.660,0.241,817.922,0.898505,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,16,8,256,50000000,100000000,4,13.275,40.483,0.465,344.393,37.430,57.646,232.692,0.276,713.577,0.796949,35750353,12012365979402194829,16097019224298283940
funneled,funneled,uniform,32,4,256,50000000,100000000,0,13.005,36.854,5.052,366.769,12.539,26.178,59.495,2.997,481.609,0.497173,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,32,4,256,50000000,100000000,1,12.955,36.015,0.520,354.652,28.706,22.066,61.364,0.252,480.970,0.498756,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,32,4,256,50000000,100000000,2,13.651,35.892,0.574,382.453,13.626,22.326,59.821,0.236,480.470,0.496947,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,32,4,256,50000000,100000000,3,13.225,35.945,0.508,730.040,17.960,25.734,58.679,0.243,861.780,0.877434,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,32,4,256,50000000,100000000,4,13.259,35.914,0.535,397.359,12.142,21.011,59.261,0.246,489.961,0.508209,199995067,11704407862287554203,9949019909254000015
funneled,funneled,skew,32,4,256,50000000,100000000,0,13.510,31.218,4.301,572.899,49.197,72.667,233.003,2.986,806.475,0.864366,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,32,4,256,50000000,100000000,1,12.375,30.840,0.524,456.145,49.317,73.642,233.098,0.198,791.495,0.847416,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,32,4,256,50000000,100000000,2,12.320,26.062,0.547,354.993,49.494,73.604,231.958,0.297,678.047,0.733801,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,32,4,256,50000000,100000000,3,12.310,28.120,0.535,427.101,49.401,73.593,232.184,0.195,737.484,0.794984,35750353,12012365979402194829,16097019224298283940
