remap,workload,barrier,ranks,P,NR,NS,rep,hist_local_ms,plan_ms,scatter_local_ms,comm_sizes_ms,comm_payload_ms,hist_post_ms,scatter_post_ms,join_ms,reduce_ms,total_ms,recv_max,recv_mean,join_count,checksum1,checksum2
mod,uniform,1,128,256,50000000,100000000,0,4.870,0.000,31.546,16.954,1392.486,6.754,14.531,61.167,0.242,1521.567,1174284,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,1,128,256,50000000,100000000,1,7.486,0.000,31.546,0.924,421.007,24.413,35.726,61.012,0.252,532.047,1174284,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,1,128,256,50000000,100000000,2,5.277,0.000,28.345,0.901,762.854,16.174,25.198,62.684,0.267,868.961,1174284,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,1,128,256,50000000,100000000,3,7.261,0.000,28.428,0.883,745.957,7.319,20.710,62.146,0.239,854.392,1174284,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,1,128,256,50000000,100000000,4,7.265,0.000,28.483,1.026,743.818,5.693,16.399,59.610,0.227,851.399,1174284,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,skew,1,128,256,50000000,100000000,0,4.814,0.000,23.477,8.753,633.894,83.944,144.962,253.991,0.281,986.563,22621624,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,1,128,256,50000000,100000000,1,4.809,0.000,22.930,0.858,734.245,85.779,144.908,253.732,0.314,1129.840,22621624,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,1,128,256,50000000,100000000,2,7.544,0.000,20.735,0.911,630.621,83.456,144.969,253.723,0.231,1079.707,22621624,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,1,128,256,50000000,100000000,3,7.515,0.000,20.842,0.988,582.248,84.627,148.285,259.467,0.436,942.393,22621624,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,1,128,256,50000000,100000000,4,7.137,0.000,21.330,0.972,683.263,84.213,147.718,258.912,0.290,1102.595,22621624,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,uniform,0,128,256,50000000,100000000,0,4.693,0.000,31.071,39.403,822.996,6.705,14.763,62.936,6.267,978.205,1174284,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,0,128,256,50000000,100000000,1,7.635,0.000,34.443,9.055,753.504,6.460,17.124,60.126,7.470,869.278,1174284,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,0,128,256,50000000,100000000,2,5.304,0.000,28.201,1.895,626.975,12.845,16.035,64.424,208.258,702.026,1174284,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,0,128,256,50000000,100000000,3,5.550,0.000,28.059,2.845,744.156,21.553,21.617,60.675,317.512,814.451,1174284,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,0,128,256,50000000,100000000,4,7.327,0.000,29.171,4.139,621.826,11.851,23.267,60.903,207.835,697.188,1174284,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,skew,0,128,256,50000000,100000000,0,6.139,0.000,26.477,80.342,639.711,83.891,145.243,253.423,429.121,1139.937,22621624,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,0,128,256,50000000,100000000,1,4.822,0.000,23.094,4.187,665.394,83.136,145.133,252.101,432.995,1129.107,22621624,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,0,128,256,50000000,100000000,2,7.731,0.000,20.811,4.382,1035.163,84.070,145.907,253.258,439.719,1496.710,22621624,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,0,128,256,50000000,100000000,3,6.804,0.000,21.705,6.509,652.724,84.530,148.778,258.588,431.831,1106.985,22621624,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,0,128,256,50000000,100000000,4,7.170,0.000,21.515,8.845,654.326,84.291,148.518,258.149,437.802,1110.673,22621624,1171875.0,35750353,12012365979402194829,16097019224298283940
