remap,workload,barrier,ranks,P,NR,NS,rep,hist_local_ms,plan_ms,scatter_local_ms,comm_sizes_ms,comm_payload_ms,hist_post_ms,scatter_post_ms,join_ms,reduce_ms,total_ms,recv_max,recv_mean,join_count,checksum1,checksum2
mod,uniform,1,128,256,50000000,100000000,0,4.845,0.000,31.430,8.683,1341.892,6.661,14.575,62.027,0.239,1463.600,1174284,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,1,128,256,50000000,100000000,1,6.942,0.000,30.620,0.951,467.812,15.957,29.635,60.033,0.241,544.261,1174284,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,1,128,256,50000000,100000000,2,4.889,0.000,32.591,0.844,785.521,21.437,22.762,61.261,0.260,897.573,1174284,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,1,128,256,50000000,100000000,3,7.269,0.000,28.378,0.848,780.858,7.527,20.579,60.035,0.259,891.010,1174284,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,1,128,256,50000000,100000000,4,7.225,0.000,28.358,0.933,599.711,5.554,15.680,59.773,1.020,692.436,1174284,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,skew,1,128,256,50000000,100000000,0,4.821,0.000,24.063,8.620,623.744,83.762,144.999,252.784,0.282,1067.773,22621624,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,1,128,256,50000000,100000000,1,4.784,0.000,22.862,0.934,659.058,82.992,144.975,252.651,0.318,1105.058,22621624,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,1,128,256,50000000,100000000,2,7.497,0.000,20.632,0.939,655.013,83.182,144.900,252.897,0.239,1109.693,22621624,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,1,128,256,50000000,100000000,3,7.350,0.000,20.852,1.135,633.045,84.859,147.656,259.871,0.249,1083.673,22621624,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,1,128,256,50000000,100000000,4,6.893,0.000,21.563,0.994,643.636,85.123,147.730,259.181,0.264,1016.188,22621624,1171875.0,35750353,12012365979402194829,16097019224298283940
greedy,uniform,1,128,256,50000000,100000000,0,4.835,5.414,33.342,8.656,1542.987,6.611,16.758,61.376,0.242,1671.717,1172006,1171875.0,199995067,11704407862287554203,9949019909254000015
greedy,uniform,1,128,256,50000000,100000000,1,6.868,2.194,30.892,0.978,629.146,12.225,18.638,52.406,0.226,710.395,1172006,1171875.0,199995067,11704407862287554203,9949019909254000015
greedy,uniform,1,128,256,50000000,100000000,2,4.735,0.874,28.252,0.845,775.850,10.335,16.416,62.233,0.283,884.270,1172006,1171875.0,199995067,11704407862287554203,9949019909254000015
greedy,uniform,1,128,256,50000000,100000000,3,6.260,2.589,28.813,1.014,742.416,6.469,15.833,58.494,0.261,851.239,1172006,1171875.0,199995067,11704407862287554203,9949019909254000015
