threadlevel,provided,workload,ranks,threads,P,NR,NS,rep,hist_local_ms,scatter_local_ms,comm_sizes_ms,comm_payload_ms,hist_post_ms,scatter_post_ms,join_ms,reduce_ms,total_ms,wall_s,join_count,checksum1,checksum2
funneled,funneled,uniform,4,32,128,50000000,100000000,0,19.939,122.136,1.092,287.764,14.367,26.339,77.027,0.268,543.365,0.631743,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,4,32,128,50000000,100000000,1,15.400,121.277,0.256,269.999,14.323,25.586,73.467,0.191,516.348,0.605569,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,4,32,128,50000000,100000000,2,20.148,120.796,0.247,246.856,13.322,26.138,69.355,0.271,490.442,0.582876,199995067,11704407862287554203,9949019909254000015
funneled,funneled,skew,4,32,128,50000000,100000000,0,19.752,110.418,1.048,468.992,17.491,32.859,238.966,0.228,887.824,1.025051,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,4,32,128,50000000,100000000,1,15.926,112.503,0.323,468.410,18.095,32.671,239.300,0.166,842.866,0.980739,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,4,32,128,50000000,100000000,2,12.693,109.657,0.237,478.177,18.100,32.843,237.700,0.248,870.232,1.007764,35750353,12012365979402194829,16097019224298283940
funneled,funneled,uniform,4,32,256,50000000,100000000,0,19.058,123.363,1.126,261.716,11.706,31.735,72.129,0.226,518.164,0.607263,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,4,32,256,50000000,100000000,1,16.104,123.830,0.278,270.472,12.243,31.293,63.760,0.218,516.457,0.604525,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,4,32,256,50000000,100000000,2,21.255,121.556,0.265,245.595,11.870,31.458,62.741,0.214,490.013,0.578420,199995067,11704407862287554203,9949019909254000015
funneled,funneled,skew,4,32,256,50000000,100000000,0,19.638,113.942,1.082,522.697,24.120,43.209,232.864,0.238,953.293,1.141689,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,4,32,256,50000000,100000000,1,15.803,112.498,0.247,509.684,23.921,42.492,230.506,0.202,931.338,1.120128,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,4,32,256,50000000,100000000,2,12.773,112.154,0.299,555.093,23.887,43.850,231.159,0.232,975.913,1.164195,35750353,12012365979402194829,16097019224298283940
funneled,funneled,uniform,4,32,512,50000000,100000000,0,17.538,124.784,2.745,261.973,18.986,34.030,58.427,0.205,513.500,0.602702,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,4,32,512,50000000,100000000,1,16.350,124.417,0.266,243.157,11.405,34.287,54.225,0.173,478.879,0.567903,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,4,32,512,50000000,100000000,2,18.947,130.412,0.355,258.994,11.989,34.050,53.294,0.199,504.370,0.592540,199995067,11704407862287554203,9949019909254000015
funneled,funneled,skew,4,32,512,50000000,100000000,0,19.755,118.351,1.092,459.229,17.551,33.796,230.958,0.244,879.212,1.017300,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,4,32,512,50000000,100000000,1,17.645,117.278,0.259,467.765,18.108,33.330,234.576,0.178,854.759,0.993337,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,4,32,512,50000000,100000000,2,12.753,117.227,0.276,464.346,18.043,33.185,241.442,0.208,867.664,1.006404,35750353,12012365979402194829,16097019224298283940
funneled,funneled,uniform,4,32,1024,50000000,100000000,0,16.687,126.396,2.199,269.962,12.653,35.677,40.014,0.316,499.747,0.589790,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,4,32,1024,50000000,100000000,1,14.120,126.790,0.297,276.761,12.049,35.307,39.504,0.220,499.293,0.587312,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,4,32,1024,50000000,100000000,2,21.400,130.579,0.326,267.625,12.159,37.548,38.162,0.280,495.564,0.587344,199995067,11704407862287554203,9949019909254000015
funneled,funneled,skew,4,32,1024,50000000,100000000,0,19.975,121.258,1.095,404.562,18.144,32.621,222.527,0.203,818.689,0.957896,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,4,32,1024,50000000,100000000,1,16.018,119.528,0.279,406.676,18.111,32.477,222.090,0.176,812.050,0.951031,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,4,32,1024,50000000,100000000,2,13.028,119.371,0.247,415.426,17.817,32.719,235.184,0.158,824.486,0.962453,35750353,12012365979402194829,16097019224298283940
