remap,workload,barrier,ranks,P,NR,NS,rep,hist_local_ms,plan_ms,scatter_local_ms,comm_sizes_ms,comm_payload_ms,hist_post_ms,scatter_post_ms,join_ms,reduce_ms,total_ms,recv_max,recv_mean,join_count,checksum1,checksum2
mod,uniform,1,128,128,50000000,100000000,0,4.845,0.000,30.560,12.245,1133.465,6.541,15.039,68.042,0.269,1267.269,1174443,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,1,128,128,50000000,100000000,1,7.680,0.000,28.291,0.986,1005.820,5.991,13.825,68.960,0.238,1123.960,1174443,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,1,128,128,50000000,100000000,2,4.703,0.000,27.280,0.852,744.931,10.912,13.976,68.309,0.252,861.061,1174443,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,skew,1,128,128,50000000,100000000,0,4.804,0.000,21.915,9.694,1185.488,84.595,148.175,254.455,0.241,1584.380,22621942,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,1,128,128,50000000,100000000,1,4.817,0.000,20.963,0.915,1063.761,111.428,148.241,254.305,0.358,1091.867,22621942,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,1,128,128,50000000,100000000,2,7.529,0.000,19.307,0.951,631.238,84.205,148.133,253.888,0.306,992.628,22621942,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,uniform,1,128,256,50000000,100000000,0,4.869,0.000,31.732,7.679,1374.352,6.785,14.752,61.955,0.293,1494.851,1174284,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,1,128,256,50000000,100000000,1,6.838,0.000,30.205,0.938,520.626,11.174,18.803,59.743,0.241,597.440,1174284,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,1,128,256,50000000,100000000,2,4.788,0.000,28.486,0.915,768.225,7.181,15.892,62.474,0.252,880.153,1174284,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,skew,1,128,256,50000000,100000000,0,4.855,0.000,24.214,9.162,1001.536,109.407,144.794,254.219,0.233,1373.451,22621624,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,1,128,256,50000000,100000000,1,4.839,0.000,25.045,0.889,651.833,82.823,144.451,252.435,0.245,1111.445,22621624,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,1,128,256,50000000,100000000,2,7.806,0.000,22.065,0.876,644.453,82.997,144.439,253.018,0.359,1101.219,22621624,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,uniform,1,128,512,50000000,100000000,0,4.879,0.000,33.370,7.840,752.836,6.750,14.971,48.928,0.238,865.495,1174749,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,1,128,512,50000000,100000000,1,7.392,0.000,35.629,1.661,548.278,15.637,25.384,47.006,0.234,616.707,1174749,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,1,128,512,50000000,100000000,2,8.015,0.000,30.245,0.885,762.250,5.455,20.196,52.695,0.231,866.021,1174749,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,skew,1,128,512,50000000,100000000,0,4.836,0.000,28.474,10.153,1110.505,83.927,145.633,250.897,0.241,1512.032,22621675,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,1,128,512,50000000,100000000,1,4.773,0.000,28.344,0.898,930.014,83.318,145.552,250.642,0.695,1290.145,22621675,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,1,128,512,50000000,100000000,2,7.470,0.000,26.066,0.997,724.346,83.269,145.507,250.262,0.305,1053.842,22621675,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,uniform,1,128,1024,50000000,100000000,0,4.903,0.000,35.740,8.229,783.648,6.737,15.950,36.658,0.233,884.112,1174440,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,1,128,1024,50000000,100000000,1,8.199,0.000,38.592,1.848,520.989,18.607,25.448,34.484,0.229,600.941,1174440,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,uniform,1,128,1024,50000000,100000000,2,7.584,0.000,33.713,0.932,646.087,8.987,18.166,32.217,0.229,714.093,1174440,1171875.0,199995067,11704407862287554203,9949019909254000015
mod,skew,1,128,1024,50000000,100000000,0,4.861,0.000,30.087,11.136,1100.271,83.970,145.617,252.022,0.274,1503.155,22621423,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,1,128,1024,50000000,100000000,1,4.903,0.000,30.777,0.927,628.998,83.784,146.044,251.916,0.286,996.184,22621423,1171875.0,35750353,12012365979402194829,16097019224298283940
mod,skew,1,128,1024,50000000,100000000,2,7.601,0.000,28.161,0.940,1354.599,84.080,146.525,251.633,0.253,1743.623,22621423,1171875.0,35750353,12012365979402194829,16097019224298283940
