threadlevel,provided,workload,ranks,threads,P,NR,NS,rep,hist_local_ms,scatter_local_ms,comm_sizes_ms,comm_payload_ms,hist_post_ms,scatter_post_ms,join_ms,reduce_ms,total_ms,wall_s,join_count,checksum1,checksum2
funneled,funneled,uniform,4,32,256,50000000,100000000,0,17.774,126.469,1.011,248.131,11.412,31.067,70.416,0.194,501.388,0.588491,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,4,32,256,50000000,100000000,1,16.016,123.804,0.284,251.315,11.573,31.329,63.566,0.215,494.294,0.583466,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,4,32,256,50000000,100000000,2,15.917,122.396,0.279,243.029,11.916,31.730,61.859,0.203,483.742,0.573552,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,4,32,256,50000000,100000000,3,21.252,121.198,0.247,244.651,11.487,31.109,63.109,0.198,488.182,0.576583,199995067,11704407862287554203,9949019909254000015
funneled,funneled,uniform,4,32,256,50000000,100000000,4,14.509,119.518,0.270,243.724,11.677,30.925,62.285,0.193,477.502,0.567127,199995067,11704407862287554203,9949019909254000015
funneled,funneled,skew,4,32,256,50000000,100000000,0,19.743,113.697,1.053,517.329,23.602,42.650,233.106,0.250,950.756,1.138488,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,4,32,256,50000000,100000000,1,17.776,112.969,0.251,501.843,23.204,42.820,239.885,0.798,934.978,1.125363,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,4,32,256,50000000,100000000,2,12.765,113.234,0.229,485.734,23.388,43.391,233.753,0.240,910.763,1.100656,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,4,32,256,50000000,100000000,3,16.793,112.886,0.258,525.416,24.195,43.324,235.131,0.209,951.024,1.142094,35750353,12012365979402194829,16097019224298283940
funneled,funneled,skew,4,32,256,50000000,100000000,4,17.814,111.067,0.301,484.139,23.588,42.689,234.693,0.193,913.024,1.101844,35750353,12012365979402194829,16097019224298283940
multiple,multiple,uniform,4,32,256,50000000,100000000,0,18.084,123.270,1.082,256.439,11.661,31.105,69.544,0.298,507.081,0.597343,199995067,11704407862287554203,9949019909254000015
multiple,multiple,uniform,4,32,256,50000000,100000000,1,16.079,123.482,0.273,257.154,11.790,31.186,61.754,0.235,497.549,0.587125,199995067,11704407862287554203,9949019909254000015
multiple,multiple,uniform,4,32,256,50000000,100000000,2,21.227,125.562,0.253,256.624,11.653,30.838,61.187,0.209,500.191,0.588363,199995067,11704407862287554203,9949019909254000015
multiple,multiple,uniform,4,32,256,50000000,100000000,3,18.142,122.019,0.311,254.553,11.802,30.900,61.801,0.207,495.582,0.584580,199995067,11704407862287554203,9949019909254000015
multiple,multiple,uniform,4,32,256,50000000,100000000,4,16.429,119.274,0.243,258.340,12.605,30.963,60.643,0.203,493.737,0.584457,199995067,11704407862287554203,9949019909254000015
multiple,multiple,skew,4,32,256,50000000,100000000,0,19.913,113.598,1.084,520.693,23.736,43.876,238.117,0.241,957.610,1.145654,35750353,12012365979402194829,16097019224298283940
multiple,multiple,skew,4,32,256,50000000,100000000,1,15.667,113.362,0.254,505.282,23.758,43.915,232.074,0.177,930.861,1.118440,35750353,12012365979402194829,16097019224298283940
multiple,multiple,skew,4,32,256,50000000,100000000,2,12.817,113.113,0.253,501.636,23.401,42.911,231.320,0.230,923.274,1.112994,35750353,12012365979402194829,16097019224298283940
multiple,multiple,skew,4,32,256,50000000,100000000,3,16.746,113.390,0.311,519.952,23.728,43.490,240.102,0.270,948.886,1.139714,35750353,12012365979402194829,16097019224298283940
multiple,multiple,skew,4,32,256,50000000,100000000,4,17.894,111.132,0.312,495.265,23.484,43.509,232.076,0.183,921.614,1.111720,35750353,12012365979402194829,16097019224298283940
