label,ranks,recs_per_rank,bytes_per_rank,rep,t_max_s,nodes
default,32,4687500,37500000,1,0.087966,1
default,32,4687500,37500000,2,0.087913,1
default,32,4687500,37500000,3,0.087581,1
default,32,4687500,37500000,4,0.087915,1
default,32,4687500,37500000,5,0.087513,1
default,32,4687500,37500000,6,0.088794,1
default,32,4687500,37500000,7,0.087669,1
default,32,4687500,37500000,8,0.087791,1
default,32,4687500,37500000,9,0.088062,1
default,32,4687500,37500000,10,0.088289,1
dyn_linear,32,4687500,37500000,1,0.088453,1
dyn_linear,32,4687500,37500000,2,0.088243,1
dyn_linear,32,4687500,37500000,3,0.087936,1
dyn_linear,32,4687500,37500000,4,0.087874,1
dyn_linear,32,4687500,37500000,5,0.087745,1
dyn_linear,32,4687500,37500000,6,0.088048,1
dyn_linear,32,4687500,37500000,7,0.088008,1
dyn_linear,32,4687500,37500000,8,0.088043,1
dyn_linear,32,4687500,37500000,9,0.088161,1
dyn_linear,32,4687500,37500000,10,0.089109,1
dyn_pairwise,32,4687500,37500000,1,0.068797,1
dyn_pairwise,32,4687500,37500000,2,0.067538,1
dyn_pairwise,32,4687500,37500000,3,0.069352,1
dyn_pairwise,32,4687500,37500000,4,0.070356,1
dyn_pairwise,32,4687500,37500000,5,0.069883,1
dyn_pairwise,32,4687500,37500000,6,0.070483,1
dyn_pairwise,32,4687500,37500000,7,0.070778,1
dyn_pairwise,32,4687500,37500000,8,0.069821,1
dyn_pairwise,32,4687500,37500000,9,0.069818,1
dyn_pairwise,32,4687500,37500000,10,0.069111,1
default,64,2343750,18750000,1,0.261710,2
default,64,2343750,18750000,2,0.262187,2
default,64,2343750,18750000,3,0.262799,2
default,64,2343750,18750000,4,0.262525,2
default,64,2343750,18750000,5,0.263719,2
default,64,2343750,18750000,6,0.262687,2
default,64,2343750,18750000,7,0.262321,2
default,64,2343750,18750000,8,0.262265,2
default,64,2343750,18750000,9,0.262709,2
default,64,2343750,18750000,10,0.262171,2
dyn_linear,64,2343750,18750000,1,0.500289,2
dyn_linear,64,2343750,18750000,2,0.502397,2
dyn_linear,64,2343750,18750000,3,0.521539,2
dyn_linear,64,2343750,18750000,4,0.264149,2
dyn_linear,64,2343750,18750000,5,0.603569,2
dyn_linear,64,2343750,18750000,6,0.264174,2
dyn_linear,64,2343750,18750000,7,0.264397,2
dyn_linear,64,2343750,18750000,8,0.264645,2
dyn_linear,64,2343750,18750000,9,0.264281,2
dyn_linear,64,2343750,18750000,10,0.264189,2
dyn_pairwise,64,2343750,18750000,1,0.261567,2
dyn_pairwise,64,2343750,18750000,2,0.261745,2
dyn_pairwise,64,2343750,18750000,3,0.262196,2
dyn_pairwise,64,2343750,18750000,4,0.262847,2
dyn_pairwise,64,2343750,18750000,5,0.262380,2
dyn_pairwise,64,2343750,18750000,6,0.261985,2
dyn_pairwise,64,2343750,18750000,7,0.262419,2
dyn_pairwise,64,2343750,18750000,8,0.262307,2
dyn_pairwise,64,2343750,18750000,9,0.262644,2
dyn_pairwise,64,2343750,18750000,10,0.263695,2
default,128,1171875,9375000,1,0.571585,4
default,128,1171875,9375000,2,0.518536,4
default,128,1171875,9375000,3,0.558521,4
default,128,1171875,9375000,4,0.521259,4
