label,ranks,recs_per_rank,bytes_per_rank,rep,t_max_s
default,8,18750000,150000000,1,0.136510
default,8,18750000,150000000,2,0.136078
default,8,18750000,150000000,3,0.134480
default,8,18750000,150000000,4,0.135362
default,8,18750000,150000000,5,0.131668
default,8,18750000,150000000,6,0.132271
default,8,18750000,150000000,7,0.133226
default,8,18750000,150000000,8,0.134033
default,8,18750000,150000000,9,0.137076
default,8,18750000,150000000,10,0.132803
dyn_ignore,8,18750000,150000000,1,0.140117
dyn_ignore,8,18750000,150000000,2,0.132403
dyn_ignore,8,18750000,150000000,3,0.133751
dyn_ignore,8,18750000,150000000,4,0.131529
dyn_ignore,8,18750000,150000000,5,0.133317
dyn_ignore,8,18750000,150000000,6,0.134684
dyn_ignore,8,18750000,150000000,7,0.134146
dyn_ignore,8,18750000,150000000,8,0.131979
dyn_ignore,8,18750000,150000000,9,0.133721
dyn_ignore,8,18750000,150000000,10,0.240999
dyn_linear,8,18750000,150000000,1,0.132387
dyn_linear,8,18750000,150000000,2,0.133433
dyn_linear,8,18750000,150000000,3,0.131296
dyn_linear,8,18750000,150000000,4,0.128376
dyn_linear,8,18750000,150000000,5,0.131059
dyn_linear,8,18750000,150000000,6,0.148659
dyn_linear,8,18750000,150000000,7,0.140530
dyn_linear,8,18750000,150000000,8,0.136593
dyn_linear,8,18750000,150000000,9,0.131559
dyn_linear,8,18750000,150000000,10,0.135768
dyn_pairwise,8,18750000,150000000,1,0.192105
dyn_pairwise,8,18750000,150000000,2,0.189806
dyn_pairwise,8,18750000,150000000,3,0.189068
dyn_pairwise,8,18750000,150000000,4,0.175810
dyn_pairwise,8,18750000,150000000,5,0.173634
dyn_pairwise,8,18750000,150000000,6,0.172544
dyn_pairwise,8,18750000,150000000,7,0.169894
dyn_pairwise,8,18750000,150000000,8,0.170470
dyn_pairwise,8,18750000,150000000,9,0.167802
dyn_pairwise,8,18750000,150000000,10,0.166218
default,16,9375000,75000000,1,0.219298
default,16,9375000,75000000,2,0.259363
default,16,9375000,75000000,3,0.126993
default,16,9375000,75000000,4,0.123453
default,16,9375000,75000000,5,0.126905
default,16,9375000,75000000,6,0.125067
default,16,9375000,75000000,7,0.125557
default,16,9375000,75000000,8,0.126052
default,16,9375000,75000000,9,0.125026
default,16,9375000,75000000,10,0.260262
dyn_ignore,16,9375000,75000000,1,0.217010
dyn_ignore,16,9375000,75000000,2,0.126510
dyn_ignore,16,9375000,75000000,3,0.125750
dyn_ignore,16,9375000,75000000,4,0.124228
dyn_ignore,16,9375000,75000000,5,0.125246
dyn_ignore,16,9375000,75000000,6,0.127032
dyn_ignore,16,9375000,75000000,7,0.300763
dyn_ignore,16,9375000,75000000,8,0.124481
dyn_ignore,16,9375000,75000000,9,0.123927
dyn_ignore,16,9375000,75000000,10,0.125678
dyn_linear,16,9375000,75000000,1,0.132704
dyn_linear,16,9375000,75000000,2,0.140605
dyn_linear,16,9375000,75000000,3,0.126678
dyn_linear,16,9375000,75000000,4,0.125608
dyn_linear,16,9375000,75000000,5,0.148974
dyn_linear,16,9375000,75000000,6,0.124697
dyn_linear,16,9375000,75000000,7,0.125153
dyn_linear,16,9375000,75000000,8,0.124576
dyn_linear,16,9375000,75000000,9,0.125537
dyn_linear,16,9375000,75000000,10,0.122147
dyn_pairwise,16,9375000,75000000,1,0.159521
dyn_pairwise,16,9375000,75000000,2,0.162148
dyn_pairwise,16,9375000,75000000,3,0.157442
dyn_pairwise,16,9375000,75000000,4,0.157593
dyn_pairwise,16,9375000,75000000,5,0.157152
dyn_pairwise,16,9375000,75000000,6,0.153405
dyn_pairwise,16,9375000,75000000,7,0.160663
dyn_pairwise,16,9375000,75000000,8,0.149903
dyn_pairwise,16,9375000,75000000,9,0.147208
dyn_pairwise,16,9375000,75000000,10,0.149623
default,32,4687500,37500000,1,0.292570
default,32,4687500,37500000,2,0.312165
default,32,4687500,37500000,3,0.158759
default,32,4687500,37500000,4,0.290475
default,32,4687500,37500000,5,0.123104
default,32,4687500,37500000,6,0.289496
default,32,4687500,37500000,7,0.291742
default,32,4687500,37500000,8,0.267097
default,32,4687500,37500000,9,0.226495
default,32,4687500,37500000,10,0.294041
dyn_ignore,32,4687500,37500000,1,0.306290
dyn_ignore,32,4687500,37500000,2,0.298361
dyn_ignore,32,4687500,37500000,3,0.328143
dyn_ignore,32,4687500,37500000,4,0.237592
dyn_ignore,32,4687500,37500000,5,0.287901
dyn_ignore,32,4687500,37500000,6,0.286757
dyn_ignore,32,4687500,37500000,7,0.296075
dyn_ignore,32,4687500,37500000,8,0.122865
dyn_ignore,32,4687500,37500000,9,0.308464
dyn_ignore,32,4687500,37500000,10,0.288874
dyn_linear,32,4687500,37500000,1,0.229144
dyn_linear,32,4687500,37500000,2,0.271031
dyn_linear,32,4687500,37500000,3,0.284267
dyn_linear,32,4687500,37500000,4,0.261973
dyn_linear,32,4687500,37500000,5,0.276854
dyn_linear,32,4687500,37500000,6,0.297252
dyn_linear,32,4687500,37500000,7,0.295641
dyn_linear,32,4687500,37500000,8,0.308715
dyn_linear,32,4687500,37500000,9,0.122553
dyn_linear,32,4687500,37500000,10,0.277733
dyn_pairwise,32,4687500,37500000,1,0.133171
dyn_pairwise,32,4687500,37500000,2,0.335987
dyn_pairwise,32,4687500,37500000,3,0.534327
dyn_pairwise,32,4687500,37500000,4,0.134278
dyn_pairwise,32,4687500,37500000,5,0.133361
dyn_pairwise,32,4687500,37500000,6,0.328664
dyn_pairwise,32,4687500,37500000,7,0.133328
dyn_pairwise,32,4687500,37500000,8,0.132861
dyn_pairwise,32,4687500,37500000,9,0.371828
dyn_pairwise,32,4687500,37500000,10,0.325742
default,64,2343750,18750000,1,0.123457
default,64,2343750,18750000,2,0.123451
default,64,2343750,18750000,3,0.123024
default,64,2343750,18750000,4,0.123753
default,64,2343750,18750000,5,0.122742
default,64,2343750,18750000,6,0.124734
default,64,2343750,18750000,7,0.328680
default,64,2343750,18750000,8,0.124824
default,64,2343750,18750000,9,0.325012
default,64,2343750,18750000,10,0.324138
dyn_ignore,64,2343750,18750000,1,0.122190
dyn_ignore,64,2343750,18750000,2,0.122709
dyn_ignore,64,2343750,18750000,3,0.123427
dyn_ignore,64,2343750,18750000,4,0.123002
dyn_ignore,64,2343750,18750000,5,0.124027
dyn_ignore,64,2343750,18750000,6,0.326123
dyn_ignore,64,2343750,18750000,7,0.125163
dyn_ignore,64,2343750,18750000,8,0.122873
dyn_ignore,64,2343750,18750000,9,0.325011
dyn_ignore,64,2343750,18750000,10,0.123032
dyn_linear,64,2343750,18750000,1,0.316333
dyn_linear,64,2343750,18750000,2,0.339888
dyn_linear,64,2343750,18750000,3,0.358086
dyn_linear,64,2343750,18750000,4,0.337464
dyn_linear,64,2343750,18750000,5,0.321591
dyn_linear,64,2343750,18750000,6,0.344865
dyn_linear,64,2343750,18750000,7,0.322039
dyn_linear,64,2343750,18750000,8,0.327699
dyn_linear,64,2343750,18750000,9,0.339854
dyn_linear,64,2343750,18750000,10,0.323248
dyn_pairwise,64,2343750,18750000,1,0.123492
dyn_pairwise,64,2343750,18750000,2,0.323511
dyn_pairwise,64,2343750,18750000,3,0.122955
dyn_pairwise,64,2343750,18750000,4,0.123208
dyn_pairwise,64,2343750,18750000,5,0.124189
dyn_pairwise,64,2343750,18750000,6,0.124415
dyn_pairwise,64,2343750,18750000,7,0.123452
dyn_pairwise,64,2343750,18750000,8,0.123305
dyn_pairwise,64,2343750,18750000,9,0.124890
dyn_pairwise,64,2343750,18750000,10,0.124737
default,128,1171875,9375000,1,0.469008
default,128,1171875,9375000,2,0.398359
default,128,1171875,9375000,3,0.398091
default,128,1171875,9375000,4,0.385720
default,128,1171875,9375000,5,0.407748
default,128,1171875,9375000,6,0.631909
default,128,1171875,9375000,7,0.395473
default,128,1171875,9375000,8,0.411587
default,128,1171875,9375000,9,0.384284
default,128,1171875,9375000,10,0.384281
dyn_ignore,128,1171875,9375000,1,0.416667
dyn_ignore,128,1171875,9375000,2,0.406744
dyn_ignore,128,1171875,9375000,3,0.400232
dyn_ignore,128,1171875,9375000,4,0.404407
dyn_ignore,128,1171875,9375000,5,0.391712
dyn_ignore,128,1171875,9375000,6,0.399944
dyn_ignore,128,1171875,9375000,7,0.401334
dyn_ignore,128,1171875,9375000,8,0.390658
dyn_ignore,128,1171875,9375000,9,0.386771
dyn_ignore,128,1171875,9375000,10,0.373286
dyn_linear,128,1171875,9375000,1,0.413401
dyn_linear,128,1171875,9375000,2,0.378650
dyn_linear,128,1171875,9375000,3,0.401221
dyn_linear,128,1171875,9375000,4,0.420519
dyn_linear,128,1171875,9375000,5,0.414766
dyn_linear,128,1171875,9375000,6,0.427744
dyn_linear,128,1171875,9375000,7,0.402374
dyn_linear,128,1171875,9375000,8,0.389140
dyn_linear,128,1171875,9375000,9,0.392103
dyn_linear,128,1171875,9375000,10,0.384571
dyn_pairwise,128,1171875,9375000,1,0.123407
dyn_pairwise,128,1171875,9375000,2,0.127723
dyn_pairwise,128,1171875,9375000,3,0.128053
dyn_pairwise,128,1171875,9375000,4,0.128608
dyn_pairwise,128,1171875,9375000,5,0.128057
dyn_pairwise,128,1171875,9375000,6,0.127605
dyn_pairwise,128,1171875,9375000,7,0.127728
dyn_pairwise,128,1171875,9375000,8,0.126520
dyn_pairwise,128,1171875,9375000,9,0.127092
dyn_pairwise,128,1171875,9375000,10,0.127983
default,256,585937,4687496,1,0.338760
default,256,585937,4687496,2,0.341068
default,256,585937,4687496,3,0.120195
default,256,585937,4687496,4,0.528657
default,256,585937,4687496,5,0.126486
default,256,585937,4687496,6,0.580608
default,256,585937,4687496,7,0.127987
default,256,585937,4687496,8,0.115195
default,256,585937,4687496,9,0.114772
default,256,585937,4687496,10,0.114869
dyn_ignore,256,585937,4687496,1,0.123307
dyn_ignore,256,585937,4687496,2,0.527800
dyn_ignore,256,585937,4687496,3,0.340496
dyn_ignore,256,585937,4687496,4,0.374731
dyn_ignore,256,585937,4687496,5,0.129386
dyn_ignore,256,585937,4687496,6,0.560943
dyn_ignore,256,585937,4687496,7,0.126839
dyn_ignore,256,585937,4687496,8,0.543847
dyn_ignore,256,585937,4687496,9,0.330842
dyn_ignore,256,585937,4687496,10,0.127008
dyn_linear,256,585937,4687496,1,1.133536
dyn_linear,256,585937,4687496,2,0.723158
dyn_linear,256,585937,4687496,3,0.604176
dyn_linear,256,585937,4687496,4,0.648267
dyn_linear,256,585937,4687496,5,0.478400
dyn_linear,256,585937,4687496,6,0.531360
dyn_linear,256,585937,4687496,7,0.474867
dyn_linear,256,585937,4687496,8,0.504594
dyn_linear,256,585937,4687496,9,0.460032
dyn_linear,256,585937,4687496,10,0.574751
dyn_pairwise,256,585937,4687496,1,0.124703
dyn_pairwise,256,585937,4687496,2,0.334412
dyn_pairwise,256,585937,4687496,3,0.115106
dyn_pairwise,256,585937,4687496,4,0.746731
dyn_pairwise,256,585937,4687496,5,0.334536
dyn_pairwise,256,585937,4687496,6,0.334117
dyn_pairwise,256,585937,4687496,7,0.125568
dyn_pairwise,256,585937,4687496,8,0.114780
dyn_pairwise,256,585937,4687496,9,0.115757
dyn_pairwise,256,585937,4687496,10,0.544167
