impl,workload,threads,run_id,t_total_s,join_count
m3_loop,uniform,16,1,0.375399,199995067
m3_loop,uniform,16,2,0.375028,199995067
m3_loop,uniform,16,3,0.374975,199995067
m3_loop,uniform,16,4,0.378883,199995067
m3_loop,uniform,16,5,0.374218,199995067
m3_loop,uniform,32,1,0.442059,199995067
m3_loop,uniform,32,2,0.437788,199995067
m3_loop,uniform,32,3,0.437941,199995067
m3_loop,uniform,32,4,0.442218,199995067
m3_loop,uniform,32,5,0.441529,199995067
m3_loop,skewed,16,1,0.366398,35750353
m3_loop,skewed,16,2,0.376718,35750353
m3_loop,skewed,16,3,0.366606,35750353
m3_loop,skewed,16,4,0.364670,35750353
m3_loop,skewed,16,5,0.369913,35750353
m3_loop,skewed,32,1,0.385612,35750353
m3_loop,skewed,32,2,0.375070,35750353
m3_loop,skewed,32,3,0.500957,35750353
m3_loop,skewed,32,4,0.373732,35750353
m3_loop,skewed,32,5,0.372820,35750353
m3_task,uniform,16,1,0.402041,199995067
m3_task,uniform,16,2,0.397013,199995067
m3_task,uniform,16,3,0.405136,199995067
m3_task,uniform,16,4,0.403965,199995067
m3_task,uniform,16,5,0.404804,199995067
m3_task,uniform,32,1,0.444270,199995067
m3_task,uniform,32,2,0.447779,199995067
m3_task,uniform,32,3,0.443378,199995067
m3_task,uniform,32,4,0.446994,199995067
m3_task,uniform,32,5,0.453817,199995067
m3_task,skewed,16,1,0.369253,35750353
m3_task,skewed,16,2,0.367147,35750353
m3_task,skewed,16,3,0.364532,35750353
m3_task,skewed,16,4,0.369110,35750353
m3_task,skewed,16,5,0.366165,35750353
m3_task,skewed,32,1,0.378932,35750353
m3_task,skewed,32,2,0.496434,35750353
m3_task,skewed,32,3,0.490059,35750353
m3_task,skewed,32,4,0.489954,35750353
m3_task,skewed,32,5,0.376541,35750353
