impl,workload,nodes,threads,run_id,t_total_s,join_count
m4_hybrid,uniform,1,16,1,1.732027,199995067
m4_hybrid,uniform,1,16,2,1.736399,199995067
m4_hybrid,uniform,1,16,3,1.732585,199995067
m4_hybrid,uniform,1,16,4,1.735713,199995067
m4_hybrid,uniform,1,16,5,1.733232,199995067
m4_hybrid,skewed,1,16,1,1.592996,35750353
m4_hybrid,skewed,1,16,2,1.594753,35750353
m4_hybrid,skewed,1,16,3,1.592732,35750353
m4_hybrid,skewed,1,16,4,1.594318,35750353
m4_hybrid,skewed,1,16,5,1.590434,35750353
m4_hybrid,uniform,1,32,1,1.611596,199995067
m4_hybrid,uniform,1,32,2,1.616054,199995067
m4_hybrid,uniform,1,32,3,1.616224,199995067
m4_hybrid,uniform,1,32,4,1.619341,199995067
m4_hybrid,uniform,1,32,5,1.619526,199995067
m4_hybrid,skewed,1,32,1,1.576916,35750353
m4_hybrid,skewed,1,32,2,1.582627,35750353
m4_hybrid,skewed,1,32,3,1.581328,35750353
m4_hybrid,skewed,1,32,4,1.702280,35750353
m4_hybrid,skewed,1,32,5,1.570257,35750353
m4_hybrid,uniform,8,16,1,0.387015,199995067
m4_hybrid,uniform,8,16,2,0.365758,199995067
m4_hybrid,uniform,8,16,3,0.378618,199995067
m4_hybrid,uniform,8,16,4,0.355442,199995067
m4_hybrid,uniform,8,16,5,0.341820,199995067
m4_hybrid,skewed,8,16,1,0.909631,35750353
m4_hybrid,skewed,8,16,2,0.954951,35750353
m4_hybrid,skewed,8,16,3,0.923076,35750353
m4_hybrid,skewed,8,16,4,0.919401,35750353
m4_hybrid,skewed,8,16,5,0.888746,35750353
m4_hybrid,uniform,8,32,1,0.536959,199995067
m4_hybrid,uniform,8,32,2,0.367499,199995067
m4_hybrid,uniform,8,32,3,0.549167,199995067
m4_hybrid,uniform,8,32,4,0.368125,199995067
m4_hybrid,uniform,8,32,5,0.337721,199995067
m4_hybrid,skewed,8,32,1,0.911988,35750353
m4_hybrid,skewed,8,32,2,0.918045,35750353
m4_hybrid,skewed,8,32,3,0.913608,35750353
m4_hybrid,skewed,8,32,4,0.902587,35750353
m4_hybrid,skewed,8,32,5,0.900874,35750353
