config,algo,run_id,nodelist,t_total_s,t_comm_payload_s,join_count
default,-1,1,node[01,06-08],0.917337,0.746097,199995067
default,-1,2,node[01,06-08],1.000446,0.837051,199995067
default,-1,3,node[01,06-08],1.521273,1.396095,199995067
default,-1,4,node[01,06-08],1.303724,1.147152,199995067
default,-1,5,node[01,06-08],1.264093,1.104853,199995067
default,-1,6,node[01,06-08],1.473268,1.351264,199995067
default,-1,7,node[01,06-08],1.497754,1.369546,199995067
default,-1,8,node[01,06-08],1.504439,1.385078,199995067
default,-1,9,node[01,06-08],1.505304,1.387799,199995067
default,-1,10,node[01,06-08],1.341994,1.179917,199995067
fixed,1,1,node[01,06-08],1.487446,1.349084,199995067
fixed,1,2,node[01,06-08],1.523232,1.397192,199995067
fixed,1,3,node[01,06-08],1.564601,1.440905,199995067
fixed,1,4,node[01,06-08],1.532348,1.398919,199995067
fixed,1,5,node[01,06-08],1.604714,1.484888,199995067
fixed,1,6,node[01,06-08],1.554053,1.430324,199995067
fixed,1,7,node[01,06-08],1.614451,1.481018,199995067
fixed,1,8,node[01,06-08],1.575923,1.448916,199995067
fixed,1,9,node[01,06-08],1.588426,1.458796,199995067
fixed,1,10,node[01,06-08],1.625972,1.491559,199995067
fixed,2,1,node[01,06-08],1.447080,1.282792,199995067
fixed,2,2,node[01,06-08],1.030575,0.865716,199995067
fixed,2,3,node[01,06-08],0.859061,0.686814,199995067
fixed,2,4,node[01,06-08],1.246204,1.075367,199995067
fixed,2,5,node[01,06-08],1.510692,1.337970,199995067
fixed,2,6,node[01,06-08],1.248533,1.079196,199995067
fixed,2,7,node[01,06-08],1.101729,0.929391,199995067
fixed,2,8,node[01,06-08],1.270397,1.095786,199995067
fixed,2,9,node[01,06-08],1.068827,0.895009,199995067
fixed,2,10,node[01,06-08],0.940430,0.780630,199995067
