impl,workload,rho,hot,nr,ns,p,nodes,ranks,threads,run_id,t_total_s,t_hist_local,t_scatter_local,t_comm_sizes,t_comm_payload,t_hist_post,t_scatter_post,t_join,t_reduce,join_count,checksum1,checksum2
mpi,uniform,0.0,0,50000000,100000000,256,4,128,1,1,1.690458,0.011431000,0.032576000,0.008988000,1.533196000,0.011909000,0.017686000,0.062845000,0.004720000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,4,128,1,2,0.941761,0.011408000,0.032464000,0.009842000,0.783365000,0.015492000,0.021127000,0.063643000,0.004777000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,4,128,1,3,1.660449,0.011374000,0.032684000,0.008036000,1.504338000,0.011954000,0.017871000,0.063767000,0.004734000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,4,128,1,4,1.472777,0.011406000,0.032501000,0.009027000,1.351316000,0.012205000,0.017699000,0.062906000,0.004769000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,4,128,1,5,1.503182,0.011399000,0.032525000,0.009271000,1.380400000,0.012198000,0.019167000,0.063125000,0.004670000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,4,4,32,1,0.601179,0.018713000,0.122512000,0.001140000,0.260673000,0.017693000,0.030900000,0.071211000,0.000206000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,4,4,32,2,0.609016,0.018904000,0.123152000,0.001138000,0.266896000,0.018566000,0.031234000,0.069962000,0.000194000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,4,4,32,3,0.605270,0.018259000,0.123049000,0.001113000,0.261078000,0.011462000,0.031481000,0.071234000,0.000221000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,4,4,32,4,0.612492,0.019000000,0.124815000,0.001090000,0.264892000,0.016407000,0.030587000,0.072643000,0.000219000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,4,4,32,5,0.602617,0.018229000,0.122901000,0.001098000,0.259156000,0.012724000,0.030813000,0.070108000,0.000237000,199995067,11704407862287554203,9949019909254000015
mpi,skewed,0.9,4,50000000,100000000,256,4,128,1,1,1.633595,0.011489000,0.026105000,0.012356000,0.857339000,0.189418000,0.252006000,0.251550000,0.004446000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,4,128,1,2,1.521028,0.011395000,0.026073000,0.007803000,0.749198000,0.186911000,0.250494000,0.251075000,0.004558000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,4,128,1,3,1.555961,0.011385000,0.026548000,0.009817000,0.788142000,0.188669000,0.251787000,0.250819000,0.004312000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,4,128,1,4,1.921948,0.011416000,0.026673000,0.008162000,1.150609000,0.188350000,0.251634000,0.251324000,0.004614000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,4,128,1,5,1.216743,0.011581000,0.026468000,0.012524000,0.647469000,0.189067000,0.252412000,0.251103000,0.004474000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,4,4,32,1,1.164674,0.019387000,0.113017000,0.001086000,0.545372000,0.023696000,0.042459000,0.235728000,0.000228000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,4,4,32,2,1.103092,0.019497000,0.113284000,0.001136000,0.485534000,0.023761000,0.042941000,0.232420000,0.000265000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,4,4,32,3,1.132314,0.019490000,0.113278000,0.001104000,0.513538000,0.023309000,0.043180000,0.231494000,0.000204000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,4,4,32,4,1.161354,0.019472000,0.113982000,0.001088000,0.543606000,0.024418000,0.042997000,0.232375000,0.000277000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,4,4,32,5,1.281846,0.019527000,0.113603000,0.001116000,0.543747000,0.024375000,0.042918000,0.352556000,0.000237000,35750353,12012365979402194829,16097019224298283940
