cell,nodes,ranks,ranks_per_node,run_id,t_total_s,t_comm_payload_s,join_count
A,4,128,32,1,0.952192,0.792933,199995067
A,4,128,32,2,0.822486,0.701811,199995067
A,4,128,32,3,1.347305,1.184110,199995067
A,4,128,32,4,1.259930,1.098519,199995067
A,4,128,32,5,1.714929,1.556926,199995067
A,4,128,32,6,1.516289,1.398246,199995067
A,4,128,32,7,1.321374,1.162143,199995067
A,4,128,32,8,1.475059,1.356643,199995067
A,4,128,32,9,1.258432,1.099140,199995067
A,4,128,32,10,0.707427,0.587528,199995067
A,4,128,32,11,1.339821,1.180411,199995067
A,4,128,32,12,1.480852,1.355728,199995067
A,4,128,32,13,1.312451,1.154480,199995067
A,4,128,32,14,1.338580,1.178715,199995067
A,4,128,32,15,1.300544,1.142860,199995067
B,8,256,32,1,0.697211,0.601284,199995067
B,8,256,32,2,0.715949,0.619929,199995067
B,8,256,32,3,0.679735,0.578059,199995067
B,8,256,32,4,0.892518,0.789091,199995067
B,8,256,32,5,0.693988,0.595045,199995067
B,8,256,32,6,0.688699,0.588700,199995067
B,8,256,32,7,0.675935,0.580532,199995067
B,8,256,32,8,0.675074,0.577576,199995067
B,8,256,32,9,0.685777,0.587390,199995067
B,8,256,32,10,0.687329,0.589600,199995067
B,8,256,32,11,0.688221,0.587920,199995067
B,8,256,32,12,0.695059,0.593785,199995067
B,8,256,32,13,0.683875,0.578807,199995067
B,8,256,32,14,0.702719,0.609563,199995067
B,8,256,32,15,0.690096,0.585565,199995067
C,8,128,16,1,1.234792,1.136223,199995067
C,8,128,16,2,0.871109,0.766562,199995067
C,8,128,16,3,1.205549,1.106962,199995067
C,8,128,16,4,1.226920,1.128525,199995067
C,8,128,16,5,0.829224,0.723768,199995067
C,8,128,16,6,0.603903,0.507105,199995067
C,8,128,16,7,1.393977,1.311872,199995067
C,8,128,16,8,0.854103,0.749015,199995067
C,8,128,16,9,0.998568,0.915113,199995067
C,8,128,16,10,1.189903,1.089986,199995067
C,8,128,16,11,1.208916,1.110246,199995067
C,8,128,16,12,1.222238,1.123866,199995067
C,8,128,16,13,1.243185,1.144669,199995067
C,8,128,16,14,1.268212,1.169720,199995067
C,8,128,16,15,0.877257,0.773658,199995067
