nodes,ranks,run_id,nodelist,t_total_s,t_comm_payload_s,join_count
1,32,1,node01,0.649902,0.092029,199995067
1,32,2,node01,0.659261,0.092343,199995067
1,32,3,node01,0.656842,0.092457,199995067
1,32,4,node01,0.654809,0.093159,199995067
1,32,5,node01,0.656576,0.093171,199995067
1,32,6,node01,0.649904,0.092147,199995067
1,32,7,node01,0.651981,0.092545,199995067
1,32,8,node01,0.649900,0.091830,199995067
1,32,9,node01,0.654208,0.091804,199995067
1,32,10,node01,0.650232,0.092560,199995067
1,32,11,node01,0.652518,0.092388,199995067
1,32,12,node01,0.654626,0.092082,199995067
2,64,1,node01|node06,0.591873,0.296122,199995067
2,64,2,node01|node06,0.591143,0.293207,199995067
2,64,3,node01|node06,0.592287,0.293871,199995067
2,64,4,node01|node06,0.583879,0.288621,199995067
2,64,5,node01|node06,0.589140,0.295186,199995067
2,64,6,node01|node06,0.586441,0.293104,199995067
2,64,7,node01|node06,0.588258,0.297338,199995067
2,64,8,node01|node06,0.575973,0.284201,199995067
2,64,9,node01|node06,0.594046,0.296872,199995067
2,64,10,node01|node06,0.582218,0.287218,199995067
2,64,11,node01|node06,0.592673,0.299913,199995067
2,64,12,node01|node06,0.602877,0.303298,199995067
4,128,1,node01|node06|node07|node08,1.306671,1.148433,199995067
4,128,2,node01|node06|node07|node08,1.499704,1.375093,199995067
4,128,3,node01|node06|node07|node08,0.727961,0.595591,199995067
4,128,4,node01|node06|node07|node08,1.312375,1.152846,199995067
4,128,5,node01|node06|node07|node08,1.342339,1.173830,199995067
4,128,6,node01|node06|node07|node08,1.299844,1.138777,199995067
4,128,7,node01|node06|node07|node08,1.697130,1.535444,199995067
4,128,8,node01|node06|node07|node08,1.472103,1.349926,199995067
4,128,9,node01|node06|node07|node08,1.032785,0.868065,199995067
4,128,10,node01|node06|node07|node08,1.491288,1.372091,199995067
4,128,11,node01|node06|node07|node08,1.353244,1.192672,199995067
4,128,12,node01|node06|node07|node08,1.058791,0.897796,199995067
