workload,rho,hot,nr,ns,p,run_id,t_total_s,join_count,checksum1,checksum2
uniform,0.0,0,50000000,100000000,256,1,4.531953,199995067,11704407862287554203,9949019909254000015
uniform,0.0,0,50000000,100000000,256,2,4.515413,199995067,11704407862287554203,9949019909254000015
uniform,0.0,0,50000000,100000000,256,3,4.527422,199995067,11704407862287554203,9949019909254000015
uniform,0.0,0,50000000,100000000,256,4,4.523207,199995067,11704407862287554203,9949019909254000015
uniform,0.0,0,50000000,100000000,256,5,4.531384,199995067,11704407862287554203,9949019909254000015
skewed,0.9,4,50000000,100000000,256,1,2.462817,35750353,12012365979402194829,16097019224298283940
skewed,0.9,4,50000000,100000000,256,2,2.462661,35750353,12012365979402194829,16097019224298283940
skewed,0.9,4,50000000,100000000,256,3,2.464911,35750353,12012365979402194829,16097019224298283940
skewed,0.9,4,50000000,100000000,256,4,2.463357,35750353,12012365979402194829,16097019224298283940
skewed,0.9,4,50000000,100000000,256,5,2.466482,35750353,12012365979402194829,16097019224298283940
