workload,rho,hot,nr,ns,p,run_id,hist_r_ms,scatter_r_ms,hist_s_ms,scatter_s_ms,join_ms,accum_ms,total_ms
uniform,0.0,0,50000000,100000000,256,1,84.429,843.784,171.754,1740.608,1649.844,0.000,4490.420
uniform,0.0,0,50000000,100000000,256,2,84.426,844.085,171.456,1725.325,1650.652,0.000,4475.944
uniform,0.0,0,50000000,100000000,256,3,84.434,855.014,171.546,1720.494,1651.724,0.000,4483.211
uniform,0.0,0,50000000,100000000,256,4,84.562,853.589,172.305,1721.897,1651.625,0.000,4483.979
uniform,0.0,0,50000000,100000000,256,5,84.543,850.185,171.621,1723.705,1650.117,0.000,4480.171
skewed,0.9,4,50000000,100000000,256,1,85.325,255.708,173.199,509.513,1272.963,0.000,2296.708
skewed,0.9,4,50000000,100000000,256,2,85.319,255.403,173.023,510.980,1273.025,0.000,2297.750
skewed,0.9,4,50000000,100000000,256,3,85.571,255.777,173.346,509.420,1273.382,0.000,2297.497
skewed,0.9,4,50000000,100000000,256,4,85.274,255.712,173.177,509.289,1272.267,0.000,2295.720
skewed,0.9,4,50000000,100000000,256,5,85.366,255.462,173.216,509.058,1276.198,0.000,2299.301
