impl,workload,rho,hot,nr,ns,p,nodes,ranks,threads,run_id,t_total_s,t_hist_local,t_scatter_local,t_comm_sizes,t_comm_payload,t_hist_post,t_scatter_post,t_join,t_reduce,join_count,checksum1,checksum2
mpi,uniform,0.0,0,50000000,100000000,256,1,32,1,1,1.121240,0.044516000,0.221870000,0.000239000,0.180222000,0.041514000,0.119178000,0.427045000,0.000083000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,1,32,1,2,0.656246,0.044096000,0.130281000,0.000247000,0.092656000,0.041229000,0.068184000,0.241291000,0.000052000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,1,32,1,3,0.650074,0.044205000,0.129991000,0.000235000,0.093905000,0.041234000,0.068165000,0.238360000,0.000062000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,1,32,1,4,0.659487,0.044219000,0.130562000,0.000223000,0.092255000,0.041187000,0.069397000,0.241780000,0.000056000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,1,32,1,5,0.651094,0.045103000,0.130344000,0.000239000,0.092657000,0.042040000,0.069281000,0.236614000,0.000056000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,1,1,32,1,1.609634,0.063050000,0.475590000,0.000087000,0.365915000,0.043948000,0.077069000,0.248574000,0.000030000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,1,1,32,2,1.615229,0.067127000,0.476598000,0.000106000,0.366680000,0.043888000,0.077181000,0.248916000,0.000041000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,1,1,32,3,1.606156,0.064692000,0.476910000,0.000117000,0.365630000,0.043702000,0.075675000,0.243867000,0.000030000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,1,1,32,4,3.240721,0.065874000,1.006113000,0.000055000,0.622819000,0.040703000,0.111064000,0.388738000,0.000034000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,1,1,32,5,1.612012,0.062709000,0.476312000,0.000090000,0.365988000,0.042407000,0.077139000,0.250970000,0.000025000,199995067,11704407862287554203,9949019909254000015
mpi,skewed,0.9,4,50000000,100000000,256,1,32,1,1,1.035361,0.044553000,0.106479000,0.000300000,0.102178000,0.194613000,0.263681000,0.271901000,0.000067000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,1,32,1,2,1.024445,0.044472000,0.106837000,0.000246000,0.103279000,0.194748000,0.263717000,0.265699000,0.000062000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,1,32,1,3,1.030101,0.045154000,0.106713000,0.000270000,0.105184000,0.197930000,0.267381000,0.267945000,0.000063000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,1,32,1,4,1.029389,0.045490000,0.107241000,0.000280000,0.103586000,0.197972000,0.267979000,0.267235000,0.000072000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,1,32,1,5,1.049253,0.045439000,0.108551000,0.000243000,0.102777000,0.197989000,0.267949000,0.276200000,0.000232000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,1,1,32,1,1.577964,0.062553000,0.442795000,0.000060000,0.364211000,0.043797000,0.075600000,0.250401000,0.000037000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,1,1,32,2,3.279518,0.072893000,0.923864000,0.000043000,0.625825000,0.040599000,0.108490000,0.512643000,0.000039000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,1,1,32,3,1.568983,0.061342000,0.441074000,0.000068000,0.364139000,0.042367000,0.075983000,0.245547000,0.000019000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,1,1,32,4,1.694659,0.061970000,0.448142000,0.000059000,0.362902000,0.043336000,0.076380000,0.365088000,0.000018000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,1,1,32,5,1.576280,0.062699000,0.445855000,0.000077000,0.363365000,0.043106000,0.076071000,0.250534000,0.000034000,35750353,12012365979402194829,16097019224298283940
mpi,uniform,0.0,0,50000000,100000000,256,2,64,1,1,0.591673,0.023007000,0.064933000,0.012452000,0.296702000,0.021185000,0.034722000,0.118730000,0.002513000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,2,64,1,2,0.585168,0.022746000,0.064920000,0.010515000,0.288828000,0.021164000,0.034634000,0.122830000,0.002409000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,2,64,1,3,0.771169,0.022560000,0.102067000,0.017747000,0.293279000,0.020749000,0.054178000,0.219295000,0.006055000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,2,64,1,4,0.580821,0.022475000,0.065087000,0.007622000,0.291408000,0.020920000,0.034223000,0.118660000,0.002391000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,2,64,1,5,0.590112,0.022724000,0.064823000,0.011582000,0.295393000,0.021063000,0.034848000,0.118826000,0.002485000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,2,2,32,1,1.004388,0.031357000,0.243427000,0.000147000,0.361599000,0.022437000,0.047205000,0.129812000,0.000147000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,2,2,32,2,1.790629,0.036214000,0.495032000,0.000218000,0.451293000,0.021786000,0.057563000,0.213655000,0.000158000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,2,2,32,3,1.000455,0.030407000,0.242627000,0.000136000,0.358223000,0.023565000,0.048912000,0.127062000,0.000153000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,2,2,32,4,0.999707,0.030576000,0.241658000,0.000127000,0.354629000,0.022290000,0.048738000,0.131506000,0.000144000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,2,2,32,5,1.007420,0.031102000,0.243675000,0.000146000,0.360167000,0.023144000,0.048298000,0.129808000,0.000163000,199995067,11704407862287554203,9949019909254000015
mpi,skewed,0.9,4,50000000,100000000,256,2,64,1,1,1.203307,0.023234000,0.053222000,0.008268000,0.395827000,0.187856000,0.253940000,0.256224000,0.002380000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,2,64,1,2,1.190707,0.022247000,0.053462000,0.007815000,0.383191000,0.187347000,0.253851000,0.256442000,0.002474000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,2,64,1,3,1.205336,0.022607000,0.053208000,0.012560000,0.385342000,0.190482000,0.257559000,0.256959000,0.002458000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,2,64,1,4,1.201744,0.022665000,0.053468000,0.009057000,0.385920000,0.190665000,0.257671000,0.257720000,0.002406000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,2,64,1,5,1.194162,0.023257000,0.053440000,0.006318000,0.388230000,0.187672000,0.254078000,0.256760000,0.002465000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,2,2,32,1,1.252630,0.034324000,0.222692000,0.000115000,0.460356000,0.028004000,0.048766000,0.242051000,0.000125000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,2,2,32,2,1.255582,0.034078000,0.223251000,0.000124000,0.463778000,0.028752000,0.049417000,0.239221000,0.000139000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,2,2,32,3,1.250959,0.034250000,0.222465000,0.000129000,0.461899000,0.028445000,0.049416000,0.236725000,0.000142000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,2,2,32,4,1.260441,0.034034000,0.224596000,0.000184000,0.465419000,0.027608000,0.048960000,0.242299000,0.000129000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,2,2,32,5,1.257701,0.033981000,0.223428000,0.000116000,0.461267000,0.028442000,0.048479000,0.243920000,0.000117000,35750353,12012365979402194829,16097019224298283940
mpi,uniform,0.0,0,50000000,100000000,256,4,128,1,1,1.494888,0.011416000,0.032479000,0.012822000,1.374421000,0.012655000,0.023876000,0.064561000,0.004618000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,4,128,1,2,1.479732,0.011179000,0.032522000,0.011003000,1.358072000,0.013412000,0.025180000,0.063432000,0.004604000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,4,128,1,3,1.506236,0.011410000,0.032296000,0.011287000,1.385642000,0.012378000,0.020423000,0.062498000,0.004590000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,4,128,1,4,0.676911,0.011149000,0.032270000,0.011838000,0.557580000,0.016360000,0.021965000,0.063170000,0.004450000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,4,128,1,5,1.478730,0.011410000,0.032664000,0.011146000,1.353725000,0.012566000,0.023386000,0.062955000,0.004594000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,4,4,32,1,0.604726,0.018054000,0.122759000,0.001024000,0.264052000,0.011631000,0.031434000,0.072093000,0.000185000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,4,4,32,2,0.663817,0.019065000,0.123070000,0.001093000,0.319589000,0.011774000,0.030922000,0.072293000,0.000269000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,4,4,32,3,0.606004,0.018449000,0.122710000,0.001042000,0.266126000,0.019643000,0.031257000,0.068875000,0.000287000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,4,4,32,4,0.594893,0.019033000,0.123430000,0.001212000,0.253372000,0.012273000,0.031334000,0.070101000,0.000271000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,4,4,32,5,0.607244,0.018235000,0.122591000,0.001027000,0.266988000,0.014774000,0.031592000,0.071796000,0.000166000,199995067,11704407862287554203,9949019909254000015
mpi,skewed,0.9,4,50000000,100000000,256,4,128,1,1,1.525770,0.011426000,0.026399000,0.009500000,0.747022000,0.189027000,0.252443000,0.252911000,0.004321000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,4,128,1,2,1.492364,0.013626000,0.026058000,0.008004000,0.721129000,0.186687000,0.249531000,0.252089000,0.004453000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,4,128,1,3,1.549919,0.011409000,0.026285000,0.008131000,0.774406000,0.189049000,0.254287000,0.252540000,0.004467000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,4,128,1,4,2.272832,0.011376000,0.026445000,0.010236000,1.498992000,0.185762000,0.248769000,0.251907000,0.004529000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,4,128,1,5,1.552312,0.011396000,0.026340000,0.007609000,0.772254000,0.189527000,0.252432000,0.253095000,0.004514000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,4,4,32,1,1.165432,0.019420000,0.113284000,0.001031000,0.540519000,0.024118000,0.042372000,0.240437000,0.000194000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,4,4,32,2,1.125063,0.019630000,0.113005000,0.001088000,0.504222000,0.024365000,0.043293000,0.235301000,0.000307000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,4,4,32,3,1.161216,0.019276000,0.114045000,0.001090000,0.540227000,0.024096000,0.042602000,0.236083000,0.000245000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,4,4,32,4,1.171108,0.019485000,0.113790000,0.001153000,0.532364000,0.024414000,0.042928000,0.250847000,0.000211000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,4,4,32,5,1.120508,0.019397000,0.113049000,0.001044000,0.490302000,0.023515000,0.043239000,0.242560000,0.000218000,35750353,12012365979402194829,16097019224298283940
mpi,uniform,0.0,0,50000000,100000000,256,8,256,1,1,0.628055,0.007346000,0.017520000,0.016990000,0.528062000,0.005364000,0.009768000,0.032022000,0.006022000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,8,256,1,2,0.637430,0.005767000,0.017092000,0.011389000,0.543070000,0.005333000,0.009696000,0.032090000,0.006125000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,8,256,1,3,0.620981,0.005779000,0.017215000,0.015163000,0.523759000,0.005363000,0.009808000,0.032245000,0.006027000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,8,256,1,4,0.637123,0.005798000,0.017323000,0.015804000,0.538907000,0.005385000,0.009775000,0.032079000,0.006193000,199995067,11704407862287554203,9949019909254000015
mpi,uniform,0.0,0,50000000,100000000,256,8,256,1,5,0.633538,0.005777000,0.017138000,0.018819000,0.531091000,0.005330000,0.009756000,0.032172000,0.007728000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,8,8,32,1,0.371482,0.010897000,0.062532000,0.002063000,0.182424000,0.006368000,0.020780000,0.044845000,0.000359000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,8,8,32,2,0.347801,0.010793000,0.063119000,0.001991000,0.159140000,0.006867000,0.021374000,0.041516000,0.000302000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,8,8,32,3,0.383242,0.010671000,0.062991000,0.002160000,0.194363000,0.006230000,0.020958000,0.042697000,0.000268000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,8,8,32,4,0.354278,0.010831000,0.062799000,0.002090000,0.164717000,0.006371000,0.021016000,0.041681000,0.000306000,199995067,11704407862287554203,9949019909254000015
hybrid,uniform,0.0,0,50000000,100000000,256,8,8,32,5,0.386554,0.010209000,0.063881000,0.002822000,0.195660000,0.007019000,0.021520000,0.042359000,0.000302000,199995067,11704407862287554203,9949019909254000015
mpi,skewed,0.9,4,50000000,100000000,256,8,256,1,1,1.599362,0.007233000,0.013573000,0.012359000,0.855163000,0.188409000,0.250005000,0.249634000,0.006085000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,8,256,1,2,1.598138,0.006112000,0.013601000,0.014210000,0.856173000,0.188556000,0.250821000,0.249399000,0.006193000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,8,256,1,3,1.593137,0.007143000,0.014019000,0.014191000,0.850411000,0.188620000,0.250695000,0.249453000,0.006068000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,8,256,1,4,1.574516,0.007202000,0.013868000,0.010540000,0.834945000,0.189058000,0.250991000,0.249347000,0.006154000,35750353,12012365979402194829,16097019224298283940
mpi,skewed,0.9,4,50000000,100000000,256,8,256,1,5,1.597977,0.011097000,0.013773000,0.014739000,0.853082000,0.188519000,0.250811000,0.249491000,0.006262000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,8,8,32,1,0.882407,0.015501000,0.057493000,0.002196000,0.399696000,0.016628000,0.031561000,0.234157000,0.000349000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,8,8,32,2,0.884663,0.016335000,0.057276000,0.002168000,0.458981000,0.017732000,0.032081000,0.239922000,0.000310000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,8,8,32,3,0.898714,0.015659000,0.057313000,0.002112000,0.414810000,0.017603000,0.032055000,0.230366000,0.000332000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,8,8,32,4,0.889777,0.015847000,0.058905000,0.002701000,0.399574000,0.016965000,0.031990000,0.233664000,0.000352000,35750353,12012365979402194829,16097019224298283940
hybrid,skewed,0.9,4,50000000,100000000,256,8,8,32,5,0.898641,0.016154000,0.057822000,0.002248000,0.413480000,0.017376000,0.031599000,0.230202000,0.000331000,35750353,12012365979402194829,16097019224298283940
