impl,workload,nr,ns,p,nodes,ranks,threads,run_id,t_total_s,t_hist_local,t_scatter_local,t_comm_sizes,t_comm_payload,t_hist_post,t_scatter_post,t_join,t_reduce,join_count,checksum1,checksum2
mpi,uniform,64000000,128000000,256,1,32,1,1,0.815323,0.056417000,0.166295000,0.000197000,0.116352000,0.052855000,0.087111000,0.289837000,0.000077000,327673936,4019064645104747027,5674105082069843033
mpi,uniform,64000000,128000000,256,1,32,1,2,0.818573,0.056572000,0.165266000,0.000243000,0.116367000,0.052710000,0.086849000,0.291367000,0.000093000,327673936,4019064645104747027,5674105082069843033
mpi,uniform,64000000,128000000,256,1,32,1,3,0.818938,0.058818000,0.165573000,0.000273000,0.116419000,0.052858000,0.087325000,0.293168000,0.000090000,327673936,4019064645104747027,5674105082069843033
mpi,uniform,64000000,128000000,256,1,32,1,4,0.814696,0.056662000,0.165370000,0.000235000,0.116689000,0.052716000,0.087947000,0.290493000,0.000074000,327673936,4019064645104747027,5674105082069843033
mpi,uniform,64000000,128000000,256,1,32,1,5,0.823055,0.057668000,0.166356000,0.000229000,0.120625000,0.054131000,0.088042000,0.288530000,0.000077000,327673936,4019064645104747027,5674105082069843033
hybrid,uniform,2000000,4000000,256,1,1,32,1,0.071862,0.004681000,0.022408000,0.000021000,0.015135000,0.001996000,0.006282000,0.004683000,0.000007000,321083,6743045230466148750,8079132822374818579
hybrid,uniform,2000000,4000000,256,1,1,32,2,0.069892,0.005211000,0.022446000,0.000022000,0.015106000,0.002009000,0.004956000,0.004642000,0.000007000,321083,6743045230466148750,8079132822374818579
hybrid,uniform,2000000,4000000,256,1,1,32,3,0.070047,0.004597000,0.022304000,0.000019000,0.015199000,0.001995000,0.005035000,0.004711000,0.000007000,321083,6743045230466148750,8079132822374818579
hybrid,uniform,2000000,4000000,256,1,1,32,4,0.069695,0.005507000,0.022317000,0.000022000,0.015165000,0.001991000,0.004823000,0.004659000,0.000008000,321083,6743045230466148750,8079132822374818579
hybrid,uniform,2000000,4000000,256,1,1,32,5,0.069816,0.004648000,0.021832000,0.000020000,0.015323000,0.002035000,0.004749000,0.004650000,0.000007000,321083,6743045230466148750,8079132822374818579
mpi,uniform,128000000,256000000,256,2,64,1,1,1.396577,0.056517000,0.166169000,0.008293000,0.681512000,0.054832000,0.086549000,0.301245000,0.002607000,1310715703,3404506082105099165,2488257339558652615
mpi,uniform,128000000,256000000,256,2,64,1,2,1.394266,0.057785000,0.166415000,0.007834000,0.677457000,0.054260000,0.087227000,0.299139000,0.002634000,1310715703,3404506082105099165,2488257339558652615
mpi,uniform,128000000,256000000,256,2,64,1,3,1.399211,0.057753000,0.166529000,0.007920000,0.679216000,0.055415000,0.087063000,0.300146000,0.002561000,1310715703,3404506082105099165,2488257339558652615
mpi,uniform,128000000,256000000,256,2,64,1,4,1.399593,0.056439000,0.165710000,0.011995000,0.679955000,0.054738000,0.086626000,0.299615000,0.002644000,1310715703,3404506082105099165,2488257339558652615
mpi,uniform,128000000,256000000,256,2,64,1,5,1.394330,0.056500000,0.166274000,0.007547000,0.679068000,0.054307000,0.086779000,0.299235000,0.002636000,1310715703,3404506082105099165,2488257339558652615
hybrid,uniform,4000000,8000000,256,2,2,32,1,0.090748,0.005168000,0.022782000,0.000153000,0.032689000,0.002209000,0.006452000,0.004972000,0.000093000,1282743,15437505557339117944,11537495244980220259
hybrid,uniform,4000000,8000000,256,2,2,32,2,0.091421,0.004836000,0.022263000,0.000115000,0.033997000,0.002580000,0.006126000,0.004959000,0.000098000,1282743,15437505557339117944,11537495244980220259
hybrid,uniform,4000000,8000000,256,2,2,32,3,0.095290,0.004650000,0.022385000,0.000141000,0.037223000,0.002588000,0.006254000,0.004954000,0.000109000,1282743,15437505557339117944,11537495244980220259
hybrid,uniform,4000000,8000000,256,2,2,32,4,0.094454,0.004861000,0.022077000,0.000134000,0.036785000,0.003029000,0.005765000,0.004943000,0.000100000,1282743,15437505557339117944,11537495244980220259
hybrid,uniform,4000000,8000000,256,2,2,32,5,0.091440,0.004969000,0.022105000,0.000150000,0.034379000,0.002374000,0.006357000,0.004961000,0.000082000,1282743,15437505557339117944,11537495244980220259
mpi,uniform,256000000,512000000,256,4,128,1,1,2.901499,0.057771000,0.166641000,0.009640000,2.280399000,0.065517000,0.128573000,0.313784000,0.004841000,5242772588,2905198969229114704,15733843226798372732
mpi,uniform,256000000,512000000,256,4,128,1,2,2.654088,0.056621000,0.165931000,0.009356000,2.145095000,0.064719000,0.122949000,0.275122000,0.004860000,5242772588,2905198969229114704,15733843226798372732
mpi,uniform,256000000,512000000,256,4,128,1,3,2.453580,0.057814000,0.169413000,0.009937000,1.831841000,0.065979000,0.136679000,0.310059000,0.004731000,5242772588,2905198969229114704,15733843226798372732
mpi,uniform,256000000,512000000,256,4,128,1,4,2.711129,0.056639000,0.165827000,0.010137000,1.999892000,0.055290000,0.086190000,0.314508000,0.004831000,5242772588,2905198969229114704,15733843226798372732
mpi,uniform,256000000,512000000,256,4,128,1,5,2.932200,0.057841000,0.166427000,0.010267000,2.333067000,0.064584000,0.125314000,0.315050000,0.005628000,5242772588,2905198969229114704,15733843226798372732
hybrid,uniform,8000000,16000000,256,4,4,32,1,0.112863,0.004905000,0.022409000,0.001003000,0.052631000,0.002699000,0.007137000,0.005717000,0.000180000,5124230,6329607255522506273,17529948250463131026
hybrid,uniform,8000000,16000000,256,4,4,32,2,0.104171,0.004958000,0.022227000,0.001039000,0.044120000,0.002191000,0.007296000,0.005682000,0.000184000,5124230,6329607255522506273,17529948250463131026
hybrid,uniform,8000000,16000000,256,4,4,32,3,0.104298,0.005432000,0.022575000,0.001018000,0.043039000,0.003055000,0.006630000,0.005833000,0.000167000,5124230,6329607255522506273,17529948250463131026
hybrid,uniform,8000000,16000000,256,4,4,32,4,0.106048,0.004965000,0.023142000,0.001026000,0.045048000,0.002232000,0.006750000,0.005581000,0.000197000,5124230,6329607255522506273,17529948250463131026
hybrid,uniform,8000000,16000000,256,4,4,32,5,0.106695,0.005029000,0.022606000,0.001055000,0.045945000,0.002385000,0.006723000,0.005598000,0.000226000,5124230,6329607255522506273,17529948250463131026
mpi,uniform,512000000,1024000000,256,8,256,1,1,3.495468,0.057769000,0.166471000,0.014667000,2.758241000,0.054565000,0.086365000,0.307951000,0.006462000,20971360921,9594904369225653879,1929962470691535378
mpi,uniform,512000000,1024000000,256,8,256,1,2,3.936354,0.057689000,0.166199000,0.015326000,3.200750000,0.054423000,0.086554000,0.309515000,0.006022000,20971360921,9594904369225653879,1929962470691535378
mpi,uniform,512000000,1024000000,256,8,256,1,3,3.908156,0.057730000,0.167199000,0.013683000,3.173927000,0.054513000,0.097260000,0.308003000,0.005991000,20971360921,9594904369225653879,1929962470691535378
mpi,uniform,512000000,1024000000,256,8,256,1,4,4.057812,0.057792000,0.167055000,0.017536000,3.319375000,0.054490000,0.085390000,0.307791000,0.005982000,20971360921,9594904369225653879,1929962470691535378
mpi,uniform,512000000,1024000000,256,8,256,1,5,3.662084,0.058321000,0.166934000,0.017060000,2.921758000,0.054631000,0.086023000,0.309166000,0.006173000,20971360921,9594904369225653879,1929962470691535378
hybrid,uniform,16000000,32000000,256,8,8,32,1,0.120061,0.005072000,0.023431000,0.003633000,0.051576000,0.002327000,0.008369000,0.008712000,0.000226000,20480225,17301613490040599634,8170798390547650633
hybrid,uniform,16000000,32000000,256,8,8,32,2,0.120057,0.005359000,0.023255000,0.003435000,0.050422000,0.003091000,0.008603000,0.008704000,0.000197000,20480225,17301613490040599634,8170798390547650633
hybrid,uniform,16000000,32000000,256,8,8,32,3,0.122280,0.005309000,0.023763000,0.002299000,0.054634000,0.002632000,0.008670000,0.009161000,0.000245000,20480225,17301613490040599634,8170798390547650633
hybrid,uniform,16000000,32000000,256,8,8,32,4,0.119607,0.004987000,0.022979000,0.003472000,0.051233000,0.002450000,0.008897000,0.008730000,0.000281000,20480225,17301613490040599634,8170798390547650633
